date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010073,2010-03-14,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010081,2010-03-22,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010089,2010-03-30,MOD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010097,2010-04-07,MOD17A2H,Gpp_500m,0.0001,0.0001,0.0010,0.0000,0.0001,0.0000,0.0000,169,10,5.92
A2010105,2010-04-15,MOD17A2H,Gpp_500m,0.0008,0.0008,0.0032,0.0000,0.0008,0.0000,0.0000,169,4,2.37
A2010113,2010-04-23,MOD17A2H,Gpp_500m,0.0015,0.0117,0.6380,0.0102,0.0038,0.0000,0.0018,169,168,99.41
A2010121,2010-05-01,MOD17A2H,Gpp_500m,0.0037,0.0061,0.7930,0.0024,0.0047,0.0000,0.0006,169,169,100.00
A2010129,2010-05-09,MOD17A2H,Gpp_500m,0.0048,0.0128,1.3440,0.0080,0.0080,0.0000,0.0016,169,169,100.00
A2010137,2010-05-17,MOD17A2H,Gpp_500m,0.0070,0.0216,2.7603,0.0146,0.0163,0.0000,0.0023,169,169,100.00
A2010145,2010-05-25,MOD17A2H,Gpp_500m,0.0267,0.0487,5.7663,0.0220,0.0341,0.0000,0.0056,169,169,100.00
A2010153,2010-06-02,MOD17A2H,Gpp_500m,0.0234,0.0440,5.6337,0.0206,0.0333,0.0000,0.0041,169,169,100.00
A2010161,2010-06-10,MOD17A2H,Gpp_500m,0.0341,0.0540,6.5859,0.0199,0.0390,0.0000,0.0043,169,169,100.00
A2010169,2010-06-18,MOD17A2H,Gpp_500m,0.0174,0.0454,6.0344,0.0280,0.0357,0.0000,0.0037,169,169,100.00
A2010177,2010-06-26,MOD17A2H,Gpp_500m,0.0034,0.0541,5.4254,0.0507,0.0329,0.0001,0.0110,169,165,97.63
A2010185,2010-07-04,MOD17A2H,Gpp_500m,0.0389,0.0598,7.8318,0.0209,0.0463,0.0000,0.0051,169,169,100.00
A2010193,2010-07-12,MOD17A2H,Gpp_500m,0.0033,0.0487,3.6740,0.0454,0.0231,0.0001,0.0096,169,159,94.08
A2010201,2010-07-20,MOD17A2H,Gpp_500m,0.0032,0.0461,4.0969,0.0429,0.0248,0.0000,0.0071,169,165,97.63
A2010209,2010-07-28,MOD17A2H,Gpp_500m,0.0267,0.0477,5.9670,0.0210,0.0353,0.0000,0.0052,169,169,100.00
A2010217,2010-08-05,MOD17A2H,Gpp_500m,0.0053,0.0315,3.2449,0.0262,0.0192,0.0000,0.0058,169,169,100.00
A2010225,2010-08-13,MOD17A2H,Gpp_500m,0.0224,0.0383,4.7012,0.0159,0.0278,0.0000,0.0037,169,169,100.00
A2010233,2010-08-21,MOD17A2H,Gpp_500m,0.0021,0.0173,1.2592,0.0152,0.0078,0.0000,0.0032,169,162,95.86
