date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,0.0001,0.0001,0.0010,0.0000,0.0001,0.0000,0.0000,169,10,5.92
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0007,0.0007,0.0028,0.0000,0.0007,0.0000,0.0000,169,4,2.37
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0014,0.0106,0.5673,0.0092,0.0034,0.0000,0.0016,169,168,99.41
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0030,0.0054,0.6367,0.0024,0.0038,0.0000,0.0006,169,169,100.00
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0042,0.0111,1.1127,0.0069,0.0066,0.0000,0.0015,169,169,100.00
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0064,0.0199,2.4313,0.0135,0.0144,0.0000,0.0023,169,169,100.00
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0224,0.0441,4.9702,0.0217,0.0294,0.0000,0.0058,169,169,100.00
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0217,0.0408,4.9975,0.0191,0.0296,0.0000,0.0044,169,169,100.00
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0288,0.0490,5.7211,0.0202,0.0339,0.0000,0.0048,169,169,100.00
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0160,0.0416,5.2721,0.0256,0.0312,0.0000,0.0040,169,169,100.00
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0029,0.0478,4.4572,0.0449,0.0270,0.0001,0.0090,169,165,97.63
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0314,0.0533,6.4747,0.0219,0.0383,0.0000,0.0061,169,169,100.00
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0028,0.0435,3.1549,0.0407,0.0198,0.0001,0.0083,169,159,94.08
A2010201,2010-07-20,MOD17A2H,PsnNet_500m,0.0027,0.0390,3.2833,0.0363,0.0199,0.0000,0.0061,169,165,97.63
A2010209,2010-07-28,MOD17A2H,PsnNet_500m,0.0206,0.0410,4.6467,0.0204,0.0275,0.0000,0.0061,169,169,100.00
