MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,,,,,,,,168,0,0.00
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,0.0001,0.0001,0.0010,0.0000,0.0001,0.0000,0.0000,168,10,5.95
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0007,0.0007,0.0028,0.0000,0.0007,0.0000,0.0000,168,4,2.38
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0014,0.0106,0.5637,0.0092,0.0034,0.0000,0.0016,168,167,99.40
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0030,0.0054,0.6326,0.0024,0.0038,0.0000,0.0006,168,168,100.00
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0042,0.0111,1.1032,0.0069,0.0066,0.0000,0.0015,168,168,100.00
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0064,0.0199,2.4137,0.0135,0.0144,0.0000,0.0023,168,168,100.00
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0224,0.0441,4.9328,0.0217,0.0294,0.0000,0.0058,168,168,100.00
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0217,0.0408,4.9596,0.0191,0.0295,0.0000,0.0043,168,168,100.00
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0288,0.0490,5.6756,0.0202,0.0338,0.0000,0.0047,168,168,100.00
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0160,0.0416,5.2335,0.0256,0.0312,0.0000,0.0040,168,168,100.00
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0029,0.0450,4.4094,0.0421,0.0269,0.0001,0.0089,168,164,97.62
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0314,0.0523,6.4214,0.0209,0.0382,0.0000,0.0061,168,168,100.00
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0028,0.0435,3.1191,0.0407,0.0197,0.0001,0.0083,168,158,94.05
