Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,264,156,193,244,174,207,223
2002, Cycle 1,267,143,182,239,161,198,215
2003, Cycle 1,265,134,183,240,161,198,216
2004, Cycle 1,269,134,185,246,164,200,219
2005, Cycle 1,264,114,183,242,158,200,219
2006, Cycle 1,287,129,184,247,163,202,222
2007, Cycle 1,270,095,184,246,157,202,221
2008, Cycle 1,263,140,178,240,158,194,215
2009, Cycle 1,271,134,177,245,159,190,210
2010, Cycle 1,271,118,177,247,149,200,222
2011, Cycle 1,275,132,186,250,161,204,223
2012, Cycle 1,275,140,181,245,159,198,218
2013, Cycle 1,280,121,186,251,164,204,225
2014, Cycle 1,270,133,181,243,158,197,215
2015, Cycle 1,268,125,168,241,146,183,200
2016, Cycle 1,290,117,179,249,152,197,218
2017, Cycle 1,277,099,179,248,150,198,220
2018, Cycle 1,270,108,179,243,152,194,213
2019, Cycle 1,267,132,175,238,151,193,213
2003, Cycle 2,270,141,183,244,160,199,219
2016, Cycle 2,047,282,314,024,295,331,353
2018, Cycle 2,266,144,182,238,163,194,208
2019, Cycle 2,254,137,179,236,155,198,217
