Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Sep 21,Jun 05,Jul 12,Sep 01,Jun 23,Jul 26,Aug 11
2002, Cycle 1,Sep 24,May 23,Jul 01,Aug 27,Jun 10,Jul 17,Aug 03
2003, Cycle 1,Sep 22,May 14,Jul 02,Aug 28,Jun 10,Jul 17,Aug 04
2004, Cycle 1,Sep 25,May 13,Jul 03,Sep 02,Jun 12,Jul 18,Aug 06
2005, Cycle 1,Sep 21,Apr 24,Jul 02,Aug 30,Jun 07,Jul 19,Aug 07
2006, Cycle 1,Oct 14,May 09,Jul 03,Sep 04,Jun 12,Jul 21,Aug 10
2007, Cycle 1,Sep 27,Apr 05,Jul 03,Sep 03,Jun 06,Jul 21,Aug 09
2008, Cycle 1,Sep 19,May 19,Jun 26,Aug 27,Jun 06,Jul 12,Aug 02
2009, Cycle 1,Sep 28,May 14,Jun 26,Sep 02,Jun 08,Jul 09,Jul 29
2010, Cycle 1,Sep 28,Apr 28,Jun 26,Sep 04,May 29,Jul 19,Aug 10
2011, Cycle 1,Oct 02,May 12,Jul 05,Sep 07,Jun 10,Jul 23,Aug 11
2012, Cycle 1,Oct 01,May 19,Jun 29,Sep 01,Jun 07,Jul 16,Aug 05
2013, Cycle 1,Oct 07,May 01,Jul 05,Sep 08,Jun 13,Jul 23,Aug 13
2014, Cycle 1,Sep 27,May 13,Jun 30,Aug 31,Jun 07,Jul 16,Aug 03
2015, Cycle 1,Sep 25,May 05,Jun 17,Aug 29,May 26,Jul 02,Jul 19
2016, Cycle 1,Oct 16,Apr 26,Jun 27,Sep 05,May 31,Jul 15,Aug 05
2017, Cycle 1,Oct 04,Apr 09,Jun 28,Sep 05,May 30,Jul 17,Aug 08
2018, Cycle 1,Sep 27,Apr 18,Jun 28,Aug 31,Jun 01,Jul 13,Aug 01
2019, Cycle 1,Sep 24,May 12,Jun 24,Aug 26,May 31,Jul 12,Aug 01
2003, Cycle 2,Sep 27,May 21,Jul 02,Sep 01,Jun 09,Jul 18,Aug 07
2016, Cycle 2,Feb 16,Oct 08,Nov 09,Jan 24,Oct 21,Nov 26,Dec 18
2018, Cycle 2,Sep 23,May 24,Jul 01,Aug 26,Jun 12,Jul 13,Jul 27
2019, Cycle 2,Sep 11,May 17,Jun 28,Aug 24,Jun 04,Jul 17,Aug 05
