dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,5e-04,0
2010-04-23,0.007066,0.001473
2010-05-01,0.001886,0.000405
2010-05-09,0.004314,0.00089
2010-05-17,0.013124,0.002893
2010-05-25,0.026668,0.004311
2010-06-02,0.029068,0.004068
2010-06-10,0.023478,0.004034
2010-06-18,0.038786,0.006436
2010-06-26,0.035792,0.005921
2010-07-04,0.039454,0.005775
2010-07-12,0.028613,0.007305
2010-07-20,0.026237,0.007023
2010-07-28,0.031113,0.004856
2010-08-05,0.027229,0.00415
2010-08-13,0.032728,0.004929
2010-08-21,0.011389,0.002505
2010-08-29,0.013771,0.002088
2010-09-06,0.009068,0.0015
2010-09-14,0.00341,0.000676
2010-09-22,0.000654,0.000392
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.01452,0.003416
2011-05-25,0.024892,0.003694
2011-06-02,0.018533,0.002873
2011-06-10,0.021269,0.004131
2011-06-18,0.043144,0.006102
2011-06-26,0.044367,0.006344
2011-07-04,0.040042,0.009474
2011-07-12,0.039095,0.005982
2011-07-20,0.042981,0.006254
2011-07-28,0.037986,0.005989
2011-08-05,0.0281,0.004257
2011-08-13,0.018392,0.002891
2011-08-21,0.023419,0.003823
2011-08-29,0.013115,0.002187
2011-09-06,0.007791,0.001354
2011-09-14,0.004525,0.000752
2011-09-22,0.000975,0.000438
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,1e-04,0
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.012322,0.003144
2012-05-24,0.018802,0.0037
2012-06-01,0.023657,0.004199
2012-06-09,0.041168,0.005876
2012-06-17,0.04667,0.00646
2012-06-25,0.049159,0.006969
2012-07-03,0.039346,0.006608
2012-07-11,0.039003,0.00655
2012-07-19,0.025473,0.009687
2012-07-27,0.039509,0.005652
2012-08-04,0.033578,0.004655
2012-08-12,0.027488,0.003989
2012-08-20,0.025565,0.003768
2012-08-28,0.012548,0.001869
2012-09-05,0.007836,0.001074
2012-09-13,0.00783,0.001258
2012-09-21,0.005213,0.000969
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.016881,0.003964
2013-06-02,0.016725,0.003104
2013-06-10,0.029657,0.005156
2013-06-18,0.043064,0.006738
2013-06-26,0.043014,0.005917
2013-07-04,0.038419,0.006046
2013-07-12,0.036537,0.004668
2013-07-20,0.042853,0.005797
2013-07-28,0.034914,0.00499
2013-08-05,0.038179,0.004832
2013-08-13,0.020019,0.007376
2013-08-21,0.01531,0.001996
2013-08-29,0.010347,0.001525
2013-09-06,0.007813,0.001132
2013-09-14,0.001211,0.000395
2013-09-22,0.00222,0.000617
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.001421,0.00041
2014-05-09,0.006757,0.003124
2014-05-17,0.002012,0.000526
2014-05-25,0.015184,0.00259
2014-06-02,0.02708,0.003804
2014-06-10,0.03076,0.004763
2014-06-18,0.043703,0.006425
2014-06-26,0.047764,0.006888
2014-07-04,0.053844,0.007628
2014-07-12,0.047946,0.006496
2014-07-20,0.027835,0.003896
2014-07-28,0.020269,0.002692
2014-08-05,0.029044,0.003862
2014-08-13,0.026275,0.00332
2014-08-21,0.020517,0.003014
2014-08-29,0.008125,0.001709
2014-09-06,0.007453,0.001167
2014-09-14,0.000955,0.000213
2014-09-22,0.001978,0.000415
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,0,0
2015-04-15,3e-04,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.008822,0.003531
2015-05-17,0.025389,0.004607
2015-05-25,0.02236,0.003117
2015-06-02,0.01771,0.003036
2015-06-10,0.027676,0.004453
2015-06-18,0.045731,0.006015
2015-06-26,0.036746,0.008722
2015-07-04,0.037687,0.00532
2015-07-12,0.022794,0.013061
2015-07-20,0.007094,0.003769
2015-07-28,0.016101,0.009705
2015-08-05,0.023205,0.003086
2015-08-13,0.012797,0.007006
2015-08-21,0.014368,0.002753
2015-08-29,0.001151,0.000321
2015-09-06,0.005684,0.000889
2015-09-14,0.00131,0.000444
2015-09-22,0.001707,3e-04
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0013,0.00031
2016-05-08,0.014668,0.002634
2016-05-16,0.012441,0.002615
2016-05-24,0.015962,0.002446
2016-06-01,0.015955,0.002311
