dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,5e-04,0
2010-04-23,0.006401,0.001328
2010-05-01,0.001243,0.000353
2010-05-09,0.003531,0.000734
2010-05-17,0.011656,0.002614
2010-05-25,0.023007,0.003955
2010-06-02,0.02555,0.003676
2010-06-10,0.019034,0.003524
2010-06-18,0.034213,0.005629
2010-06-26,0.029146,0.005187
2010-07-04,0.030483,0.005074
2010-07-12,0.022415,0.005612
2010-07-20,0.01972,0.005046
2010-07-28,0.022571,0.004162
2010-08-05,0.020732,0.003595
2010-08-13,0.027537,0.00414
2010-08-21,0.009466,0.002052
2010-08-29,0.011578,0.001833
2010-09-06,0.00732,0.001284
2010-09-14,0.002659,0.000602
2010-09-22,0.000481,0.000256
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.012942,0.003119
2011-05-25,0.021753,0.003387
2011-06-02,0.016614,0.002702
2011-06-10,0.017732,0.003567
2011-06-18,0.033722,0.005121
2011-06-26,0.036954,0.005337
2011-07-04,0.032858,0.007218
2011-07-12,0.027817,0.004887
2011-07-20,0.031468,0.004842
2011-07-28,0.025035,0.004961
2011-08-05,0.019811,0.003244
2011-08-13,0.01493,0.002343
2011-08-21,0.019428,0.003071
2011-08-29,0.010835,0.001882
2011-09-06,0.006332,0.00116
2011-09-14,0.003201,0.000555
2011-09-22,0.000539,0.000349
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,1e-04,0
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.011101,0.002885
2012-05-24,0.016541,0.00339
2012-06-01,0.020098,0.003787
2012-06-09,0.035888,0.005414
2012-06-17,0.034998,0.005398
2012-06-25,0.035099,0.006113
2012-07-03,0.026281,0.005188
2012-07-11,0.02711,0.004889
2012-07-19,0.020363,0.007287
2012-07-27,0.025926,0.004801
2012-08-04,0.025044,0.003752
2012-08-12,0.022214,0.003527
2012-08-20,0.020266,0.003335
2012-08-28,0.010108,0.001623
2012-09-05,0.006121,0.000948
2012-09-13,0.006343,0.001087
2012-09-21,0.003708,0.000723
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.015101,0.00356
2013-06-02,0.01474,0.002808
2013-06-10,0.024865,0.004401
2013-06-18,0.035208,0.005839
2013-06-26,0.03079,0.004858
2013-07-04,0.029193,0.005021
2013-07-12,0.028818,0.003993
2013-07-20,0.032078,0.004903
2013-07-28,0.023976,0.003953
2013-08-05,0.024795,0.004809
2013-08-13,0.015445,0.005188
2013-08-21,0.012593,0.001647
2013-08-29,0.008146,0.001288
2013-09-06,0.005774,0.000992
2013-09-14,0.001059,0.000303
2013-09-22,0.001505,0.000396
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.001186,0.000407
2014-05-09,0.005927,0.002691
2014-05-17,0.001756,0.000476
2014-05-25,0.012819,0.002333
2014-06-02,0.023884,0.003492
2014-06-10,0.026408,0.004352
2014-06-18,0.034965,0.005655
2014-06-26,0.034983,0.005938
2014-07-04,0.04369,0.006468
2014-07-12,0.03569,0.005581
2014-07-20,0.01906,0.003357
2014-07-28,0.016308,0.002192
2014-08-05,0.024503,0.003271
2014-08-13,0.02163,0.002851
2014-08-21,0.017223,0.002554
2014-08-29,0.006806,0.001402
2014-09-06,0.006184,0.001037
2014-09-14,0.000791,0.000187
2014-09-22,0.001251,0.000304
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,0,0
2015-04-15,3e-04,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.007783,0.003097
2015-05-17,0.021801,0.004259
2015-05-25,0.019412,0.0028
2015-06-02,0.014706,0.002595
2015-06-10,0.023238,0.003901
2015-06-18,0.036355,0.00521
2015-06-26,0.026282,0.00664
2015-07-04,0.031166,0.004567
2015-07-12,0.01717,0.009044
2015-07-20,0.006025,0.003024
2015-07-28,0.012851,0.007306
2015-08-05,0.01864,0.002702
2015-08-13,0.01088,0.005747
2015-08-21,0.012004,0.002203
2015-08-29,0.000783,0.000266
2015-09-06,0.004414,0.000743
2015-09-14,0.000932,0.000375
2015-09-22,0.001049,0.000229
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0012,0.00031
2016-05-08,0.013054,0.002436
2016-05-16,0.010729,0.002295
2016-05-24,0.014083,0.002237
2016-06-01,0.013701,0.002086
