MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010009,2010-01-09,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010017,2010-01-17,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010025,2010-01-25,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010033,2010-02-02,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010041,2010-02-10,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010049,2010-02-18,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010057,2010-02-26,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010065,2010-03-06,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010073,2010-03-14,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010081,2010-03-22,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010089,2010-03-30,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010097,2010-04-07,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010105,2010-04-15,MOD17A2H,PsnNet_500m,0.0005,0.0005,0.0015,0.0000,0.0005,0.0000,0.0000,167,3,1.80
A2010113,2010-04-23,MOD17A2H,PsnNet_500m,0.0000,0.0120,1.0689,0.0120,0.0064,0.0000,0.0013,167,167,100.00
A2010121,2010-05-01,MOD17A2H,PsnNet_500m,0.0000,0.0029,0.2076,0.0029,0.0012,0.0000,0.0004,167,167,100.00
A2010129,2010-05-09,MOD17A2H,PsnNet_500m,0.0000,0.0066,0.5896,0.0066,0.0035,0.0000,0.0007,167,167,100.00
A2010137,2010-05-17,MOD17A2H,PsnNet_500m,0.0000,0.0197,1.9465,0.0197,0.0117,0.0000,0.0026,167,167,100.00
A2010145,2010-05-25,MOD17A2H,PsnNet_500m,0.0000,0.0385,3.8421,0.0385,0.0230,0.0000,0.0039,167,167,100.00
A2010153,2010-06-02,MOD17A2H,PsnNet_500m,0.0000,0.0380,4.2669,0.0380,0.0256,0.0000,0.0037,167,167,100.00
A2010161,2010-06-10,MOD17A2H,PsnNet_500m,0.0000,0.0335,3.1787,0.0335,0.0190,0.0000,0.0035,167,167,100.00
A2010169,2010-06-18,MOD17A2H,PsnNet_500m,0.0000,0.0510,5.7136,0.0510,0.0342,0.0000,0.0056,167,167,100.00
A2010177,2010-06-26,MOD17A2H,PsnNet_500m,0.0000,0.0534,4.8674,0.0534,0.0291,0.0000,0.0052,167,167,100.00
A2010185,2010-07-04,MOD17A2H,PsnNet_500m,0.0000,0.0523,5.0907,0.0523,0.0305,0.0000,0.0051,167,167,100.00
A2010193,2010-07-12,MOD17A2H,PsnNet_500m,0.0000,0.0378,3.4968,0.0378,0.0224,0.0000,0.0056,167,156,93.41
A2010201,2010-07-20,MOD17A2H,PsnNet_500m,0.0000,0.0384,3.2933,0.0384,0.0197,0.0000,0.0050,167,167,100.00
A2010209,2010-07-28,MOD17A2H,PsnNet_500m,0.0000,0.0412,3.7693,0.0412,0.0226,0.0000,0.0041,167,167,100.00
A2010217,2010-08-05,MOD17A2H,PsnNet_500m,0.0000,0.0364,3.4623,0.0364,0.0207,0.0000,0.0036,167,167,100.00
A2010225,2010-08-13,MOD17A2H,PsnNet_500m,0.0000,0.0460,4.5987,0.0460,0.0275,0.0000,0.0041,167,167,100.00
A2010233,2010-08-21,MOD17A2H,PsnNet_500m,0.0000,0.0190,1.5713,0.0190,0.0095,0.0000,0.0020,167,166,99.40
A2010241,2010-08-29,MOD17A2H,PsnNet_500m,0.0000,0.0184,1.9336,0.0184,0.0116,0.0000,0.0018,167,167,100.00
A2010249,2010-09-06,MOD17A2H,PsnNet_500m,0.0000,0.0128,1.2224,0.0128,0.0073,0.0000,0.0013,167,167,100.00
A2010257,2010-09-14,MOD17A2H,PsnNet_500m,0.0000,0.0051,0.4441,0.0051,0.0027,0.0000,0.0006,167,167,100.00
A2010265,2010-09-22,MOD17A2H,PsnNet_500m,0.0000,0.0014,0.0717,0.0014,0.0005,0.0000,0.0003,167,149,89.22
A2010273,2010-09-30,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010281,2010-10-08,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010289,2010-10-16,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010297,2010-10-24,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010305,2010-11-01,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010313,2010-11-09,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010321,2010-11-17,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010329,2010-11-25,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010337,2010-12-03,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010345,2010-12-11,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010353,2010-12-19,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010361,2010-12-27,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011001,2011-01-01,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011009,2011-01-09,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011017,2011-01-17,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011025,2011-01-25,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011033,2011-02-02,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011041,2011-02-10,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011049,2011-02-18,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011057,2011-02-26,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011065,2011-03-06,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011073,2011-03-14,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011081,2011-03-22,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011089,2011-03-30,MOD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,167,5,2.99
A2011097,2011-04-07,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011105,2011-04-15,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011113,2011-04-23,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011121,2011-05-01,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011129,2011-05-09,MOD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2011137,2011-05-17,MOD17A2H,PsnNet_500m,0.0000,0.0270,2.1613,0.0270,0.0129,0.0000,0.0031,167,167,100.00
A2011145,2011-05-25,MOD17A2H,PsnNet_500m,0.0000,0.0333,3.6327,0.0333,0.0218,0.0000,0.0034,167,167,100.00
A2011153,2011-06-02,MOD17A2H,PsnNet_500m,0.0000,0.0263,2.7746,0.0263,0.0166,0.0000,0.0027,167,167,100.00
