Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,263,159,194,242,177,206,220
2002, Cycle 1,264,134,180,239,156,196,215
2003, Cycle 1,272,137,180,242,158,196,215
2004, Cycle 1,267,135,173,243,152,187,207
2005, Cycle 1,253,115,170,234,147,186,204
2006, Cycle 1,277,133,182,247,159,199,220
2007, Cycle 1,275,126,176,250,152,194,216
2008, Cycle 1,262,127,171,243,146,190,213
2009, Cycle 1,272,127,174,245,147,193,214
2010, Cycle 1,271,120,170,245,143,189,212
2011, Cycle 1,280,130,174,250,148,194,216
2012, Cycle 1,274,121,176,245,153,194,216
2013, Cycle 1,283,138,181,254,158,203,226
2014, Cycle 1,280,111,172,250,140,190,211
2015, Cycle 1,268,121,170,244,142,190,212
2016, Cycle 1,284,115,176,252,145,195,214
2017, Cycle 1,256,120,161,233,140,182,204
2018, Cycle 1,273,132,177,250,152,195,217
2019, Cycle 1,266,130,179,245,150,202,220
2007, Cycle 2,265,126,176,247,148,200,222
2010, Cycle 2,251,125,175,230,151,187,201
2016, Cycle 2,298,123,171,276,142,191,211
2019, Cycle 2,271,125,178,244,149,197,216
