dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,NA
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,NA
2010-04-07,1e-04,0
2010-04-15,9e-04,0
2010-04-23,0.0041,0.000283
2010-05-01,0.00585,0.000354
2010-05-09,0.00725,0.001768
2010-05-17,0.0188,0
2010-05-25,0.03985,0.001202
2010-06-02,0.0413,0.001697
2010-06-10,0.05285,0.002333
2010-06-18,0.05395,0.002333
2010-06-26,0.05875,0.002192
2010-07-04,0.04855,0.004738
2010-07-12,0.0157,0.009334
2010-07-20,0.032,0.002828
2010-07-28,0.04495,0.001061
2010-08-05,0.03265,0.003182
2010-08-13,0.03135,0.003606
2010-08-21,0.0122,0.013576
2010-08-29,0.01295,0.001485
2010-09-06,0.01165,7.1e-05
2010-09-14,0.0066,0.000141
2010-09-22,0.00025,7.1e-05
2010-09-30,0.00105,7.1e-05
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,NA
2011-03-30,NA,NA
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,NA,NA
2011-05-01,3e-04,0
2011-05-09,6e-04,0
2011-05-17,0.02745,0.002192
2011-05-25,0.0512,0.002828
2011-06-02,0.03015,0.003323
2011-06-10,0.0278,0.000283
2011-06-18,0.05045,0.003323
2011-06-26,0.0493,0.002263
2011-07-04,0.05515,0.007849
2011-07-12,0.0032,NA
2011-07-20,0.0511,0.002263
2011-07-28,0.0477,0.007354
2011-08-05,0.01275,0.00799
2011-08-13,0.01895,0.000495
2011-08-21,0.02515,0.001768
2011-08-29,0.0161,0.001697
2011-09-06,0.0115,0.000283
2011-09-14,0.00995,0.000636
2011-09-22,9e-04,0
2011-09-30,0.00115,7.1e-05
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,NA
2012-04-06,NA,NA
2012-04-14,2e-04,0
2012-04-22,3e-04,NA
2012-04-30,1e-04,0
2012-05-08,NA,NA
2012-05-16,0.0203,0.001414
2012-05-24,0.03665,0.001344
2012-06-01,0.0243,0.00396
2012-06-09,0.04765,0.008273
2012-06-17,0.0715,0.004101
2012-06-25,0.0462,0.013859
2012-07-03,0.05925,0.004313
2012-07-11,0.0271,NA
2012-07-19,0.04685,0.001909
2012-07-27,0.04755,0.003182
2012-08-04,0.05025,0.002616
2012-08-12,0.0258,0.00693
2012-08-20,0.0269,0.001697
2012-08-28,0.01095,0.000354
2012-09-05,0.00605,0.000778
2012-09-13,0.00625,0.000212
2012-09-21,0.0081,0.000283
2012-09-29,0.0019,0.000141
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,0,0
2013-05-09,NA,NA
2013-05-17,0.0037,0.000424
2013-05-25,0.031,0.003111
2013-06-02,0.02855,0.000495
2013-06-10,0.0384,0
2013-06-18,0.05265,0.001344
2013-06-26,0.06275,0.004738
2013-07-04,0.0528,0.00099
2013-07-12,0.0514,0.003536
2013-07-20,0.0448,0.005798
2013-07-28,0.062,0.002828
2013-08-05,0.05135,0.002475
2013-08-13,0.0073,0
2013-08-21,0.01255,0.001485
2013-08-29,0.01525,0.000636
2013-09-06,0.01215,0.000212
2013-09-14,NA,NA
2013-09-22,0.001,0.000141
2013-09-30,9e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,NA
2014-04-15,3e-04,0
2014-04-23,0.00115,0.000212
2014-05-01,0.0071,0.000566
2014-05-09,0.01555,0.001909
2014-05-17,0.00415,0.000354
2014-05-25,0.031,0.005091
2014-06-02,0.03525,0.002333
2014-06-10,0.037,0.003394
2014-06-18,0.04515,0.002475
2014-06-26,0.06095,0.001202
2014-07-04,0.02485,0.004738
2014-07-12,0.0558,0.001273
2014-07-20,0.03755,0.000354
2014-07-28,0.02295,0.009829
2014-08-05,0.02025,0.003041
2014-08-13,0.0318,0.00198
2014-08-21,0.02805,0.000354
2014-08-29,0.00935,0.000212
2014-09-06,0.00955,0.001485
2014-09-14,0.00775,0.000495
2014-09-22,0.00305,0.000354
2014-09-30,0.00055,7.1e-05
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,NA
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,NA
2015-04-07,1e-04,NA
2015-04-15,6e-04,NA
2015-04-23,7e-04,NA
2015-05-01,0.0013,0.000424
2015-05-09,0.0197,0.001838
2015-05-17,0.0446,0.00198
2015-05-25,0.03515,0.000919
2015-06-02,0.02975,0.001202
2015-06-10,0.01865,0.003041
2015-06-18,0.07025,0.003323
2015-06-26,0.0486,0.000566
2015-07-04,0.0489,0.005374
2015-07-12,0.04555,0.001626
2015-07-20,0.03155,0.00502
2015-07-28,0.0059,0
2015-08-05,0.0319,0.001697
2015-08-13,0.02505,0.007566
2015-08-21,0.0125,0.00297
2015-08-29,0.00405,0.000778
2015-09-06,0.01045,0.000354
2015-09-14,NA,NA
2015-09-22,2e-04,0
2015-09-30,4e-04,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00025,0.000212
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,NA,NA
2016-04-22,0.001,0.000283
2016-04-30,0.0096,0.001838
2016-05-08,0.0236,0.001838
2016-05-16,0.0155,0.000849
2016-05-24,0.0226,0.000283
2016-06-01,0.0221,0
