dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000926,0.000239
2010-04-23,0.00472,0.002141
2010-05-01,0.005348,0.001662
2010-05-09,0.007323,0.002014
2010-05-17,0.018808,0.001509
2010-05-25,0.039958,0.004069
2010-06-02,0.042177,0.004158
2010-06-10,0.05368,0.006312
2010-06-18,0.050162,0.006194
2010-06-26,0.05261,0.010865
2010-07-04,0.05052,0.005522
2010-07-12,0.024217,0.011163
2010-07-20,0.03288,0.006437
2010-07-28,0.049583,0.004098
2010-08-05,0.032933,0.003649
2010-08-13,0.03282,0.003142
2010-08-21,0.01413,0.006231
2010-08-29,0.012375,0.004316
2010-09-06,0.012943,0.0017
2010-09-14,0.006767,0.000892
2010-09-22,0.000369,0.000378
2010-09-30,0.000842,0.000288
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,2.1e-05,4.1e-05
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000172,4.6e-05
2011-05-01,0.000573,0.000329
2011-05-09,0.000963,0.000477
2011-05-17,0.029398,0.00212
2011-05-25,0.047773,0.004234
2011-06-02,0.030595,0.002685
2011-06-10,0.029565,0.005689
2011-06-18,0.048917,0.010174
2011-06-26,0.051987,0.004499
2011-07-04,0.04769,0.016992
2011-07-12,0.009178,0.004285
2011-07-20,0.05191,0.005919
2011-07-28,0.053055,0.006213
2011-08-05,0.017305,0.005615
2011-08-13,0.019067,0.003372
2011-08-21,0.026643,0.002938
2011-08-29,0.016928,0.002719
2011-09-06,0.01306,0.001596
2011-09-14,0.011042,0.001895
2011-09-22,0.000698,0.000272
2011-09-30,0.001373,0.000572
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,0.000448,0.000228
2012-04-22,4e-04,0.000134
2012-04-30,0.000203,0.000101
2012-05-08,0.002555,0.001009
2012-05-16,0.01899,0.003535
2012-05-24,0.020762,0.006181
2012-06-01,0.02937,0.005167
2012-06-09,0.04084,0.009933
2012-06-17,0.064898,0.00495
2012-06-25,0.039995,0.015864
2012-07-03,0.061145,0.003719
2012-07-11,0.03866,0.013954
2012-07-19,0.042367,0.012013
2012-07-27,0.046872,0.003928
2012-08-04,0.046453,0.004067
2012-08-12,0.033702,0.005996
2012-08-20,0.027282,0.004521
2012-08-28,0.012412,0.001088
2012-09-05,0.005502,0.002123
2012-09-13,0.006877,0.001759
2012-09-21,0.00949,0.001663
2012-09-29,0.001292,0.000389
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,0.000709,0.000211
2013-05-17,0.003976,0.001361
2013-05-25,0.03114,0.002452
2013-06-02,0.029692,0.002646
2013-06-10,0.041517,0.005462
2013-06-18,0.057202,0.005991
2013-06-26,0.065182,0.004778
2013-07-04,0.050203,0.004846
2013-07-12,0.054657,0.004688
2013-07-20,0.042978,0.011484
2013-07-28,0.0647,0.004967
2013-08-05,0.058263,0.005249
2013-08-13,0.011535,0.008056
2013-08-21,0.012715,0.002535
2013-08-29,0.016052,0.001535
2013-09-06,0.011908,0.001349
2013-09-14,0.001182,0.000366
2013-09-22,0.000875,0.000183
2013-09-30,0.000912,0.000616
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000205,0.000108
2014-04-15,0.000349,8.7e-05
2014-04-23,0.0013,0.000525
2014-05-01,0.009707,0.002704
2014-05-09,0.018892,0.002851
2014-05-17,0.004556,0.00134
2014-05-25,0.027038,0.006479
2014-06-02,0.036745,0.00321
2014-06-10,0.039053,0.005643
2014-06-18,0.044208,0.004991
2014-06-26,0.063062,0.004653
2014-07-04,0.028643,0.011878
2014-07-12,0.051857,0.008349
2014-07-20,0.029083,0.009724
2014-07-28,0.025874,0.008462
2014-08-05,0.01512,0.007054
2014-08-13,0.031892,0.003538
2014-08-21,0.029147,0.003776
2014-08-29,0.010008,0.001077
2014-09-06,0.009823,0.001058
2014-09-14,0.008278,0.001374
2014-09-22,0.003405,0.000507
2014-09-30,0.000686,0.00017
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,2e-06,1.5e-05
2015-03-30,0,0
2015-04-07,0.000171,4.7e-05
2015-04-15,0.000695,0.000196
2015-04-23,0.000906,0.000243
2015-05-01,0.001489,0.000559
2015-05-09,0.018157,0.00566
2015-05-17,0.04567,0.00333
2015-05-25,0.037975,0.003406
2015-06-02,0.0229,0.007199
2015-06-10,0.01449,0.00899
2015-06-18,0.059173,0.006562
2015-06-26,0.048493,0.00563
2015-07-04,0.050828,0.005037
2015-07-12,0.040148,0.005635
2015-07-20,0.036457,0.010952
2015-07-28,0.027161,0.012151
2015-08-05,0.033363,0.003489
2015-08-13,0.026002,0.005454
2015-08-21,0.01374,0.002766
2015-08-29,0.002727,0.00118
2015-09-06,0.010658,0.001444
2015-09-14,0.000635,0.000146
2015-09-22,0.000305,0.000187
2015-09-30,0.00034,7.9e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000245,0.000155
2016-03-29,0,0
2016-04-06,2.7e-05,4.5e-05
2016-04-14,6e-06,2.5e-05
2016-04-22,0.00138,0.000752
