dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,NA
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,NA
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.0038,0.000141
2010-05-01,0.0053,0.000283
2010-05-09,0.0064,0.001556
2010-05-17,0.0174,0
2010-05-25,0.0362,0.000849
2010-06-02,0.038,0.001556
2010-06-10,0.04805,0.002192
2010-06-18,0.0491,0.00198
2010-06-26,0.05185,0.001768
2010-07-04,0.04375,0.004313
2010-07-12,0.0146,0.008344
2010-07-20,0.02845,0.002475
2010-07-28,0.039,0.000849
2010-08-05,0.02925,0.002758
2010-08-13,0.02865,0.003323
2010-08-21,0.01085,0.01195
2010-08-29,0.0117,0.001273
2010-09-06,0.0103,0.000141
2010-09-14,0.0058,0.000141
2010-09-22,2e-04,0
2010-09-30,9e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,NA
2011-03-30,NA,NA
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,NA,NA
2011-05-01,3e-04,0
2011-05-09,5e-04,0
2011-05-17,0.02535,0.002051
2011-05-25,0.04665,0.002333
2011-06-02,0.0274,0.003111
2011-06-10,0.0254,0.000424
2011-06-18,0.0449,0.00297
2011-06-26,0.0446,0.00198
2011-07-04,0.04945,0.006718
2011-07-12,0.0029,NA
2011-07-20,0.04455,0.001909
2011-07-28,0.04205,0.00601
2011-08-05,0.011,0.006788
2011-08-13,0.01725,0.000354
2011-08-21,0.0227,0.001697
2011-08-29,0.01445,0.001485
2011-09-06,0.01035,0.000212
2011-09-14,0.0088,0.000707
2011-09-22,0.00085,7.1e-05
2011-09-30,9e-04,0
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,NA
2012-04-06,NA,NA
2012-04-14,2e-04,0
2012-04-22,2e-04,NA
2012-04-30,1e-04,0
2012-05-08,NA,NA
2012-05-16,0.0187,0.001273
2012-05-24,0.03315,0.000919
2012-06-01,0.02225,0.003606
2012-06-09,0.0433,0.006505
2012-06-17,0.0614,0.002828
2012-06-25,0.0403,0.011314
2012-07-03,0.05265,0.003748
2012-07-11,0.025,NA
2012-07-19,0.0407,0.001414
2012-07-27,0.04055,0.002192
2012-08-04,0.0442,0.00198
2012-08-12,0.0229,0.005657
2012-08-20,0.0244,0.001556
2012-08-28,0.00985,0.000495
2012-09-05,0.0053,0.000849
2012-09-13,0.0057,0.000141
2012-09-21,0.0071,0.000283
2012-09-29,0.0015,0.000141
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,0,0
2013-05-09,NA,NA
2013-05-17,0.00355,0.000495
2013-05-25,0.02845,0.002758
2013-06-02,0.02605,0.000212
2013-06-10,0.0353,0
2013-06-18,0.0472,0.001131
2013-06-26,0.0553,0.00396
2013-07-04,0.0464,0.000566
2013-07-12,0.0453,0.002687
2013-07-20,0.03995,0.004879
2013-07-28,0.0536,0.001838
2013-08-05,0.0445,0.002263
2013-08-13,0.0067,0
2013-08-21,0.01135,0.001344
2013-08-29,0.01345,0.000495
2013-09-06,0.0105,0.000141
2013-09-14,NA,NA
2013-09-22,8e-04,0.000141
2013-09-30,7e-04,0.000141
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,NA
2014-04-15,2e-04,0
2014-04-23,0.001,0.000283
2014-05-01,0.0065,0.000283
2014-05-09,0.0142,0.001697
2014-05-17,0.0039,0.000141
2014-05-25,0.0283,0.004384
2014-06-02,0.03225,0.002192
2014-06-10,0.03385,0.002758
2014-06-18,0.0413,0.00198
2014-06-26,0.054,0.001131
2014-07-04,0.0224,0.00396
2014-07-12,0.0499,0.00099
2014-07-20,0.03255,0.000212
2014-07-28,0.0206,0.008202
2014-08-05,0.01785,0.002333
2014-08-13,0.02735,0.001626
2014-08-21,0.02555,0.000212
2014-08-29,0.0083,0.000141
2014-09-06,0.00835,0.001344
2014-09-14,0.00675,0.000495
2014-09-22,0.00265,0.000354
2014-09-30,4e-04,0
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,NA
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,NA
2015-04-07,1e-04,NA
2015-04-15,6e-04,NA
2015-04-23,6e-04,NA
2015-05-01,0.00125,0.000354
2015-05-09,0.01825,0.001626
2015-05-17,0.0402,0.001697
2015-05-25,0.0321,0.000566
2015-06-02,0.0269,0.00099
2015-06-10,0.0171,0.002687
2015-06-18,0.0609,0.002546
2015-06-26,0.04195,0.000495
2015-07-04,0.0438,0.004525
2015-07-12,0.03975,0.001344
2015-07-20,0.0285,0.004243
2015-07-28,0.0053,0
2015-08-05,0.028,0.001273
2015-08-13,0.02285,0.006293
2015-08-21,0.0112,0.002687
2015-08-29,0.0037,0.000566
2015-09-06,0.0094,0.000283
2015-09-14,NA,NA
2015-09-22,2e-04,0
2015-09-30,3e-04,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,2e-04,0.000141
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,NA,NA
2016-04-22,9e-04,0.000141
2016-04-30,0.00875,0.001485
2016-05-08,0.02175,0.001626
2016-05-16,0.01385,0.000636
2016-05-24,0.02075,0.000354
2016-06-01,0.01995,7.1e-05
2016-06-09,0.0405,0
