dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000794,0.000241
2010-04-23,0.004402,0.001959
2010-05-01,0.004768,0.001443
2010-05-09,0.00659,0.001766
2010-05-17,0.017285,0.00137
2010-05-25,0.036222,0.003493
2010-06-02,0.038693,0.003669
2010-06-10,0.04877,0.005363
2010-06-18,0.045745,0.005308
2010-06-26,0.046578,0.009031
2010-07-04,0.045492,0.004713
2010-07-12,0.022114,0.00996
2010-07-20,0.028787,0.0053
2010-07-28,0.04309,0.003228
2010-08-05,0.028312,0.003076
2010-08-13,0.029853,0.002752
2010-08-21,0.012879,0.005534
2010-08-29,0.011043,0.003668
2010-09-06,0.011452,0.001464
2010-09-14,0.005772,0.000776
2010-09-22,0.000261,0.000208
2010-09-30,0.000665,0.000276
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,-2e-06,1.4e-05
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000172,4.6e-05
2011-05-01,0.000535,0.000301
2011-05-09,0.000843,0.000452
2011-05-17,0.027218,0.001929
2011-05-25,0.043708,0.003695
2011-06-02,0.028005,0.002358
2011-06-10,0.02694,0.004919
2011-06-18,0.043572,0.008649
2011-06-26,0.046792,0.003746
2011-07-04,0.042672,0.014695
2011-07-12,0.008196,0.003708
2011-07-20,0.045187,0.004591
2011-07-28,0.046548,0.004861
2011-08-05,0.01529,0.004764
2011-08-13,0.017325,0.002935
2011-08-21,0.02404,0.002481
2011-08-29,0.015203,0.002273
2011-09-06,0.011765,0.001405
2011-09-14,0.009722,0.001614
2011-09-22,0.00062,0.000255
2011-09-30,0.001083,0.000448
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,2.7e-05,4.5e-05
2012-04-14,0.000359,0.000203
2012-04-22,0.000314,0.000128
2012-04-30,0.000176,8.3e-05
2012-05-08,0.002326,0.000945
2012-05-16,0.0175,0.003214
2012-05-24,0.01912,0.005543
2012-06-01,0.026892,0.004582
2012-06-09,0.037308,0.008741
2012-06-17,0.056387,0.003812
2012-06-25,0.035095,0.013118
2012-07-03,0.054225,0.002879
2012-07-11,0.03459,0.01208
2012-07-19,0.036874,0.009999
2012-07-27,0.040235,0.003006
2012-08-04,0.041217,0.003268
2012-08-12,0.02948,0.005179
2012-08-20,0.024628,0.003942
2012-08-28,0.011098,0.00094
2012-09-05,0.004923,0.001869
2012-09-13,0.00609,0.001491
2012-09-21,0.008228,0.001367
2012-09-29,0.001072,0.000288
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,0.000696,0.000187
2013-05-17,0.003735,0.001273
2013-05-25,0.028622,0.002189
2013-06-02,0.027153,0.002364
2013-06-10,0.03784,0.004798
2013-06-18,0.051,0.005017
2013-06-26,0.056898,0.003823
2013-07-04,0.044103,0.003814
2013-07-12,0.047803,0.003651
2013-07-20,0.038108,0.009883
2013-07-28,0.055792,0.003829
2013-08-05,0.049817,0.003928
2013-08-13,0.010184,0.006689
2013-08-21,0.011481,0.00222
2013-08-29,0.01414,0.001248
2013-09-06,0.010387,0.001124
2013-09-14,0.001,0.000275
2013-09-22,0.000614,0.000292
2013-09-30,0.000691,0.000517
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000198,0.000103
2014-04-15,0.000251,0.000112
2014-04-23,0.001172,0.000503
2014-05-01,0.008883,0.002438
2014-05-09,0.017255,0.00256
2014-05-17,0.004167,0.001195
2014-05-25,0.024648,0.005686
2014-06-02,0.033635,0.002837
2014-06-10,0.035485,0.004877
2014-06-18,0.040345,0.00443
2014-06-26,0.055957,0.003688
2014-07-04,0.02597,0.010291
2014-07-12,0.046723,0.006913
2014-07-20,0.025427,0.007982
2014-07-28,0.022886,0.007215
2014-08-05,0.013273,0.006011
2014-08-13,0.028168,0.003138
2014-08-21,0.026472,0.003184
2014-08-29,0.008948,0.000909
2014-09-06,0.00854,0.000911
2014-09-14,0.007137,0.001126
2014-09-22,0.002797,0.000377
2014-09-30,0.000481,0.000136
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000164,5e-05
2015-04-15,0.000656,0.000197
2015-04-23,0.000837,0.000307
2015-05-01,0.001414,0.000484
2015-05-09,0.016718,0.005138
2015-05-17,0.041085,0.002821
2015-05-25,0.03446,0.002908
2015-06-02,0.020812,0.006285
2015-06-10,0.013334,0.00811
2015-06-18,0.052257,0.005226
2015-06-26,0.041683,0.00437
2015-07-04,0.045418,0.004228
2015-07-12,0.035463,0.004644
2015-07-20,0.032264,0.00901
2015-07-28,0.023779,0.01021
2015-08-05,0.029293,0.0029
2015-08-13,0.023337,0.004733
2015-08-21,0.012243,0.002364
2015-08-29,0.002485,0.001076
2015-09-06,0.009518,0.001275
2015-09-14,0.000624,9.7e-05
2015-09-22,0.000207,6.3e-05
2015-09-30,0.000257,8e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000188,0.00011
2016-03-29,0,0
2016-04-06,2e-06,1.3e-05
2016-04-14,0,0
2016-04-22,0.001283,0.00066
