dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000752,0.000198
2010-04-23,0.003895,0.001963
2010-05-01,0.004328,0.001416
2010-05-09,0.006594,0.001645
2010-05-17,0.017027,0.001708
2010-05-25,0.035002,0.003873
2010-06-02,0.036625,0.003588
2010-06-10,0.047133,0.005873
2010-06-18,0.043607,0.005666
2010-06-26,0.045048,0.007916
2010-07-04,0.043076,0.004229
2010-07-12,0.022078,0.008875
2010-07-20,0.028121,0.004711
2010-07-28,0.041879,0.003078
2010-08-05,0.027099,0.003455
2010-08-13,0.028417,0.002745
2010-08-21,0.011325,0.005942
2010-08-29,0.010874,0.003752
2010-09-06,0.011286,0.001479
2010-09-14,0.00594,0.000946
2010-09-22,0.000207,3.8e-05
2010-09-30,0.000706,0.000268
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000143,5.7e-05
2011-05-01,0.000403,0.000275
2011-05-09,0.000717,0.000476
2011-05-17,0.026903,0.002417
2011-05-25,0.042861,0.003788
2011-06-02,0.027163,0.002098
2011-06-10,0.024942,0.004531
2011-06-18,0.040919,0.008021
2011-06-26,0.044353,0.003255
2011-07-04,0.041453,0.011087
2011-07-12,0.008009,0.003463
2011-07-20,0.04225,0.004866
2011-07-28,0.045127,0.005244
2011-08-05,0.012732,0.004808
2011-08-13,0.016017,0.003081
2011-08-21,0.024241,0.002963
2011-08-29,0.015507,0.002573
2011-09-06,0.012021,0.0016
2011-09-14,0.009606,0.001628
2011-09-22,0.000537,0.000255
2011-09-30,0.00092,0.000396
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1.8e-05,3.9e-05
2012-04-14,0.000298,0.000198
2012-04-22,0.000317,0.000107
2012-04-30,0.000139,7.9e-05
2012-05-08,0.002021,0.000957
2012-05-16,0.017108,0.003109
2012-05-24,0.018783,0.004924
2012-06-01,0.0285,0.004843
2012-06-09,0.035061,0.008988
2012-06-17,0.055512,0.004263
2012-06-25,0.026165,0.011756
2012-07-03,0.051712,0.006588
2012-07-11,0.02704,0.014311
2012-07-19,0.031796,0.010642
2012-07-27,0.037951,0.004563
2012-08-04,0.037947,0.004989
2012-08-12,0.026891,0.005794
2012-08-20,0.02272,0.00438
2012-08-28,0.010407,0.001313
2012-09-05,0.00426,0.001978
2012-09-13,0.005399,0.001805
2012-09-21,0.008338,0.001535
2012-09-29,0.001013,0.000281
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,4e-06,2e-05
2013-05-01,1.2e-05,3.4e-05
2013-05-09,0.000719,0.000279
2013-05-17,0.00336,0.001479
2013-05-25,0.027884,0.003731
2013-06-02,0.026385,0.004563
2013-06-10,0.035231,0.006668
2013-06-18,0.047686,0.007163
2013-06-26,0.052923,0.005613
2013-07-04,0.040702,0.005231
2013-07-12,0.045116,0.005228
2013-07-20,0.035695,0.01068
2013-07-28,0.05313,0.00517
2013-08-05,0.047116,0.005635
2013-08-13,0.009959,0.006809
2013-08-21,0.011072,0.001924
2013-08-29,0.01321,0.001757
2013-09-06,0.010364,0.001336
2013-09-14,0.000877,0.00019
2013-09-22,0.000616,0.000288
2013-09-30,0.000408,0.000432
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000161,0.000118
2014-04-15,0.00021,8.2e-05
2014-04-23,0.001018,0.000481
2014-05-01,0.008662,0.002755
2014-05-09,0.016774,0.002989
2014-05-17,0.00395,0.001255
2014-05-25,0.025795,0.005606
2014-06-02,0.032883,0.004035
2014-06-10,0.031984,0.005224
2014-06-18,0.038429,0.004897
2014-06-26,0.053163,0.004728
2014-07-04,0.027401,0.009357
2014-07-12,0.047223,0.006968
2014-07-20,0.023124,0.008147
2014-07-28,0.024123,0.006341
2014-08-05,0.011799,0.005554
2014-08-13,0.02644,0.003547
2014-08-21,0.024025,0.004108
2014-08-29,0.008723,0.001059
2014-09-06,0.008603,0.001031
2014-09-14,0.006717,0.000952
2014-09-22,0.002707,0.000446
2014-09-30,0.000457,0.000135
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000186,0.000103
2015-04-15,0.000707,0.000273
2015-04-23,0.000967,0.000427
2015-05-01,0.001302,0.000544
2015-05-09,0.014673,0.005201
2015-05-17,0.039448,0.003918
2015-05-25,0.032569,0.003665
2015-06-02,0.019228,0.006034
2015-06-10,0.016977,0.009468
2015-06-18,0.051108,0.005857
2015-06-26,0.039432,0.00435
2015-07-04,0.043324,0.004365
2015-07-12,0.034478,0.005289
2015-07-20,0.029704,0.009081
2015-07-28,0.022998,0.009524
2015-08-05,0.028305,0.002681
2015-08-13,0.021961,0.004544
2015-08-21,0.012441,0.001727
2015-08-29,0.002373,0.000798
2015-09-06,0.009819,0.001605
2015-09-14,0.00115,0.001059
2015-09-22,0.000192,6.7e-05
2015-09-30,0.000242,8.7e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-03,NA,NA
2015-12-11,NA,NA
2015-12-19,NA,NA
2015-12-27,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000157,0.000117
2016-03-29,0,0
2016-04-06,5e-06,2.2e-05
2016-04-14,0,0
2016-04-22,0.001108,0.000645
