Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,263,157,195,244,174,209,225
2002, Cycle 1,262,146,185,237,164,199,215
2003, Cycle 1,259,143,184,237,164,199,215
2004, Cycle 1,271,138,185,245,165,201,219
2005, Cycle 1,271,106,183,243,159,201,220
2006, Cycle 1,280,122,185,247,162,204,223
2007, Cycle 1,269,118,183,247,160,198,218
2008, Cycle 1,264,140,179,238,159,194,214
2009, Cycle 1,269,139,179,245,160,194,216
2010, Cycle 1,271,121,174,246,148,196,221
2011, Cycle 1,269,129,186,248,161,204,223
2012, Cycle 1,275,139,179,244,158,197,216
2013, Cycle 1,276,137,186,248,164,203,222
2014, Cycle 1,267,137,181,242,159,197,215
2015, Cycle 1,272,129,172,242,148,189,209
2016, Cycle 1,286,115,180,245,153,197,216
2017, Cycle 1,274,113,179,247,154,198,220
2018, Cycle 1,269,118,181,239,158,195,211
2019, Cycle 1,262,133,173,237,151,193,214
2003, Cycle 2,280,155,188,247,170,202,219
2010, Cycle 2,264,129,175,244,152,196,223
2012, Cycle 2,281,149,182,245,164,202,221
2013, Cycle 2,273,149,190,246,167,206,224
2019, Cycle 2,274,132,177,252,148,203,225
