dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,5e-04,NA
2010-04-23,0.012125,0.001382
2010-05-01,0.003275,0.000709
2010-05-09,0.00855,0.002283
2010-05-17,0.0218,0.003195
2010-05-25,0.042325,0.003528
2010-06-02,0.041375,0.004051
2010-06-10,0.0332,0.003735
2010-06-18,0.056675,0.002767
2010-06-26,0.05335,0.001256
2010-07-04,0.05965,0.001559
2010-07-12,0.037125,0.002533
2010-07-20,0.034975,0.007837
2010-07-28,0.05155,0.005975
2010-08-05,0.0423,0.00186
2010-08-13,0.046025,0.002763
2010-08-21,0.010375,0.003148
2010-08-29,0.020675,0.002291
2010-09-06,0.012875,0.001159
2010-09-14,0.0066,0.00139
2010-09-22,0.000475,0.00015
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.021475,0.00555
2011-05-25,0.0361,0.004371
2011-06-02,0.025925,0.002241
2011-06-10,0.034267,0.002454
2011-06-18,0.05815,0.004352
2011-06-26,0.057875,0.004797
2011-07-04,0.051525,0.003071
2011-07-12,0.054225,0.005538
2011-07-20,0.0585,0.003888
2011-07-28,0.0545,0.001908
2011-08-05,0.0387,0.002667
2011-08-13,0.0265,0.00098
2011-08-21,0.030025,0.003688
2011-08-29,0.0195,0
2011-09-06,0.01225,0.001112
2011-09-14,0.006275,0.001607
2011-09-22,8e-04,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.015925,0.006303
2012-05-24,0.029025,0.004916
2012-06-01,0.03225,0.005047
2012-06-09,0.05725,0.004149
2012-06-17,0.06265,0.003198
2012-06-25,0.0679,0.004221
2012-07-03,0.056,0.005175
2012-07-11,0.048775,0.002486
2012-07-19,0.03325,0.007164
2012-07-27,0.05275,0.003049
2012-08-04,0.04625,0.001012
2012-08-12,0.040825,0.002992
2012-08-20,0.03745,0.003175
2012-08-28,0.014625,0.001184
2012-09-05,0.009125,0.001187
2012-09-13,0.011325,0.000995
2012-09-21,0.007625,0.000862
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.0263,0.00321
2013-06-02,0.025125,0.003128
2013-06-10,0.033475,0.005329
2013-06-18,0.06645,0.007519
2013-06-26,0.053375,0.003625
2013-07-04,0.050525,0.005436
2013-07-12,0.0475,0.002246
2013-07-20,0.0584,0.003625
2013-07-28,0.0462,0.003212
2013-08-05,0.053225,0.001628
2013-08-13,0.0095,0.005467
2013-08-21,0.0177,0.001111
2013-08-29,0.0151,0.001042
2013-09-06,0.01045,0.000943
2013-09-14,0.002,0.000819
2013-09-22,0.0035,0.000476
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.00165,0.000635
2014-05-09,0.011075,0.006234
2014-05-17,0.00405,0.003938
2014-05-25,0.020625,0.002632
2014-06-02,0.0361,0.002952
2014-06-10,0.043,0.004231
2014-06-18,0.06325,0.003264
2014-06-26,0.069475,0.003764
2014-07-04,0.072375,0.003976
2014-07-12,0.06785,0.011824
2014-07-20,0.03645,0.002283
2014-07-28,0.02935,0.001559
2014-08-05,0.0385,0.000816
2014-08-13,0.031475,0.003233
2014-08-21,0.029875,0.002382
2014-08-29,0.013375,0.00115
2014-09-06,0.01135,0.00042
2014-09-14,0.0022,0.001697
2014-09-22,0.003275,0.000287
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,6e-04,NA
2015-05-01,5e-04,NA
2015-05-09,0.01495,0.003489
2015-05-17,0.037375,0.006887
2015-05-25,0.031925,0.00293
2015-06-02,0.02215,0.00248
2015-06-10,0.034475,0.002317
2015-06-18,0.0611,0.004221
2015-06-26,0.05425,0.004358
2015-07-04,0.0443,NA
2015-07-12,0.052533,0.000404
2015-07-20,0.016025,0.000519
2015-07-28,0.037825,0.00659
2015-08-05,0.0266,0.001855
2015-08-13,0.026,0.0026
2015-08-21,0.0181,0.002542
2015-08-29,NA,NA
2015-09-06,0.008025,0.001014
2015-09-14,0.00115,0.000404
2015-09-22,0.0022,0
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0013,0
2016-05-08,0.0217,0.005449
2016-05-16,0.015475,0.00295
2016-05-24,0.02125,0.0023
2016-06-01,0.021275,0.001846
2016-06-09,0.036675,0.003531
2016-06-17,0.04455,0.002081
