dates,mixed_forest_mean,mixed_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.0014,0
2010-04-23,0.0134,0.001414
2010-05-01,0.0036,0
2010-05-09,0.0093,0.000566
2010-05-17,0.0222,0.001838
2010-05-25,0.0458,0.001131
2010-06-02,0.0465,0.001131
2010-06-10,0.038,0
2010-06-18,0.06215,7.1e-05
2010-06-26,0.0579,0.001273
2010-07-04,0.06465,0.001344
2010-07-12,0.0397,0
2010-07-20,0.03165,0.005586
2010-07-28,0.0482,0.00099
2010-08-05,0.04615,0.002616
2010-08-13,0.0491,0.000424
2010-08-21,0.02095,0.001344
2010-08-29,0.0232,0.002828
2010-09-06,0.01375,0.001485
2010-09-14,0.00645,7.1e-05
2010-09-22,0.00055,0.000212
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,0,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.0281,0.001556
2011-05-25,0.03945,0.001202
2011-06-02,0.0278,0.002121
2011-06-10,0.03375,0.005728
2011-06-18,0.0648,0.000707
2011-06-26,0.06205,0.000636
2011-07-04,0.057,0.003253
2011-07-12,0.0535,0.003253
2011-07-20,0.06405,0.002333
2011-07-28,0.05995,7.1e-05
2011-08-05,0.04135,0.000778
2011-08-13,0.02895,0.000495
2011-08-21,0.03655,0.000354
2011-08-29,0.0223,0.001273
2011-09-06,0.01325,7.1e-05
2011-09-14,0.0059,0.000849
2011-09-22,8e-04,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.0237,0.004101
2012-05-24,0.0327,0.001556
2012-06-01,0.03645,0.000495
2012-06-09,0.0632,0.000849
2012-06-17,0.06985,0.000636
2012-06-25,0.07575,0.000636
2012-07-03,0.05875,0.000495
2012-07-11,0.0554,0.003818
2012-07-19,NA,NA
2012-07-27,0.0583,0.001131
2012-08-04,0.05255,0.001485
2012-08-12,0.04395,0.000354
2012-08-20,0.04065,0.001202
2012-08-28,0.0164,0
2012-09-05,0.0111,0.000283
2012-09-13,0.01215,0.000636
2012-09-21,0.00815,7.1e-05
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.02885,0.002899
2013-06-02,0.028,0
2013-06-10,0.04905,0.001061
2013-06-18,0.07445,0.000636
2013-06-26,0.05965,0.000636
2013-07-04,0.0616,0.000566
2013-07-12,0.054,0.000424
2013-07-20,0.063,0
2013-07-28,0.0513,0.000566
2013-08-05,0.0563,0.00198
2013-08-13,0.01685,0.000354
2013-08-21,0.0193,0
2013-08-29,0.01695,0.000212
2013-09-06,0.01215,0.000354
2013-09-14,0.0016,NA
2013-09-22,0.00335,7.1e-05
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0033,0.001131
2014-05-09,0.01365,0.000919
2014-05-17,0.00475,0.002333
2014-05-25,0.0228,0.001414
2014-06-02,0.0417,0.00099
2014-06-10,0.0501,0.001131
2014-06-18,0.0683,0
2014-06-26,0.07485,0.002051
2014-07-04,0.0774,0
2014-07-12,0.0666,0.00594
2014-07-20,0.03955,0.002899
2014-07-28,0.03275,0.000212
2014-08-05,0.04155,0.001061
2014-08-13,0.03595,0.000354
2014-08-21,0.03375,0.001485
2014-08-29,0.01575,0.000636
2014-09-06,0.01265,7.1e-05
2014-09-14,0.001,0
2014-09-22,0.00355,0.000495
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,6e-04,0
2015-05-01,NA,NA
2015-05-09,0.0198,0.001131
2015-05-17,0.0433,0.001131
2015-05-25,0.03705,0.000495
2015-06-02,0.02625,0.001061
2015-06-10,0.0367,0.000424
2015-06-18,0.0725,0.007212
2015-06-26,0.05825,7.1e-05
2015-07-04,0.0536,NA
2015-07-12,NA,NA
2015-07-20,0.0122,0.002828
2015-07-28,0.02865,0.000778
2015-08-05,0.0338,0.001697
2015-08-13,0.0273,0
2015-08-21,0.0187,0
2015-08-29,0.0019,NA
2015-09-06,0.0067,0
2015-09-14,0.0012,0.000566
2015-09-22,7e-04,0
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,0.0011,0.000566
2016-04-30,0.00185,0.000778
2016-05-08,0.0264,0
2016-05-16,0.01955,0.001344
2016-05-24,0.0252,0.000707
2016-06-01,0.02595,0.000354
2016-06-09,0.038,0.007071
2016-06-17,0.0541,0.002828
2016-06-25,0.07125,0.003182
2016-07-03,0.07175,0.006293
