dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,5e-04,NA
2010-04-23,0.01125,0.00115
2010-05-01,0.0028,0.000383
2010-05-09,0.00745,0.001834
2010-05-17,0.020225,0.002827
2010-05-25,0.038475,0.003242
2010-06-02,0.03815,0.003703
2010-06-10,0.029425,0.003052
2010-06-18,0.052375,0.002413
2010-06-26,0.0474,0.001225
2010-07-04,0.051675,0.001305
2010-07-12,0.032475,0.001959
2010-07-20,0.030325,0.006255
2010-07-28,0.042275,0.003555
2010-08-05,0.036675,0.001513
2010-08-13,0.041625,0.002165
2010-08-21,0.009525,0.002794
2010-08-29,0.0186,0.00192
2010-09-06,0.011275,0.00095
2010-09-14,0.0057,0.001058
2010-09-22,0.00045,1e-04
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.01985,0.0051
2011-05-25,0.033175,0.003876
2011-06-02,0.02415,0.00215
2011-06-10,0.030633,0.002136
2011-06-18,0.05065,0.003597
2011-06-26,0.052,0.004062
2011-07-04,0.04635,0.002548
2011-07-12,0.04575,0.00376
2011-07-20,0.049675,0.002961
2011-07-28,0.044225,0.001276
2011-08-05,0.032375,0.00205
2011-08-13,0.02345,0.000839
2011-08-21,0.026975,0.003063
2011-08-29,0.017475,5e-05
2011-09-06,0.01075,0.000933
2011-09-14,0.005125,0.001212
2011-09-22,6e-04,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.01495,0.005772
2012-05-24,0.026725,0.004421
2012-06-01,0.029275,0.004494
2012-06-09,0.052575,0.003692
2012-06-17,0.053625,0.00229
2012-06-25,0.057625,0.003362
2012-07-03,0.045825,0.003585
2012-07-11,0.0412,0.001876
2012-07-19,0.0296,0.006047
2012-07-27,0.04335,0.002317
2012-08-04,0.039525,0.000776
2012-08-12,0.036275,0.002268
2012-08-20,0.03285,0.002447
2012-08-28,0.013025,0.000918
2012-09-05,0.007975,0.001018
2012-09-13,0.01,0.000949
2012-09-21,0.0063,0.000678
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.024525,0.002928
2013-06-02,0.02295,0.002929
2013-06-10,0.030475,0.004714
2013-06-18,0.058975,0.006365
2013-06-26,0.0454,0.002886
2013-07-04,0.04395,0.004328
2013-07-12,0.04175,0.001782
2013-07-20,0.05,0.002672
2013-07-28,0.038475,0.002295
2013-08-05,0.04345,0.002249
2013-08-13,0.008667,0.004964
2013-08-21,0.016,0.000938
2013-08-29,0.0131,0.000739
2013-09-06,0.008875,0.000645
2013-09-14,0.0019,0.000854
2013-09-22,0.00275,0.000451
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.00145,0.00052
2014-05-09,0.01015,0.005603
2014-05-17,0.003625,0.003454
2014-05-25,0.01875,0.002457
2014-06-02,0.033425,0.002704
2014-06-10,0.039325,0.003787
2014-06-18,0.056,0.002748
2014-06-26,0.05945,0.002972
2014-07-04,0.064725,0.003154
2014-07-12,0.0577,0.008653
2014-07-20,0.03055,0.00163
2014-07-28,0.0259,0.00114
2014-08-05,0.0348,0.00092
2014-08-13,0.028425,0.002806
2014-08-21,0.0269,0.002002
2014-08-29,0.012125,0.000988
2014-09-06,0.010125,0.000479
2014-09-14,0.00185,0.001202
2014-09-22,0.002625,5e-05
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,5e-04,NA
2015-05-01,5e-04,NA
2015-05-09,0.013875,0.003051
2015-05-17,0.034225,0.006216
2015-05-25,0.029175,0.002644
2015-06-02,0.019875,0.002123
2015-06-10,0.0316,0.0022
2015-06-18,0.054025,0.003122
2015-06-26,0.04545,0.003317
2015-07-04,0.0401,NA
2015-07-12,0.044633,0.000289
2015-07-20,0.014525,0.000395
2015-07-28,0.032425,0.005022
2015-08-05,0.023075,0.001571
2015-08-13,0.0235,0.0022
2015-08-21,0.016275,0.002291
2015-08-29,NA,NA
2015-09-06,0.00695,0.00085
2015-09-14,0.001075,0.000435
2015-09-22,0.0018,0
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0012,0
2016-05-08,0.020225,0.004965
2016-05-16,0.01415,0.0027
2016-05-24,0.019625,0.00205
2016-06-01,0.019425,0.001552
2016-06-09,0.033625,0.003041
2016-06-17,0.0397,0.00173
