dates,deciduous_needleleaf_forest_mean,deciduous_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.00081,0.000335
2010-04-23,0.010488,0.002182
2010-05-01,0.002538,0.000493
2010-05-09,0.006988,0.001493
2010-05-17,0.018673,0.003118
2010-05-25,0.03835,0.004792
2010-06-02,0.039854,0.003667
2010-06-10,0.031646,0.004187
2010-06-18,0.053669,0.005432
2010-06-26,0.047938,0.006939
2010-07-04,0.05005,0.009345
2010-07-12,0.032011,0.006839
2010-07-20,0.026154,0.0067
2010-07-28,0.037646,0.007083
2010-08-05,0.033696,0.007275
2010-08-13,0.041804,0.005316
2010-08-21,0.012169,0.004146
2010-08-29,0.018631,0.00214
2010-09-06,0.011135,0.001774
2010-09-14,0.004681,0.001071
2010-09-22,0.000731,0.000553
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.020231,0.005201
2011-05-25,0.032969,0.005125
2011-06-02,0.025042,0.002338
2011-06-10,0.028923,0.005418
2011-06-18,0.051696,0.007447
2011-06-26,0.053385,0.006567
2011-07-04,0.049754,0.006169
2011-07-12,0.040504,0.009321
2011-07-20,0.048562,0.010829
2011-07-28,0.041965,0.009258
2011-08-05,0.031512,0.005412
2011-08-13,0.024138,0.003047
2011-08-21,0.029485,0.003612
2011-08-29,0.017527,0.001963
2011-09-06,0.010112,0.001588
2011-09-14,0.004508,0.001187
2011-09-22,0.000587,0.000131
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.019062,0.004052
2012-05-24,0.027246,0.003672
2012-06-01,0.029792,0.004468
2012-06-09,0.0554,0.005626
2012-06-17,0.054635,0.010241
2012-06-25,0.056119,0.012827
2012-07-03,0.045354,0.010064
2012-07-11,0.042335,0.008145
2012-07-19,0.033118,0.012775
2012-07-27,0.0418,0.011158
2012-08-04,0.039062,0.007295
2012-08-12,0.036208,0.005633
2012-08-20,0.032165,0.005543
2012-08-28,0.013742,0.00196
2012-09-05,0.008288,0.001482
2012-09-13,0.009442,0.001463
2012-09-21,0.006165,0.000955
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0015,NA
2013-05-25,0.023523,0.003841
2013-06-02,0.023112,0.003763
2013-06-10,0.035331,0.007616
2013-06-18,0.06125,0.009347
2013-06-26,0.046373,0.007666
2013-07-04,0.045812,0.009253
2013-07-12,0.042454,0.007049
2013-07-20,0.049062,0.008923
2013-07-28,0.038769,0.007342
2013-08-05,0.038304,0.011549
2013-08-13,0.014038,0.003675
2013-08-21,0.016515,0.001718
2013-08-29,0.013488,0.001775
2013-09-06,0.009165,0.001309
2013-09-14,0.00128,0.000519
2013-09-22,0.002435,0.000509
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,5e-04,NA
2014-05-01,0.001979,0.000728
2014-05-09,0.011396,0.003981
2014-05-17,0.002805,0.001664
2014-05-25,0.017919,0.002891
2014-06-02,0.035381,0.004138
2014-06-10,0.042058,0.005439
2014-06-18,0.056904,0.008425
2014-06-26,0.058004,0.01155
2014-07-04,0.064896,0.00976
2014-07-12,0.054265,0.010692
2014-07-20,0.0305,0.006937
2014-07-28,0.024904,0.00622
2014-08-05,0.035327,0.004456
2014-08-13,0.029665,0.003467
2014-08-21,0.028019,0.003106
2014-08-29,0.011619,0.002332
2014-09-06,0.010015,0.001283
2014-09-14,0.001014,0.000123
2014-09-22,0.002252,0.000607
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,0.00048,5.6e-05
2015-05-01,5e-04,0
2015-05-09,0.014646,0.003323
2015-05-17,0.035915,0.005025
2015-05-25,0.031396,0.00363
2015-06-02,0.022296,0.002774
2015-06-10,0.031708,0.006365
2015-06-18,0.057492,0.00864
2015-06-26,0.045323,0.009075
2015-07-04,0.038255,0.015504
2015-07-12,0.038617,0.012372
2015-07-20,0.014887,0.004067
2015-07-28,0.03094,0.007801
2015-08-05,0.025631,0.003889
2015-08-13,0.0146,0.008175
2015-08-21,0.018238,0.002961
2015-08-29,0.0016,0.000707
2015-09-06,0.006823,0.0015
2015-09-14,0.000979,0.000365
2015-09-22,0.001365,0.000555
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,0.000812,0.000242
2016-04-30,0.00119,4.5e-05
2016-05-08,0.020492,0.003727
2016-05-16,0.014908,0.003056
2016-05-24,0.020904,0.002923
2016-06-01,0.021412,0.002921
