dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.000694,0.000339
2010-04-23,0.006161,0.002529
2010-05-01,0.001519,0.000543
2010-05-09,0.004085,0.001373
2010-05-17,0.012586,0.003543
2010-05-25,0.02512,0.007023
2010-06-02,0.028385,0.007062
2010-06-10,0.021298,0.006383
2010-06-18,0.038268,0.00969
2010-06-26,0.03135,0.009672
2010-07-04,0.03395,0.009865
2010-07-12,0.020739,0.008451
2010-07-20,0.019829,0.008836
2010-07-28,0.025765,0.009092
2010-08-05,0.021832,0.007015
2010-08-13,0.029978,0.007386
2010-08-21,0.01113,0.003208
2010-08-29,0.012348,0.003313
2010-09-06,0.007722,0.002016
2010-09-14,0.003088,0.001084
2010-09-22,0.000506,0.000337
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,0,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.01223,0.005055
2011-05-25,0.021902,0.005999
2011-06-02,0.017832,0.004417
2011-06-10,0.0176,0.006209
2011-06-18,0.035421,0.009554
2011-06-26,0.038753,0.009414
2011-07-04,0.036148,0.00899
2011-07-12,0.028632,0.008412
2011-07-20,0.033068,0.009638
2011-07-28,0.027052,0.008806
2011-08-05,0.022029,0.005898
2011-08-13,0.017232,0.004267
2011-08-21,0.021183,0.005211
2011-08-29,0.012206,0.002993
2011-09-06,0.006624,0.001958
2011-09-14,0.002906,0.000767
2011-09-22,0.000387,0.000156
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.010213,0.004555
2012-05-24,0.018688,0.00529
2012-06-01,0.019293,0.005461
2012-06-09,0.039183,0.009492
2012-06-17,0.037778,0.010436
2012-06-25,0.037041,0.011488
2012-07-03,0.028676,0.009675
2012-07-11,0.028264,0.008536
2012-07-19,0.022271,0.010514
2012-07-27,0.027425,0.008695
2012-08-04,0.026564,0.007382
2012-08-12,0.025438,0.006444
2012-08-20,0.022025,0.006311
2012-08-28,0.009675,0.002506
2012-09-05,0.005499,0.001515
2012-09-13,0.006394,0.001691
2012-09-21,0.003918,0.001172
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0037,0
2013-05-25,0.01451,0.004691
2013-06-02,0.013726,0.004486
2013-06-10,0.024126,0.007384
2013-06-18,0.040638,0.011448
2013-06-26,0.03153,0.008608
2013-07-04,0.030142,0.008995
2013-07-12,0.030577,0.006953
2013-07-20,0.033551,0.008754
2013-07-28,0.025229,0.007657
2013-08-05,0.025682,0.009379
2013-08-13,0.015204,0.00604
2013-08-21,0.012511,0.002871
2013-08-29,0.009408,0.002318
2013-09-06,0.005871,0.001665
2013-09-14,0.001238,0.000578
2013-09-22,0.001565,0.000433
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,0.00045,7.1e-05
2014-05-01,0.001417,0.000703
2014-05-09,0.006587,0.003618
2014-05-17,0.001638,0.001077
2014-05-25,0.011405,0.003452
2014-06-02,0.024686,0.005913
2014-06-10,0.029562,0.007824
2014-06-18,0.038552,0.010106
2014-06-26,0.038754,0.01095
2014-07-04,0.046448,0.010898
2014-07-12,0.037346,0.00942
2014-07-20,0.020299,0.005398
2014-07-28,0.019619,0.004887
2014-08-05,0.026353,0.005796
2014-08-13,0.021285,0.005294
2014-08-21,0.019448,0.004599
2014-08-29,0.008513,0.002025
2014-09-06,0.007068,0.001669
2014-09-14,0.000807,0.000438
2014-09-22,0.001312,0.000476
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,0,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,5e-04,0
2015-05-01,0.000459,0.00011
2015-05-09,0.00679,0.003699
2015-05-17,0.023479,0.006767
2015-05-25,0.021746,0.005309
2015-06-02,0.015487,0.003719
2015-06-10,0.022586,0.005826
2015-06-18,0.040238,0.010102
2015-06-26,0.02992,0.009469
2015-07-04,0.022494,0.013182
2015-07-12,0.02696,0.009542
2015-07-20,0.00899,0.005236
2015-07-28,0.018151,0.009645
2015-08-05,0.017975,0.004589
2015-08-13,0.007587,0.004136
2015-08-21,0.013455,0.003427
2015-08-29,0.001016,0.000477
2015-09-06,0.00456,0.001282
2015-09-14,0.000747,0.000286
2015-09-22,0.000924,0.000373
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,NA,NA
2016-03-29,0,0
2016-04-06,0,NA
2016-04-14,0,0
2016-04-22,0.00095,0.000289
2016-04-30,0.001167,0.000132
2016-05-08,0.013497,0.00368
2016-05-16,0.009637,0.002894
2016-05-24,0.014016,0.003596
2016-06-01,0.013661,0.003488
2016-06-09,0.022566,0.009588
