MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010009,2010-01-09,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010017,2010-01-17,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010025,2010-01-25,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010033,2010-02-02,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010041,2010-02-10,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010049,2010-02-18,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010057,2010-02-26,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010065,2010-03-06,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010073,2010-03-14,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010081,2010-03-22,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,131,2,1.53
A2010089,2010-03-30,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010097,2010-04-07,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010105,2010-04-15,MYD17A2H,PsnNet_500m,0.0005,0.0015,0.0125,0.0010,0.0007,0.0000,0.0003,131,18,13.74
A2010113,2010-04-23,MYD17A2H,PsnNet_500m,0.0000,0.0132,0.8009,0.0132,0.0062,0.0000,0.0025,131,130,99.24
A2010121,2010-05-01,MYD17A2H,PsnNet_500m,0.0000,0.0031,0.1975,0.0031,0.0015,0.0000,0.0005,131,130,99.24
A2010129,2010-05-09,MYD17A2H,PsnNet_500m,0.0000,0.0092,0.5311,0.0092,0.0041,0.0000,0.0014,131,130,99.24
A2010137,2010-05-17,MYD17A2H,PsnNet_500m,0.0000,0.0210,1.6362,0.0210,0.0126,0.0000,0.0035,131,130,99.24
A2010145,2010-05-25,MYD17A2H,PsnNet_500m,0.0000,0.0445,3.2656,0.0445,0.0251,0.0000,0.0070,131,130,99.24
A2010153,2010-06-02,MYD17A2H,PsnNet_500m,0.0000,0.0479,3.6900,0.0479,0.0284,0.0000,0.0070,131,130,99.24
A2010161,2010-06-10,MYD17A2H,PsnNet_500m,0.0000,0.0376,2.7688,0.0376,0.0213,0.0000,0.0064,131,130,99.24
A2010169,2010-06-18,MYD17A2H,PsnNet_500m,0.0000,0.0657,4.9748,0.0657,0.0383,0.0001,0.0097,131,130,99.24
A2010177,2010-06-26,MYD17A2H,PsnNet_500m,0.0000,0.0608,4.0755,0.0608,0.0313,0.0001,0.0096,131,130,99.24
A2010185,2010-07-04,MYD17A2H,PsnNet_500m,0.0000,0.0617,4.4135,0.0617,0.0339,0.0001,0.0098,131,130,99.24
A2010193,2010-07-12,MYD17A2H,PsnNet_500m,0.0000,0.0371,1.8665,0.0371,0.0207,0.0001,0.0084,131,90,68.70
A2010201,2010-07-20,MYD17A2H,PsnNet_500m,0.0000,0.0413,2.5778,0.0413,0.0198,0.0001,0.0088,131,130,99.24
A2010209,2010-07-28,MYD17A2H,PsnNet_500m,0.0000,0.0477,3.3494,0.0477,0.0258,0.0001,0.0091,131,130,99.24
A2010217,2010-08-05,MYD17A2H,PsnNet_500m,0.0000,0.0405,2.8381,0.0405,0.0218,0.0000,0.0070,131,130,99.24
A2010225,2010-08-13,MYD17A2H,PsnNet_500m,0.0000,0.0504,3.8971,0.0504,0.0300,0.0001,0.0074,131,130,99.24
A2010233,2010-08-21,MYD17A2H,PsnNet_500m,0.0000,0.0185,1.4469,0.0185,0.0111,0.0000,0.0032,131,130,99.24
A2010241,2010-08-29,MYD17A2H,PsnNet_500m,0.0000,0.0201,1.6053,0.0201,0.0123,0.0000,0.0033,131,130,99.24
A2010249,2010-09-06,MYD17A2H,PsnNet_500m,0.0000,0.0121,1.0038,0.0121,0.0077,0.0000,0.0020,131,130,99.24
A2010257,2010-09-14,MYD17A2H,PsnNet_500m,0.0000,0.0064,0.4014,0.0064,0.0031,0.0000,0.0011,131,130,99.24
A2010265,2010-09-22,MYD17A2H,PsnNet_500m,0.0000,0.0019,0.0440,0.0019,0.0005,0.0000,0.0003,131,87,66.41
A2010273,2010-09-30,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010281,2010-10-08,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010289,2010-10-16,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010297,2010-10-24,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010305,2010-11-01,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010313,2010-11-09,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010321,2010-11-17,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010329,2010-11-25,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010337,2010-12-03,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010345,2010-12-11,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010353,2010-12-19,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2010361,2010-12-27,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011001,2011-01-01,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011009,2011-01-09,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011017,2011-01-17,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011025,2011-01-25,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011033,2011-02-02,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011041,2011-02-10,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011049,2011-02-18,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011057,2011-02-26,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011065,2011-03-06,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011073,2011-03-14,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
A2011081,2011-03-22,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,131,1,0.76
A2011089,2011-03-30,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,131,3,2.29
A2011097,2011-04-07,MYD17A2H,PsnNet_500m,,,,,,,,131,0,0.00
