dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.00878,0.003373
2010-05-01,0.00242,0.000502
2010-05-09,0.00616,0.001172
2010-05-17,0.01834,0.004339
2010-05-25,0.03338,0.007146
2010-06-02,0.03468,0.005299
2010-06-10,0.02952,0.00515
2010-06-18,0.04894,0.005986
2010-06-26,0.04348,0.006855
2010-07-04,0.04884,0.007616
2010-07-12,0.034525,0.003144
2010-07-20,0.0263,0.007032
2010-07-28,0.03988,0.012443
2010-08-05,0.03526,0.007206
2010-08-13,0.0394,0.00498
2010-08-21,0.0141,0.005458
2010-08-29,0.01846,0.003205
2010-09-06,0.01128,0.002304
2010-09-14,0.00492,0.001916
2010-09-22,0.0011,0.000954
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.01888,0.006958
2011-05-25,0.02812,0.006438
2011-06-02,0.02172,0.003782
2011-06-10,0.02832,0.007741
2011-06-18,0.04876,0.008624
2011-06-26,0.05094,0.003841
2011-07-04,0.04586,0.003335
2011-07-12,0.042075,0.020767
2011-07-20,0.05076,0.009104
2011-07-28,0.04618,0.011043
2011-08-05,0.031,0.005175
2011-08-13,0.0228,0.003273
2011-08-21,0.02664,0.00397
2011-08-29,0.01674,0.002485
2011-09-06,0.0088,0.001482
2011-09-14,0.00418,0.000887
2011-09-22,8e-04,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.01398,0.004912
2012-05-24,0.0238,0.005584
2012-06-01,0.02642,0.00565
2012-06-09,0.04908,0.006487
2012-06-17,0.05472,0.010355
2012-06-25,0.05666,0.012126
2012-07-03,0.04486,0.008678
2012-07-11,0.04052,0.00723
2012-07-19,0.0183,0.013123
2012-07-27,0.04558,0.007274
2012-08-04,0.03994,0.007262
2012-08-12,0.03686,0.009497
2012-08-20,0.0287,0.004627
2012-08-28,0.01338,0.001849
2012-09-05,0.00828,0.000893
2012-09-13,0.00936,0.00155
2012-09-21,0.00582,0.000832
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.02104,0.003464
2013-06-02,0.0192,0.003548
2013-06-10,0.0331,0.010744
2013-06-18,0.05456,0.010214
2013-06-26,0.04608,0.006722
2013-07-04,0.04324,0.008371
2013-07-12,0.04248,0.004517
2013-07-20,0.04972,0.006422
2013-07-28,0.03942,0.005239
2013-08-05,0.04404,0.007743
2013-08-13,0.015275,0.008668
2013-08-21,0.01502,0.001843
2013-08-29,0.01256,0.002102
2013-09-06,0.00854,0.001305
2013-09-14,0.002,0.001414
2013-09-22,0.00266,0.00055
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0014,0.000735
2014-05-09,0.01216,0.007193
2014-05-17,0.001975,0.000613
2014-05-25,0.01678,0.003694
2014-06-02,0.03144,0.006165
2014-06-10,0.03826,0.00586
2014-06-18,0.0536,0.009018
2014-06-26,0.05536,0.011601
2014-07-04,0.05982,0.008211
2014-07-12,0.05226,0.013102
2014-07-20,0.034575,0.005393
2014-07-28,0.0254,0.002322
2014-08-05,0.03396,0.003182
2014-08-13,0.02808,0.00348
2014-08-21,0.02638,0.003038
2014-08-29,0.01118,0.002291
2014-09-06,0.00948,0.001551
2014-09-14,0.001733,0.000945
2014-09-22,0.00252,0.000476
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.01214,0.003291
2015-05-17,0.03014,0.007151
2015-05-25,0.02822,0.004067
2015-06-02,0.0206,0.00318
2015-06-10,0.02662,0.005598
2015-06-18,0.0571,0.011266
2015-06-26,0.0457,0.00956
2015-07-04,0.02775,0.019728
2015-07-12,0.02055,0.011667
2015-07-20,0.01262,0.004301
2015-07-28,0.0323,0.006485
2015-08-05,0.02468,0.00344
2015-08-13,0.00838,0.005617
2015-08-21,0.01568,0.002069
2015-08-29,NA,NA
2015-09-06,0.00686,0.000744
2015-09-14,0.00115,0.00052
2015-09-22,0.00106,0.000537
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,0,NA
2016-04-22,NA,NA
2016-04-30,0.001233,0.000115
2016-05-08,0.0167,0.003392
2016-05-16,0.01324,0.002189
2016-05-24,0.0186,0.002741
2016-06-01,0.01942,0.00489
2016-06-09,0.0326,0.003948
2016-06-17,0.0383,0.006167
