dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.00085,0.000495
2010-04-23,0.010771,0.001112
2010-05-01,0.002771,0.000364
2010-05-09,0.0077,0.001394
2010-05-17,0.0207,0.002093
2010-05-25,0.038871,0.00262
2010-06-02,0.038829,0.002765
2010-06-10,0.0307,0.002681
2010-06-18,0.053414,0.0024
2010-06-26,0.047257,0.001144
2010-07-04,0.051543,0.001036
2010-07-12,0.029929,0.005459
2010-07-20,0.035286,0.007643
2010-07-28,0.043114,0.00342
2010-08-05,0.037529,0.001515
2010-08-13,0.041586,0.001582
2010-08-21,0.009471,0.002899
2010-08-29,0.018143,0.001964
2010-09-06,0.011357,0.001139
2010-09-14,0.005457,0.000916
2010-09-22,0.000429,7.6e-05
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.020886,0.004845
2011-05-25,0.033929,0.003143
2011-06-02,0.024871,0.00212
2011-06-10,0.02916,0.004371
2011-06-18,0.0515,0.002839
2011-06-26,0.052829,0.003053
2011-07-04,0.046629,0.002293
2011-07-12,0.046371,0.00287
2011-07-20,0.049929,0.002292
2011-07-28,0.0445,0.001514
2011-08-05,0.032471,0.001458
2011-08-13,0.023643,0.000755
2011-08-21,0.028343,0.002775
2011-08-29,0.017057,0.000723
2011-09-06,0.011143,0.000824
2011-09-14,0.005186,0.001068
2011-09-22,6e-04,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.015686,0.004199
2012-05-24,0.027143,0.00317
2012-06-01,0.028429,0.003411
2012-06-09,0.052371,0.003126
2012-06-17,0.054029,0.00181
2012-06-25,0.058186,0.002825
2012-07-03,0.046586,0.003285
2012-07-11,0.0404,0.00213
2012-07-19,0.0298,0.008108
2012-07-27,0.043557,0.001946
2012-08-04,0.038871,0.002576
2012-08-12,0.036029,0.001776
2012-08-20,0.032729,0.002259
2012-08-28,0.012686,0.000975
2012-09-05,0.008043,0.000862
2012-09-13,0.0102,0.000735
2012-09-21,0.006471,0.000565
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.0246,0.003085
2013-06-02,0.022957,0.002428
2013-06-10,0.032471,0.005463
2013-06-18,0.058771,0.004525
2013-06-26,0.045043,0.002208
2013-07-04,0.046057,0.004057
2013-07-12,0.041771,0.001591
2013-07-20,0.049471,0.002015
2013-07-28,0.038529,0.001834
2013-08-05,0.043671,0.001711
2013-08-13,0.008667,0.004964
2013-08-21,0.017614,0.002453
2013-08-29,0.013214,0.000593
2013-09-06,0.008986,0.000485
2013-09-14,0.00166,0.00072
2013-09-22,0.0028,0.000424
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0021,0.001038
2014-05-09,0.010457,0.004131
2014-05-17,0.0042,0.003527
2014-05-25,0.019129,0.001984
2014-06-02,0.033486,0.002607
2014-06-10,0.039586,0.003038
2014-06-18,0.0558,0.003029
2014-06-26,0.058786,0.003001
2014-07-04,0.065014,0.002317
2014-07-12,0.057586,0.007683
2014-07-20,0.031129,0.001913
2014-07-28,0.025886,0.000823
2014-08-05,0.034686,0.000991
2014-08-13,0.028843,0.002067
2014-08-21,0.027086,0.001593
2014-08-29,0.011729,0.000881
2014-09-06,0.010171,0.00045
2014-09-14,0.001425,0.00085
2014-09-22,0.002629,4.9e-05
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,5e-04,NA
2015-05-01,0.000667,0.000289
2015-05-09,0.013429,0.002537
2015-05-17,0.034871,0.005386
2015-05-25,0.029043,0.002445
2015-06-02,0.020129,0.001621
2015-06-10,0.029957,0.003902
2015-06-18,0.055357,0.003054
2015-06-26,0.0462,0.002666
2015-07-04,0.0411,0.001414
2015-07-12,0.0445,0.000274
2015-07-20,0.014271,0.000496
2015-07-28,0.023529,0.014343
2015-08-05,0.023471,0.001222
2015-08-13,0.023514,0.001692
2015-08-21,0.016114,0.001739
2015-08-29,NA,NA
2015-09-06,0.006943,0.000781
2015-09-14,0.00116,0.000422
2015-09-22,0.001714,0.000324
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0012,0
2016-05-08,0.020886,0.003764
2016-05-16,0.013443,0.002124
2016-05-24,0.019243,0.002309
2016-06-01,0.0193,0.001225
2016-06-09,0.033629,0.002651
