dates,deciduous_needleleaf_forest_mean,deciduous_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.000777,0.000338
2010-04-23,0.010124,0.002841
2010-05-01,0.002407,0.000692
2010-05-09,0.006597,0.002002
2010-05-17,0.018038,0.004693
2010-05-25,0.035966,0.008802
2010-06-02,0.037697,0.008404
2010-06-10,0.029566,0.007414
2010-06-18,0.050548,0.011589
2010-06-26,0.044941,0.011552
2010-07-04,0.046807,0.013073
2010-07-12,0.031153,0.006864
2010-07-20,0.02549,0.008992
2010-07-28,0.035466,0.010432
2010-08-05,0.03139,0.00975
2010-08-13,0.039348,0.009483
2010-08-21,0.010862,0.004233
2010-08-29,0.017831,0.004158
2010-09-06,0.010538,0.002789
2010-09-14,0.004428,0.001347
2010-09-22,0.000676,0.000548
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.019107,0.006327
2011-05-25,0.031531,0.008029
2011-06-02,0.0237,0.005313
2011-06-10,0.027545,0.007553
2011-06-18,0.048483,0.012298
2011-06-26,0.050348,0.011947
2011-07-04,0.047448,0.011259
2011-07-12,0.038811,0.01217
2011-07-20,0.045507,0.014099
2011-07-28,0.039252,0.012269
2011-08-05,0.029521,0.008146
2011-08-13,0.022703,0.005499
2011-08-21,0.027728,0.006616
2011-08-29,0.016483,0.003926
2011-09-06,0.009517,0.002543
2011-09-14,0.004328,0.001413
2011-09-22,0.000526,0.000197
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.0181,0.005298
2012-05-24,0.026,0.006373
2012-06-01,0.028183,0.007238
2012-06-09,0.05229,0.011979
2012-06-17,0.051362,0.014489
2012-06-25,0.052655,0.016698
2012-07-03,0.042355,0.013358
2012-07-11,0.039555,0.01152
2012-07-19,0.028605,0.014281
2012-07-27,0.038959,0.01357
2012-08-04,0.036662,0.010387
2012-08-12,0.034203,0.009003
2012-08-20,0.029931,0.008021
2012-08-28,0.012983,0.003254
2012-09-05,0.007803,0.002143
2012-09-13,0.009069,0.002319
2012-09-21,0.005903,0.001514
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0015,NA
2013-05-25,0.022634,0.005712
2013-06-02,0.021803,0.005797
2013-06-10,0.033607,0.009801
2013-06-18,0.057321,0.014955
2013-06-26,0.043448,0.011671
2013-07-04,0.042759,0.01247
2013-07-12,0.040062,0.010541
2013-07-20,0.046021,0.012843
2013-07-28,0.036341,0.010402
2013-08-05,0.035652,0.01358
2013-08-13,0.013362,0.003596
2013-08-21,0.015645,0.003657
2013-08-29,0.012683,0.003109
2013-09-06,0.00859,0.002229
2013-09-14,0.001412,0.000684
2013-09-22,0.00231,0.000703
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,4e-04,0.000141
2014-05-01,0.001822,0.000821
2014-05-09,0.011071,0.004455
2014-05-17,0.002632,0.001821
2014-05-25,0.017093,0.004444
2014-06-02,0.033738,0.007876
2014-06-10,0.039648,0.009732
2014-06-18,0.053193,0.013752
2014-06-26,0.054441,0.015954
2014-07-04,0.061138,0.01561
2014-07-12,0.051452,0.015052
2014-07-20,0.028678,0.009258
2014-07-28,0.02527,0.006298
2014-08-05,0.033362,0.007901
2014-08-13,0.028017,0.006593
2014-08-21,0.026383,0.006102
2014-08-29,0.010831,0.003199
2014-09-06,0.009517,0.002309
2014-09-14,0.001,0.000131
2014-09-22,0.002107,0.000731
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,0.00048,5.6e-05
2015-05-01,5e-04,NA
2015-05-09,0.0141,0.004244
2015-05-17,0.03431,0.008511
2015-05-25,0.029603,0.006972
2015-06-02,0.020955,0.004975
2015-06-10,0.030528,0.008371
2015-06-18,0.053572,0.013639
2015-06-26,0.042334,0.012505
2015-07-04,0.0302,0.018176
2015-07-12,0.034686,0.015729
2015-07-20,0.01415,0.00483
2015-07-28,0.028689,0.009532
2015-08-05,0.023859,0.006149
2015-08-13,0.014407,0.008938
2015-08-21,0.01739,0.004523
2015-08-29,0.001833,0.000643
2015-09-06,0.006483,0.001952
2015-09-14,0.000928,0.000413
2015-09-22,0.001307,0.000583
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,0.000812,0.000242
2016-04-30,0.001133,0.000263
2016-05-08,0.019569,0.005249
2016-05-16,0.01429,0.004016
2016-05-24,0.019817,0.00487
2016-06-01,0.020086,0.00491
