dates,mixed_forest_mean,mixed_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.0012,0
2010-04-23,0.01245,0.001202
2010-05-01,0.00315,7.1e-05
2010-05-09,0.008,0.000424
2010-05-17,0.0205,0.001556
2010-05-25,0.0415,0.00099
2010-06-02,0.0427,0.001131
2010-06-10,0.0335,0
2010-06-18,0.057,0.000141
2010-06-26,0.05115,0.001061
2010-07-04,0.05555,0.000778
2010-07-12,0.0345,0
2010-07-20,0.02775,0.004313
2010-07-28,0.0406,0.000849
2010-08-05,0.0375,0.001273
2010-08-13,0.0442,0.000566
2010-08-21,0.01835,0.001061
2010-08-29,0.0207,0.002263
2010-09-06,0.0121,0.001414
2010-09-14,0.0054,0
2010-09-22,0.00045,7.1e-05
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,0,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.02605,0.001344
2011-05-25,0.0362,0.001273
2011-06-02,0.02585,0.001909
2011-06-10,0.0304,0.004667
2011-06-18,0.0559,0.000849
2011-06-26,0.0556,0.000424
2011-07-04,0.05125,0.003041
2011-07-12,0.04505,0.002899
2011-07-20,0.05355,0.001909
2011-07-28,0.0471,0
2011-08-05,0.0341,0.000424
2011-08-13,0.0254,0.000283
2011-08-21,0.0321,0.000283
2011-08-29,0.0196,0.001131
2011-09-06,0.0117,0
2011-09-14,0.00485,0.000636
2011-09-22,7e-04,0.000141
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.02215,0.003889
2012-05-24,0.03005,0.001344
2012-06-01,0.0329,0.000424
2012-06-09,0.0579,0.000566
2012-06-17,0.059,0.000566
2012-06-25,0.06315,0.000354
2012-07-03,0.0475,0.000566
2012-07-11,0.04575,0.002192
2012-07-19,NA,NA
2012-07-27,0.04695,0.000636
2012-08-04,0.0439,0.00099
2012-08-12,0.03855,0.000212
2012-08-20,0.0354,0.000707
2012-08-28,0.0146,0
2012-09-05,0.00965,0.000212
2012-09-13,0.0106,0.000283
2012-09-21,0.0066,0
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.02695,0.002475
2013-06-02,0.0255,0
2013-06-10,0.0442,0.000707
2013-06-18,0.06545,0.000495
2013-06-26,0.05025,0.000212
2013-07-04,0.0522,0.000283
2013-07-12,0.0468,0.000141
2013-07-20,0.05305,7.1e-05
2013-07-28,0.0421,0.000424
2013-08-05,0.04445,0.003889
2013-08-13,0.0153,0.000424
2013-08-21,0.01725,0.000212
2013-08-29,0.01445,0.000212
2013-09-06,0.0102,0.000283
2013-09-14,0.0015,NA
2013-09-22,0.0027,0
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.00295,0.000919
2014-05-09,0.01265,0.000636
2014-05-17,0.0044,0.002263
2014-05-25,0.02055,0.001061
2014-06-02,0.0385,0.00099
2014-06-10,0.0455,0.001131
2014-06-18,0.06,0
2014-06-26,0.06305,0.001061
2014-07-04,0.06875,0.000212
2014-07-12,0.05725,0.004738
2014-07-20,0.0328,0.001838
2014-07-28,0.0284,0.000424
2014-08-05,0.03685,0.000212
2014-08-13,0.03225,0.000212
2014-08-21,0.0303,0.001414
2014-08-29,0.01415,0.000636
2014-09-06,0.01135,7.1e-05
2014-09-14,0.001,0
2014-09-22,0.0028,0.000283
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,5e-04,0
2015-05-01,NA,NA
2015-05-09,0.0182,0.000849
2015-05-17,0.0393,0.001131
2015-05-25,0.0339,0.000566
2015-06-02,0.02335,0.000919
2015-06-10,0.03335,0.000636
2015-06-18,0.0624,0.005091
2015-06-26,0.0486,0.000283
2015-07-04,0.0481,NA
2015-07-12,NA,NA
2015-07-20,0.0112,0.002546
2015-07-28,0.0256,0.000707
2015-08-05,0.02875,0.000919
2015-08-13,0.0247,0
2015-08-21,0.01695,7.1e-05
2015-08-29,0.0018,NA
2015-09-06,0.0058,0
2015-09-14,0.0011,0.000566
2015-09-22,4e-04,0
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,0.00095,0.000354
2016-04-30,0.00175,0.000778
2016-05-08,0.0245,0
2016-05-16,0.0179,0.00099
2016-05-24,0.0231,0.000424
2016-06-01,0.0236,0.000283
2016-06-09,0.0347,0.006081
2016-06-17,0.0475,0.002404
2016-06-25,0.06345,0.002899
2016-07-03,0.06025,0.004313
