dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,7e-04,0.000349
2010-04-23,0.006054,0.002236
2010-05-01,0.001498,0.000456
2010-05-09,0.004064,0.00124
2010-05-17,0.012516,0.0031
2010-05-25,0.024935,0.006042
2010-06-02,0.028305,0.005862
2010-06-10,0.020785,0.005318
2010-06-18,0.037972,0.008082
2010-06-26,0.031339,0.007769
2010-07-04,0.033631,0.008274
2010-07-12,0.019119,0.008281
2010-07-20,0.019246,0.008227
2010-07-28,0.025437,0.007743
2010-08-05,0.021566,0.006085
2010-08-13,0.029874,0.006032
2010-08-21,0.010979,0.00274
2010-08-29,0.012351,0.002865
2010-09-06,0.007744,0.001664
2010-09-14,0.003085,0.000886
2010-09-22,0.000426,0.000167
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,0,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.012355,0.004415
2011-05-25,0.02204,0.005108
2011-06-02,0.017766,0.00367
2011-06-10,0.017281,0.005683
2011-06-18,0.035247,0.007965
2011-06-26,0.038358,0.007884
2011-07-04,0.035821,0.007983
2011-07-12,0.028432,0.006641
2011-07-20,0.032786,0.008125
2011-07-28,0.026502,0.007543
2011-08-05,0.02187,0.004803
2011-08-13,0.017185,0.003506
2011-08-21,0.0212,0.004212
2011-08-29,0.012195,0.002484
2011-09-06,0.006617,0.001625
2011-09-14,0.002913,0.00067
2011-09-22,0.000371,0.000143
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.010028,0.004095
2012-05-24,0.018937,0.004736
2012-06-01,0.019261,0.004734
2012-06-09,0.039152,0.007986
2012-06-17,0.037503,0.008657
2012-06-25,0.036705,0.009813
2012-07-03,0.028338,0.008255
2012-07-11,0.027853,0.007211
2012-07-19,0.021442,0.010539
2012-07-27,0.027135,0.007405
2012-08-04,0.026444,0.006275
2012-08-12,0.025314,0.005536
2012-08-20,0.021641,0.005307
2012-08-28,0.009712,0.00213
2012-09-05,0.005493,0.001285
2012-09-13,0.006464,0.00143
2012-09-21,0.003965,0.00102
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0037,0
2013-05-25,0.014605,0.004087
2013-06-02,0.013603,0.003935
2013-06-10,0.024448,0.00647
2013-06-18,0.040258,0.009676
2013-06-26,0.031279,0.007316
2013-07-04,0.02972,0.007971
2013-07-12,0.030494,0.005596
2013-07-20,0.033296,0.007335
2013-07-28,0.025022,0.006488
2013-08-05,0.025229,0.008136
2013-08-13,0.014517,0.004795
2013-08-21,0.012354,0.002332
2013-08-29,0.009364,0.001911
2013-09-06,0.005862,0.001429
2013-09-14,0.001236,0.000533
2013-09-22,0.001562,0.000356
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,0.00045,7.1e-05
2014-05-01,0.001346,0.000715
2014-05-09,0.006535,0.003204
2014-05-17,0.001507,0.000564
2014-05-25,0.011589,0.00299
2014-06-02,0.02487,0.005059
2014-06-10,0.029554,0.006343
2014-06-18,0.038321,0.008331
2014-06-26,0.038646,0.009318
2014-07-04,0.046288,0.008912
2014-07-12,0.037609,0.007944
2014-07-20,0.020042,0.004811
2014-07-28,0.019502,0.004403
2014-08-05,0.026384,0.004668
2014-08-13,0.021426,0.004377
2014-08-21,0.019369,0.003896
2014-08-29,0.008552,0.001634
2014-09-06,0.007112,0.00139
2014-09-14,0.000821,0.000473
2014-09-22,0.001293,0.000422
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,0,0
2015-04-15,NA,NA
2015-04-23,5e-04,0
2015-05-01,0.00045,0.000126
2015-05-09,0.006651,0.00354
2015-05-17,0.023748,0.005819
2015-05-25,0.021864,0.004421
2015-06-02,0.015394,0.00323
2015-06-10,0.022967,0.005253
2015-06-18,0.040252,0.008332
2015-06-26,0.029533,0.008206
2015-07-04,0.024302,0.012026
2015-07-12,0.026866,0.007636
2015-07-20,0.009131,0.005273
2015-07-28,0.017896,0.008954
2015-08-05,0.017907,0.003706
2015-08-13,0.007891,0.004602
2015-08-21,0.013508,0.002842
2015-08-29,0.001117,0.000483
2015-09-06,0.004672,0.001091
2015-09-14,0.000748,0.000269
2015-09-22,0.000886,0.000314
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,0,0
2016-04-22,0.001033,0.000289
2016-04-30,0.001188,0.000127
2016-05-08,0.013707,0.00336
2016-05-16,0.009698,0.002778
2016-05-24,0.014159,0.003056
2016-06-01,0.013666,0.003115
2016-06-09,0.022121,0.009712
2016-06-17,0.029089,0.006433
