MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010009,2010-01-09,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010017,2010-01-17,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010025,2010-01-25,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010033,2010-02-02,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010041,2010-02-10,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010049,2010-02-18,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010057,2010-02-26,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010065,2010-03-06,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010073,2010-03-14,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010081,2010-03-22,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,126,3,2.38
A2010089,2010-03-30,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010097,2010-04-07,MYD17A2H,PsnNet_500m,,,,,,,,126,0,0.00
A2010105,2010-04-15,MYD17A2H,PsnNet_500m,0.0005,0.0015,0.0098,0.0010,0.0007,0.0000,0.0003,126,14,11.11
A2010113,2010-04-23,MYD17A2H,PsnNet_500m,0.0000,0.0132,0.7567,0.0132,0.0061,0.0000,0.0022,126,125,99.21
A2010121,2010-05-01,MYD17A2H,PsnNet_500m,0.0000,0.0031,0.1873,0.0031,0.0015,0.0000,0.0005,126,125,99.21
A2010129,2010-05-09,MYD17A2H,PsnNet_500m,0.0000,0.0092,0.5080,0.0092,0.0041,0.0000,0.0012,126,125,99.21
A2010137,2010-05-17,MYD17A2H,PsnNet_500m,0.0000,0.0227,1.5645,0.0227,0.0125,0.0000,0.0031,126,125,99.21
A2010145,2010-05-25,MYD17A2H,PsnNet_500m,0.0000,0.0445,3.1169,0.0445,0.0249,0.0000,0.0060,126,125,99.21
A2010153,2010-06-02,MYD17A2H,PsnNet_500m,0.0000,0.0479,3.5381,0.0479,0.0283,0.0000,0.0058,126,125,99.21
A2010161,2010-06-10,MYD17A2H,PsnNet_500m,0.0000,0.0376,2.5981,0.0376,0.0208,0.0000,0.0053,126,125,99.21
A2010169,2010-06-18,MYD17A2H,PsnNet_500m,0.0000,0.0657,4.7465,0.0657,0.0380,0.0001,0.0080,126,125,99.21
A2010177,2010-06-26,MYD17A2H,PsnNet_500m,0.0000,0.0608,3.9174,0.0608,0.0313,0.0001,0.0077,126,125,99.21
