dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.00095,0.000636
2010-04-23,0.011633,0.001376
2010-05-01,0.0034,0.000648
2010-05-09,0.008783,0.001866
2010-05-17,0.0223,0.0026
2010-05-25,0.042767,0.003128
2010-06-02,0.042067,0.003316
2010-06-10,0.0344,0.003439
2010-06-18,0.057767,0.003079
2010-06-26,0.053267,0.00128
2010-07-04,0.059683,0.001258
2010-07-12,0.03615,0.003918
2010-07-20,0.039967,0.009874
2010-07-28,0.052083,0.005905
2010-08-05,0.043067,0.001877
2010-08-13,0.046067,0.002193
2010-08-21,0.010817,0.003242
2010-08-29,0.020633,0.001944
2010-09-06,0.013183,0.001308
2010-09-14,0.006467,0.001236
2010-09-22,0.00045,0.000122
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.022867,0.005739
2011-05-25,0.036517,0.003705
2011-06-02,0.026933,0.002346
2011-06-10,0.034675,0.002164
2011-06-18,0.0591,0.003769
2011-06-26,0.058533,0.003853
2011-07-04,0.0521,0.002943
2011-07-12,0.05515,0.004597
2011-07-20,0.059067,0.003243
2011-07-28,0.055167,0.00244
2011-08-05,0.038883,0.002097
2011-08-13,0.026783,0.000997
2011-08-21,0.031367,0.003565
2011-08-29,0.019233,0.000653
2011-09-06,0.012617,0.001044
2011-09-14,0.006467,0.001414
2011-09-22,8e-04,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.0166,0.005001
2012-05-24,0.029383,0.003848
2012-06-01,0.031733,0.003991
2012-06-09,0.057417,0.003725
2012-06-17,0.0633,0.002722
2012-06-25,0.068883,0.003722
2012-07-03,0.056483,0.004782
2012-07-11,0.048467,0.002093
2012-07-19,0.0309,0.007645
2012-07-27,0.05325,0.002696
2012-08-04,0.046533,0.001401
2012-08-12,0.040733,0.002433
2012-08-20,0.03795,0.002584
2012-08-28,0.014533,0.000942
2012-09-05,0.0093,0.001043
2012-09-13,0.011567,0.000924
2012-09-21,0.007867,0.000771
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.0271,0.003136
2013-06-02,0.025367,0.002803
2013-06-10,0.0363,0.006564
2013-06-18,0.06625,0.005843
2013-06-26,0.05315,0.002965
2013-07-04,0.052417,0.005177
2013-07-12,0.047733,0.002219
2013-07-20,0.057717,0.003014
2013-07-28,0.046517,0.002622
2013-08-05,0.05315,0.001445
2013-08-13,0.0095,0.005467
2013-08-21,0.018967,0.002555
2013-08-29,0.015283,0.00087
2013-09-06,0.0107,0.000837
2013-09-14,0.001775,0.000806
2013-09-22,0.003617,0.000467
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0021,0.000992
2014-05-09,0.011567,0.004974
2014-05-17,0.004667,0.004038
2014-05-25,0.021167,0.002413
2014-06-02,0.03655,0.002919
2014-06-10,0.04355,0.003626
2014-06-18,0.06385,0.003108
2014-06-26,0.069367,0.0035
2014-07-04,0.0727,0.003191
2014-07-12,0.067233,0.011244
2014-07-20,0.036967,0.002714
2014-07-28,0.029417,0.001245
2014-08-05,0.0384,0.001049
2014-08-13,0.031883,0.002602
2014-08-21,0.030283,0.002
2014-08-29,0.013133,0.000971
2014-09-06,0.01145,0.000394
2014-09-14,0.0018,0.001386
2014-09-22,0.00335,0.000281
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,6e-04,NA
2015-05-01,5e-04,0
2015-05-09,0.014217,0.003036
2015-05-17,0.03885,0.006106
2015-05-25,0.032017,0.002882
2015-06-02,0.02245,0.002085
2015-06-10,0.032583,0.004585
2015-06-18,0.062033,0.003683
2015-06-26,0.05475,0.003617
2015-07-04,0.0443,NA
2015-07-12,0.052475,0.00035
2015-07-20,0.015867,0.000497
2015-07-28,0.031,0.014573
2015-08-05,0.02685,0.001496
2015-08-13,0.026,0.002175
2015-08-21,0.017983,0.002066
2015-08-29,NA,NA
2015-09-06,0.008183,0.000861
2015-09-14,0.00124,0.000404
2015-09-22,0.002283,0.000204
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0013,0
2016-05-08,0.022567,0.004543
2016-05-16,0.0148,0.002537
2016-05-24,0.021467,0.002141
2016-06-01,0.0212,0.001609
2016-06-09,0.037033,0.003192
