dates,deciduous_needleleaf_forest_mean,deciduous_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.00085,0.000425
2010-04-23,0.011485,0.002152
2010-05-01,0.003037,0.000495
2010-05-09,0.008133,0.001578
2010-05-17,0.020426,0.003212
2010-05-25,0.042304,0.004888
2010-06-02,0.043563,0.003974
2010-06-10,0.036474,0.004082
2010-06-18,0.058756,0.005418
2010-06-26,0.054907,0.006372
2010-07-04,0.059885,0.00672
2010-07-12,0.036785,0.007593
2010-07-20,0.029978,0.00794
2010-07-28,0.046026,0.005972
2010-08-05,0.042263,0.004633
2010-08-13,0.047089,0.004719
2010-08-21,0.013463,0.004641
2010-08-29,0.021067,0.002078
2010-09-06,0.012789,0.001814
2010-09-14,0.005504,0.00108
2010-09-22,0.000893,0.000731
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.022041,0.005485
2011-05-25,0.036304,0.004862
2011-06-02,0.02693,0.002452
2011-06-10,0.032956,0.005644
2011-06-18,0.060796,0.006049
2011-06-26,0.06053,0.00586
2011-07-04,0.057007,0.005519
2011-07-12,0.048411,0.01012
2011-07-20,0.06137,0.006514
2011-07-28,0.054737,0.007091
2011-08-05,0.039252,0.004378
2011-08-13,0.028156,0.002221
2011-08-21,0.0337,0.003252
2011-08-29,0.020041,0.001815
2011-09-06,0.011589,0.001617
2011-09-14,0.005626,0.001353
2011-09-22,0.000829,0.000105
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.020304,0.00421
2012-05-24,0.029885,0.003698
2012-06-01,0.033237,0.00444
2012-06-09,0.060978,0.005604
2012-06-17,0.067311,0.006731
2012-06-25,0.070722,0.008699
2012-07-03,0.058633,0.008437
2012-07-11,0.051678,0.007856
2012-07-19,0.035522,0.014224
2012-07-27,0.055544,0.006114
2012-08-04,0.04783,0.00529
2012-08-12,0.042767,0.004522
2012-08-20,0.037096,0.004955
2012-08-28,0.015593,0.001928
2012-09-05,0.009544,0.001421
2012-09-13,0.010844,0.001362
2012-09-21,0.007744,0.000867
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0016,NA
2013-05-25,0.025511,0.003709
2013-06-02,0.025256,0.003794
2013-06-10,0.039663,0.008267
2013-06-18,0.070159,0.008476
2013-06-26,0.056715,0.005473
2013-07-04,0.054011,0.009385
2013-07-12,0.050633,0.005076
2013-07-20,0.060456,0.006087
2013-07-28,0.048733,0.005022
2013-08-05,0.053048,0.005485
2013-08-13,0.0155,0.00372
2013-08-21,0.018693,0.001691
2013-08-29,0.015978,0.001523
2013-09-06,0.011096,0.001229
2013-09-14,0.001481,0.000613
2013-09-22,0.003096,0.000607
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,0.00055,7.1e-05
2014-05-01,0.002204,0.000752
2014-05-09,0.012435,0.004329
2014-05-17,0.003147,0.002006
2014-05-25,0.020133,0.002838
2014-06-02,0.038711,0.004039
2014-06-10,0.046526,0.005246
2014-06-18,0.066259,0.006456
2014-06-26,0.071433,0.00754
2014-07-04,0.0749,0.007331
2014-07-12,0.066674,0.012628
2014-07-20,0.0371,0.008146
2014-07-28,0.03044,0.005492
2014-08-05,0.040163,0.003238
2014-08-13,0.033596,0.003122
2014-08-21,0.031607,0.002735
2014-08-29,0.012911,0.002607
2014-09-06,0.011319,0.001206
2014-09-14,0.001029,0.000107
2014-09-22,0.002865,0.000651
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,6e-04,0
2015-05-01,7e-04,NA
2015-05-09,0.016004,0.003458
2015-05-17,0.040081,0.004864
2015-05-25,0.034707,0.003654
2015-06-02,0.025148,0.00259
2015-06-10,0.035544,0.00625
2015-06-18,0.067004,0.006777
2015-06-26,0.05663,0.006404
2015-07-04,0.039027,0.019197
2015-07-12,0.045516,0.016049
2015-07-20,0.016587,0.004407
2015-07-28,0.037188,0.008556
2015-08-05,0.03013,0.00359
2015-08-13,0.016244,0.009479
2015-08-21,0.020719,0.003148
2015-08-29,0.002233,0.000462
2015-09-06,0.008011,0.001519
2015-09-14,0.001178,0.000398
2015-09-22,0.001774,0.000624
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,9e-04,0.00037
2016-04-30,0.001275,5.5e-05
2016-05-08,0.022189,0.003727
2016-05-16,0.016674,0.003104
2016-05-24,0.022856,0.002848
2016-06-01,0.023637,0.002871
