dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.007317,0.004685
2010-05-01,0.002017,0.001085
2010-05-09,0.005133,0.002724
2010-05-17,0.015283,0.008433
2010-05-25,0.027817,0.015052
2010-06-02,0.0289,0.01493
2010-06-10,0.0246,0.012902
2010-06-18,0.040783,0.020685
2010-06-26,0.036233,0.01878
2010-07-04,0.0407,0.02107
2010-07-12,0.02762,0.015678
2010-07-20,0.021917,0.012444
2010-07-28,0.033233,0.019722
2010-08-05,0.029383,0.015772
2010-08-13,0.032833,0.01669
2010-08-21,0.01175,0.007547
2010-08-29,0.015383,0.008063
2010-09-06,0.0094,0.005045
2010-09-14,0.0041,0.00264
2010-09-22,0.000917,0.000964
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.01888,0.006958
2011-05-25,0.023433,0.012843
2011-06-02,0.0181,0.009491
2011-06-10,0.0236,0.013476
2011-06-18,0.040633,0.021348
2011-06-26,0.04245,0.021078
2011-07-04,0.038217,0.018958
2011-07-12,0.03366,0.026029
2011-07-20,0.0423,0.022265
2011-07-28,0.038483,0.021284
2011-08-05,0.025833,0.013476
2011-08-13,0.019,0.009758
2011-08-21,0.0222,0.011441
2011-08-29,0.01395,0.007186
2011-09-06,0.007333,0.003829
2011-09-14,0.003483,0.001882
2011-09-22,8e-04,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.01398,0.004912
2012-05-24,0.019833,0.010925
2012-06-01,0.022017,0.011911
2012-06-09,0.0409,0.02086
2012-06-17,0.0456,0.024183
2012-06-25,0.047217,0.025548
2012-07-03,0.037383,0.019891
2012-07-11,0.033767,0.017761
2012-07-19,0.01525,0.013913
2012-07-27,0.037983,0.019712
2012-08-04,0.033283,0.017551
2012-08-12,0.030717,0.01728
2012-08-20,0.023917,0.012426
2012-08-28,0.01115,0.005707
2012-09-05,0.0069,0.003473
2012-09-13,0.0078,0.004065
2012-09-21,0.00485,0.00249
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.017533,0.009131
2013-06-02,0.016,0.008456
2013-06-10,0.027583,0.016581
2013-06-18,0.045467,0.024075
2013-06-26,0.0384,0.01975
2013-07-04,0.036033,0.019175
2013-07-12,0.0354,0.017807
2013-07-20,0.041433,0.021095
2013-07-28,0.03285,0.016762
2013-08-05,0.0367,0.019267
2013-08-13,0.01222,0.01015
2013-08-21,0.012517,0.00635
2013-08-29,0.010467,0.005461
2013-09-06,0.007117,0.003677
2013-09-14,0.001333,0.001528
2013-09-22,0.002217,0.001192
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0014,0.000735
2014-05-09,0.01216,0.007193
2014-05-17,0.00158,0.001031
2014-05-25,0.013983,0.007605
2014-06-02,0.0262,0.01397
2014-06-10,0.031883,0.016475
2014-06-18,0.044667,0.023321
2014-06-26,0.046133,0.024869
2014-07-04,0.04985,0.025502
2014-07-12,0.04355,0.024342
2014-07-20,0.02766,0.016152
2014-07-28,0.02032,0.011536
2014-08-05,0.0283,0.014153
2014-08-13,0.0234,0.011879
2014-08-21,0.021983,0.011107
2014-08-29,0.009317,0.005003
2014-09-06,0.0079,0.004111
2014-09-14,0.001733,0.000945
2014-09-22,0.0021,0.001114
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.010117,0.005764
2015-05-17,0.025117,0.013868
2015-05-25,0.023517,0.012081
2015-06-02,0.017167,0.008878
2015-06-10,0.022183,0.011966
2015-06-18,0.047583,0.025396
2015-06-26,0.038083,0.020523
2015-07-04,0.0185,0.021244
2015-07-12,0.02055,0.011667
2015-07-20,0.010517,0.00643
2015-07-28,0.026917,0.014406
2015-08-05,0.020567,0.010535
2015-08-13,0.006983,0.006078
2015-08-21,0.013067,0.006664
2015-08-29,0,NA
2015-09-06,0.005717,0.002878
2015-09-14,0.00115,0.00052
2015-09-22,0.000883,0.000646
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,0,NA
2016-04-22,NA,NA
2016-04-30,0.001233,0.000115
2016-05-08,0.013917,0.007462
2016-05-16,0.011033,0.005749
2016-05-24,0.0155,0.007979
2016-06-01,0.016183,0.009055
2016-06-09,0.0326,0.003948
2016-06-17,0.031917,0.01658
