dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.00085,0.000435
2010-04-23,0.006483,0.0025
2010-05-01,0.002005,0.000555
2010-05-09,0.004923,0.00147
2010-05-17,0.013995,0.003436
2010-05-25,0.02868,0.006905
2010-06-02,0.03185,0.006887
2010-06-10,0.025284,0.006705
2010-06-18,0.042691,0.009574
2010-06-26,0.037663,0.009502
2010-07-04,0.04324,0.009641
2010-07-12,0.023845,0.010311
2010-07-20,0.024629,0.010842
2010-07-28,0.036023,0.009724
2010-08-05,0.029775,0.006881
2010-08-13,0.034905,0.007248
2010-08-21,0.013258,0.00346
2010-08-29,0.014387,0.003437
2010-09-06,0.009418,0.00202
2010-09-14,0.003831,0.001102
2010-09-22,0.00047,0.00025
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,0,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.013555,0.005089
2011-05-25,0.02508,0.006042
2011-06-02,0.019664,0.004349
2011-06-10,0.020193,0.006462
2011-06-18,0.044152,0.009499
2011-06-26,0.04527,0.009449
2011-07-04,0.042802,0.009576
2011-07-12,0.038114,0.008098
2011-07-20,0.043828,0.00982
2011-07-28,0.038894,0.008688
2011-08-05,0.030294,0.005658
2011-08-13,0.021089,0.004316
2011-08-21,0.025365,0.005174
2011-08-29,0.014556,0.002984
2011-09-06,0.008003,0.001991
2011-09-14,0.003916,0.000865
2011-09-22,0.000744,0.000124
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.010767,0.004532
2012-05-24,0.02158,0.005689
2012-06-01,0.022516,0.00566
2012-06-09,0.04453,0.009549
2012-06-17,0.049306,0.010493
2012-06-25,0.050459,0.011197
2012-07-03,0.042219,0.009916
2012-07-11,0.038473,0.008574
2012-07-19,0.026084,0.012887
2012-07-27,0.040464,0.008565
2012-08-04,0.035073,0.0077
2012-08-12,0.031248,0.006418
2012-08-20,0.026931,0.006189
2012-08-28,0.011828,0.002645
2012-09-05,0.006865,0.001597
2012-09-13,0.007897,0.00172
2012-09-21,0.005402,0.001344
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0038,0
2013-05-25,0.016071,0.004781
2013-06-02,0.015413,0.00458
2013-06-10,0.029174,0.007857
2013-06-18,0.048869,0.011341
2013-06-26,0.042104,0.008926
2013-07-04,0.037933,0.009642
2013-07-12,0.038395,0.00691
2013-07-20,0.043787,0.008898
2013-07-28,0.035084,0.008093
2013-08-05,0.040125,0.008013
2013-08-13,0.017582,0.006258
2013-08-21,0.014614,0.002818
2013-08-29,0.011807,0.00238
2013-09-06,0.007712,0.001687
2013-09-14,0.001418,0.00071
2013-09-22,0.002176,0.000524
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,0.00055,7.1e-05
2014-05-01,0.001582,0.000749
2014-05-09,0.007055,0.003611
2014-05-17,0.00165,0.000578
2014-05-25,0.013363,0.003571
2014-06-02,0.027986,0.006007
2014-06-10,0.033991,0.00738
2014-06-18,0.047173,0.009983
2014-06-26,0.05265,0.011203
2014-07-04,0.056373,0.010843
2014-07-12,0.049563,0.009403
2014-07-20,0.028808,0.005138
2014-07-28,0.024411,0.005551
2014-08-05,0.031175,0.005757
2014-08-13,0.025291,0.005339
2014-08-21,0.022962,0.004678
2014-08-29,0.010209,0.002136
2014-09-06,0.008452,0.001643
2014-09-14,0.001107,0.000464
2014-09-22,0.002013,0.000564
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,0,NA
2015-04-07,0,NA
2015-04-15,NA,NA
2015-04-23,6e-04,0
2015-05-01,0.000481,0.000138
2015-05-09,0.007199,0.00383
2015-05-17,0.027364,0.006911
2015-05-25,0.025032,0.005431
2015-06-02,0.018347,0.003698
2015-06-10,0.026606,0.006357
2015-06-18,0.050046,0.010032
2015-06-26,0.040437,0.009798
2015-07-04,0.028177,0.015332
2015-07-12,0.037196,0.010339
2015-07-20,0.010279,0.006223
2015-07-28,0.022701,0.012111
2015-08-05,0.022492,0.004675
2015-08-13,0.0089,0.005026
2015-08-21,0.015933,0.003574
2015-08-29,0.001492,0.000571
2015-09-06,0.005735,0.001391
2015-09-14,0.000968,0.00032
2015-09-22,0.001247,4e-04
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,0,NA
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,0,0
2016-04-22,0.0011,0.000462
2016-04-30,0.001237,0.000138
2016-05-08,0.01517,0.003828
2016-05-16,0.011201,0.003224
2016-05-24,0.015957,0.003673
2016-06-01,0.015705,0.003642
2016-06-09,0.024466,0.011352
2016-06-17,0.034744,0.007899
