dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.00085,0.000495
2010-04-23,0.0108,0.001215
2010-05-01,0.002833,0.000356
2010-05-09,0.007633,0.001515
2010-05-17,0.020633,0.002284
2010-05-25,0.038917,0.002867
2010-06-02,0.038767,0.003024
2010-06-10,0.030417,0.00282
2010-06-18,0.053283,0.002602
2010-06-26,0.047317,0.001242
2010-07-04,0.051683,0.001059
2010-07-12,0.031683,0.003145
2010-07-20,0.034317,0.007887
2010-07-28,0.042617,0.003458
2010-08-05,0.037317,0.001542
2010-08-13,0.041633,0.001727
2010-08-21,0.009917,0.002901
2010-08-29,0.018617,0.001656
2010-09-06,0.011567,0.001089
2010-09-14,0.005583,0.000935
2010-09-22,0.000433,8.2e-05
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.021167,0.005245
2011-05-25,0.03355,0.003263
2011-06-02,0.0251,0.002226
2011-06-10,0.030975,0.001873
2011-06-18,0.051433,0.003104
2011-06-26,0.05265,0.003304
2011-07-04,0.046867,0.002415
2011-07-12,0.046383,0.003144
2011-07-20,0.0501,0.002461
2011-07-28,0.044633,0.001613
2011-08-05,0.032467,0.001597
2011-08-13,0.023667,0.000824
2011-08-21,0.0281,0.002958
2011-08-29,0.017233,0.000606
2011-09-06,0.011067,0.000876
2011-09-14,0.005317,0.001107
2011-09-22,6e-04,0
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.015583,0.004591
2012-05-24,0.02705,0.003462
2012-06-01,0.028833,0.003548
2012-06-09,0.0527,0.003289
2012-06-17,0.054083,0.001976
2012-06-25,0.05845,0.002998
2012-07-03,0.046167,0.003387
2012-07-11,0.040983,0.001608
2012-07-19,0.0277,0.006468
2012-07-27,0.04375,0.002057
2012-08-04,0.039767,0.001109
2012-08-12,0.0362,0.001881
2012-08-20,0.033233,0.001996
2012-08-28,0.01295,0.000745
2012-09-05,0.00815,0.000892
2012-09-13,0.010183,0.000804
2012-09-21,0.006483,0.000618
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.025217,0.002869
2013-06-02,0.023167,0.002589
2013-06-10,0.032983,0.005798
2013-06-18,0.05875,0.004957
2013-06-26,0.04525,0.002343
2013-07-04,0.045517,0.004159
2013-07-12,0.041867,0.001721
2013-07-20,0.04955,0.002195
2013-07-28,0.038783,0.001868
2013-08-05,0.043733,0.001866
2013-08-13,0.008667,0.004964
2013-08-21,0.01705,0.002131
2013-08-29,0.013267,0.000631
2013-09-06,0.008983,0.000531
2013-09-14,0.001675,0.00083
2013-09-22,0.00285,0.000442
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.001867,0.000914
2014-05-09,0.01065,0.00449
2014-05-17,0.0042,0.003527
2014-05-25,0.019183,0.002167
2014-06-02,0.0338,0.002706
2014-06-10,0.039817,0.00326
2014-06-18,0.056517,0.002587
2014-06-26,0.05935,0.002851
2014-07-04,0.065,0.002538
2014-07-12,0.057233,0.008354
2014-07-20,0.030883,0.001971
2014-07-28,0.025917,0.000898
2014-08-05,0.034833,0.000997
2014-08-13,0.028783,0.002258
2014-08-21,0.02725,0.001679
2014-08-29,0.011883,0.000854
2014-09-06,0.01025,0.000437
2014-09-14,0.001567,0.000981
2014-09-22,0.002633,5.2e-05
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,5e-04,NA
2015-05-01,5e-04,0
2015-05-09,0.013183,0.002687
2015-05-17,0.035567,0.005546
2015-05-25,0.029333,0.002542
2015-06-02,0.020133,0.001776
2015-06-10,0.029833,0.004259
2015-06-18,0.0547,0.002751
2015-06-26,0.045867,0.002756
2015-07-04,0.0401,NA
2015-07-12,0.04455,0.000289
2015-07-20,0.0144,0.000395
2015-07-28,0.0269,0.012304
2015-08-05,0.02335,0.001291
2015-08-13,0.023517,0.001853
2015-08-21,0.01625,0.001864
2015-08-29,NA,NA
2015-09-06,0.0071,0.000724
2015-09-14,0.00116,0.000422
2015-09-22,0.001833,8.2e-05
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0012,0
2016-05-08,0.020967,0.004117
2016-05-16,0.01355,0.002306
2016-05-24,0.019817,0.001906
2016-06-01,0.019317,0.001341
2016-06-09,0.03395,0.002751
