dates,deciduous_needleleaf_forest_mean,deciduous_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,0,0
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,0.000777,0.000338
2010-04-23,0.010593,0.002091
2010-05-01,0.002522,0.000509
2010-05-09,0.006893,0.00154
2010-05-17,0.018704,0.003198
2010-05-25,0.037844,0.00522
2010-06-02,0.039385,0.004237
2010-06-10,0.031167,0.004621
2010-06-18,0.053022,0.006035
2010-06-26,0.047252,0.007525
2010-07-04,0.049267,0.009553
2010-07-12,0.031405,0.006776
2010-07-20,0.025781,0.007047
2010-07-28,0.037044,0.007539
2010-08-05,0.03317,0.007559
2010-08-13,0.041267,0.005589
2010-08-21,0.011793,0.003974
2010-08-29,0.018519,0.002364
2010-09-06,0.011004,0.001889
2010-09-14,0.004652,0.001072
2010-09-22,0.000719,0.000546
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.020267,0.005193
2011-05-25,0.032956,0.005082
2011-06-02,0.024811,0.002588
2011-06-10,0.028874,0.005476
2011-06-18,0.050837,0.0079
2011-06-26,0.052763,0.0069
2011-07-04,0.04953,0.006518
2011-07-12,0.040074,0.009521
2011-07-20,0.047848,0.011113
2011-07-28,0.041278,0.009588
2011-08-05,0.031015,0.005739
2011-08-13,0.023822,0.003248
2011-08-21,0.029078,0.003827
2011-08-29,0.017289,0.002199
2011-09-06,0.010011,0.001713
2011-09-14,0.004533,0.001153
2011-09-22,0.000571,0.000145
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.018796,0.004075
2012-05-24,0.027156,0.003879
2012-06-01,0.029656,0.004696
2012-06-09,0.054796,0.006276
2012-06-17,0.053926,0.010584
2012-06-25,0.055267,0.013193
2012-07-03,0.044681,0.010523
2012-07-11,0.041641,0.00858
2012-07-19,0.031156,0.012643
2012-07-27,0.041081,0.011402
2012-08-04,0.038478,0.007562
2012-08-12,0.035919,0.006132
2012-08-20,0.031581,0.005655
2012-08-28,0.013552,0.002038
2012-09-05,0.008215,0.001527
2012-09-13,0.009448,0.001479
2012-09-21,0.006144,0.000999
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0015,NA
2013-05-25,0.023541,0.003785
2013-06-02,0.022941,0.003822
2013-06-10,0.035281,0.007708
2013-06-18,0.060378,0.009882
2013-06-26,0.045681,0.008035
2013-07-04,0.045041,0.009475
2013-07-12,0.041993,0.007219
2013-07-20,0.048407,0.009265
2013-07-28,0.038148,0.007599
2013-08-05,0.037407,0.011648
2013-08-13,0.013854,0.003419
2013-08-21,0.016389,0.002
2013-08-29,0.013296,0.001894
2013-09-06,0.009019,0.001426
2013-09-14,0.001369,0.000614
2013-09-22,0.002426,0.000537
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,4e-04,0.000141
2014-05-01,0.00198,0.00072
2014-05-09,0.01125,0.003971
2014-05-17,0.002779,0.001705
2014-05-25,0.017859,0.00291
2014-06-02,0.035244,0.004332
2014-06-10,0.041607,0.005824
2014-06-18,0.056107,0.00903
2014-06-26,0.057174,0.011988
2014-07-04,0.064019,0.010118
2014-07-12,0.053756,0.011169
2014-07-20,0.030068,0.007201
2014-07-28,0.025648,0.005208
2014-08-05,0.0349,0.004599
2014-08-13,0.029352,0.003658
2014-08-21,0.02767,0.003304
2014-08-29,0.011441,0.002488
2014-09-06,0.009933,0.001365
2014-09-14,0.001014,0.000123
2014-09-22,0.002227,0.000616
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,0,0
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,0.00048,5.6e-05
2015-05-01,5e-04,NA
2015-05-09,0.0146,0.003302
2015-05-17,0.035911,0.005197
2015-05-25,0.031107,0.003863
2015-06-02,0.021981,0.002848
2015-06-10,0.031889,0.006071
2015-06-18,0.056459,0.008898
2015-06-26,0.044593,0.009393
2015-07-04,0.0345,0.016936
2015-07-12,0.036916,0.014126
2015-07-20,0.014846,0.003983
2015-07-28,0.030348,0.007883
2015-08-05,0.025156,0.004014
2015-08-13,0.0147,0.008464
2015-08-21,0.018181,0.003002
2015-08-29,0.001833,0.000643
2015-09-06,0.006804,0.001501
2015-09-14,0.000983,0.000373
2015-09-22,0.001359,0.000545
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,0
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,0.000812,0.000242
2016-04-30,0.00119,4.5e-05
2016-05-08,0.020452,0.003665
2016-05-16,0.015019,0.002973
2016-05-24,0.020844,0.002989
2016-06-01,0.021137,0.002972
