MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010009,2010-01-09,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010017,2010-01-17,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010025,2010-01-25,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010033,2010-02-02,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010041,2010-02-10,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010049,2010-02-18,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010057,2010-02-26,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010065,2010-03-06,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010073,2010-03-14,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010081,2010-03-22,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27,6,22.22
A2010089,2010-03-30,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010097,2010-04-07,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010105,2010-04-15,MYD17A2H,PsnNet_500m,0.0005,0.0015,0.0171,0.0010,0.0008,0.0000,0.0003,27,22,81.48
A2010113,2010-04-23,MYD17A2H,PsnNet_500m,0.0063,0.0139,0.2860,0.0076,0.0106,0.0000,0.0021,27,27,100.00
A2010121,2010-05-01,MYD17A2H,PsnNet_500m,0.0015,0.0032,0.0681,0.0017,0.0025,0.0000,0.0005,27,27,100.00
A2010129,2010-05-09,MYD17A2H,PsnNet_500m,0.0037,0.0092,0.1861,0.0055,0.0069,0.0000,0.0015,27,27,100.00
A2010137,2010-05-17,MYD17A2H,PsnNet_500m,0.0118,0.0222,0.5050,0.0104,0.0187,0.0000,0.0031,27,27,100.00
A2010145,2010-05-25,MYD17A2H,PsnNet_500m,0.0261,0.0439,1.0218,0.0178,0.0378,0.0000,0.0051,27,27,100.00
A2010153,2010-06-02,MYD17A2H,PsnNet_500m,0.0280,0.0446,1.0634,0.0166,0.0394,0.0000,0.0042,27,27,100.00
A2010161,2010-06-10,MYD17A2H,PsnNet_500m,0.0202,0.0354,0.8415,0.0152,0.0312,0.0000,0.0045,27,27,100.00
A2010169,2010-06-18,MYD17A2H,PsnNet_500m,0.0381,0.0606,1.4316,0.0225,0.0530,0.0000,0.0059,27,27,100.00
A2010177,2010-06-26,MYD17A2H,PsnNet_500m,0.0308,0.0547,1.2758,0.0239,0.0473,0.0001,0.0074,27,27,100.00
A2010185,2010-07-04,MYD17A2H,PsnNet_500m,0.0269,0.0580,1.3302,0.0311,0.0493,0.0001,0.0094,27,27,100.00
A2010193,2010-07-12,MYD17A2H,PsnNet_500m,0.0095,0.0414,0.6281,0.0319,0.0314,0.0000,0.0066,27,20,74.07
A2010201,2010-07-20,MYD17A2H,PsnNet_500m,0.0133,0.0400,0.6961,0.0267,0.0258,0.0000,0.0069,27,27,100.00
A2010209,2010-07-28,MYD17A2H,PsnNet_500m,0.0222,0.0451,1.0002,0.0229,0.0370,0.0001,0.0074,27,27,100.00
A2010217,2010-08-05,MYD17A2H,PsnNet_500m,0.0183,0.0405,0.8956,0.0222,0.0332,0.0001,0.0074,27,27,100.00
A2010225,2010-08-13,MYD17A2H,PsnNet_500m,0.0270,0.0470,1.1142,0.0200,0.0413,0.0000,0.0055,27,27,100.00
A2010233,2010-08-21,MYD17A2H,PsnNet_500m,0.0052,0.0195,0.3184,0.0143,0.0118,0.0000,0.0039,27,27,100.00
A2010241,2010-08-29,MYD17A2H,PsnNet_500m,0.0134,0.0211,0.5000,0.0077,0.0185,0.0000,0.0023,27,27,100.00
A2010249,2010-09-06,MYD17A2H,PsnNet_500m,0.0073,0.0136,0.2971,0.0063,0.0110,0.0000,0.0019,27,27,100.00
A2010257,2010-09-14,MYD17A2H,PsnNet_500m,0.0021,0.0060,0.1256,0.0039,0.0047,0.0000,0.0011,27,27,100.00
A2010265,2010-09-22,MYD17A2H,PsnNet_500m,0.0004,0.0023,0.0194,0.0019,0.0007,0.0000,0.0005,27,27,100.00
A2010273,2010-09-30,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010281,2010-10-08,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010289,2010-10-16,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010297,2010-10-24,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010305,2010-11-01,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010313,2010-11-09,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010321,2010-11-17,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010329,2010-11-25,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010337,2010-12-03,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010345,2010-12-11,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010353,2010-12-19,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2010361,2010-12-27,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011001,2011-01-01,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011009,2011-01-09,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011017,2011-01-17,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011025,2011-01-25,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011033,2011-02-02,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011041,2011-02-10,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011049,2011-02-18,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011057,2011-02-26,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011065,2011-03-06,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011073,2011-03-14,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011081,2011-03-22,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27,1,3.70
A2011089,2011-03-30,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27,2,7.41
A2011097,2011-04-07,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011105,2011-04-15,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011113,2011-04-23,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011121,2011-05-01,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011129,2011-05-09,MYD17A2H,PsnNet_500m,,,,,,,,27,0,0.00
A2011137,2011-05-17,MYD17A2H,PsnNet_500m,0.0037,0.0256,0.5472,0.0219,0.0203,0.0000,0.0051,27,27,100.00
A2011145,2011-05-25,MYD17A2H,PsnNet_500m,0.0217,0.0380,0.8898,0.0163,0.0330,0.0000,0.0050,27,27,100.00
A2011153,2011-06-02,MYD17A2H,PsnNet_500m,0.0188,0.0277,0.6699,0.0089,0.0248,0.0000,0.0025,27,27,100.00
A2011161,2011-06-10,MYD17A2H,PsnNet_500m,0.0179,0.0383,0.7796,0.0204,0.0289,0.0000,0.0054,27,27,100.00
