Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Sep 20,Jun 03,Jul 12,Sep 01,Jun 24,Jul 26,Aug 11
2002, Cycle 1,Sep 17,May 21,Jul 04,Aug 23,Jun 13,Jul 17,Aug 02
2003, Cycle 1,Sep 29,Apr 28,Jun 30,Aug 31,Jun 06,Jul 16,Aug 02
2004, Cycle 1,Sep 20,Apr 29,Jun 27,Aug 27,Jun 05,Jul 12,Jul 30
2005, Cycle 1,Sep 14,Apr 22,Jun 19,Aug 24,May 27,Jul 05,Jul 27
2006, Cycle 1,Sep 29,May 17,Jul 04,Sep 01,Jun 14,Jul 21,Aug 08
2007, Cycle 1,Sep 29,May 09,Jun 28,Sep 04,Jun 05,Jul 16,Aug 05
2008, Cycle 1,Sep 23,May 04,Jun 25,Aug 28,May 31,Jul 14,Aug 03
2009, Cycle 1,Sep 28,May 03,Jun 26,Aug 30,Jun 01,Jul 12,Aug 01
2010, Cycle 1,Sep 23,Apr 18,Jun 25,Aug 30,May 26,Jul 14,Aug 03
2011, Cycle 1,Sep 28,May 08,Jun 27,Sep 02,Jun 03,Jul 14,Aug 04
2012, Cycle 1,Oct 01,May 09,Jun 26,Sep 01,Jun 03,Jul 14,Aug 05
2013, Cycle 1,Oct 21,May 16,Jul 02,Sep 11,Jun 09,Jul 20,Aug 14
2014, Cycle 1,Sep 28,Mar 29,Jun 21,Sep 04,May 22,Jul 11,Aug 04
2015, Cycle 1,Sep 28,Apr 26,Jun 23,Aug 31,May 25,Jul 14,Aug 03
2016, Cycle 1,Oct 02,Apr 13,Jun 26,Aug 31,May 26,Jul 15,Aug 02
2017, Cycle 1,Oct 01,Apr 28,Jun 23,Sep 05,May 26,Jul 15,Aug 07
2018, Cycle 1,Sep 29,Apr 30,Jun 28,Aug 26,Jun 03,Jul 14,Jul 31
2019, Cycle 1,Sep 23,May 01,Jun 26,Aug 28,May 28,Jul 16,Aug 04
2004, Cycle 2,Sep 23,May 19,Jun 28,Aug 29,Jun 08,Jul 11,Jul 31
2008, Cycle 2,Sep 26,Mar 18,Jun 22,Aug 28,May 22,Jul 12,Aug 01
2018, Cycle 2,Sep 15,Mar 15,Jul 10,Aug 27,Jun 04,Jul 25,Aug 08
