dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.007062,0.004056
2010-05-01,0.004338,0.000396
2010-05-09,0.006,0.001171
2010-05-17,0.01345,0.000665
2010-05-25,0.03375,0.003704
2010-06-02,0.038738,0.004301
2010-06-10,0.047812,0.002736
2010-06-18,0.043225,0.003801
2010-06-26,0.04075,0.008689
2010-07-04,0.057925,0.003523
2010-07-12,0.03055,0.019295
2010-07-20,0.031512,0.004757
2010-07-28,0.045125,0.003325
2010-08-05,0.032412,0.002333
2010-08-13,0.033462,0.001803
2010-08-21,0.012529,0.003421
2010-08-29,0.013775,0.001206
2010-09-06,0.008638,0.000926
2010-09-14,0.004462,0.000719
2010-09-22,2e-04,0
2010-09-30,3e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,7e-04,0
2011-05-17,0.019975,0.001519
2011-05-25,0.042862,0.006318
2011-06-02,0.0265,0.002603
2011-06-10,0.0361,0.00335
2011-06-18,0.050888,0.004316
2011-06-26,0.048288,0.002958
2011-07-04,0.043133,0.011914
2011-07-12,NA,NA
2011-07-20,0.045375,0.004596
2011-07-28,0.044875,0.004991
2011-08-05,0.025438,0.004089
2011-08-13,0.021388,0.001473
2011-08-21,0.024925,0.002598
2011-08-29,0.015775,0.001108
2011-09-06,0.011538,0.001284
2011-09-14,0.008225,0.000676
2011-09-22,3e-04,0
2011-09-30,0.0015,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,0.0015,0.000173
2012-05-16,0.011938,0.001959
2012-05-24,0.016838,0.004012
2012-06-01,0.0285,0.005152
2012-06-09,0.040412,0.005774
2012-06-17,0.058262,0.00165
2012-06-25,0.04355,0.001723
2012-07-03,0.054988,0.002389
2012-07-11,0.027317,0.011102
2012-07-19,0.037475,0.006543
2012-07-27,0.046975,0.004937
2012-08-04,0.035725,0.003762
2012-08-12,0.034113,0.00201
2012-08-20,0.0227,0.006131
2012-08-28,0.011388,0.000247
2012-09-05,0.006325,0.001191
2012-09-13,0.005562,0.00107
2012-09-21,0.00675,0.001082
2012-09-29,0.00085,0.00058
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.002533,0.00106
2013-05-25,0.021962,0.00127
2013-06-02,0.025338,0.002377
2013-06-10,0.038588,0.003655
2013-06-18,0.052612,0.00762
2013-06-26,0.05895,0.003648
2013-07-04,0.046,0.001766
2013-07-12,0.049712,0.004182
2013-07-20,0.039012,0.008607
2013-07-28,0.058412,0.0021
2013-08-05,0.051525,0.001809
2013-08-13,0.014667,0.006258
2013-08-21,0.016262,0.001413
2013-08-29,0.015462,0.000733
2013-09-06,0.010475,0.001767
2013-09-14,0.002025,0.000523
2013-09-22,0.000529,7.6e-05
2013-09-30,0.0011,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.008,0.001771
2014-05-09,0.012012,0.00127
2014-05-17,0.002667,0.000774
2014-05-25,0.01445,0.008829
2014-06-02,0.036462,0.002029
2014-06-10,0.030514,0.009213
2014-06-18,0.051938,0.008837
2014-06-26,0.048875,0.002444
2014-07-04,0.051662,0.004127
2014-07-12,0.044912,0.011927
2014-07-20,0.02495,0.004336
2014-07-28,0.028643,0.00797
2014-08-05,0.014125,0.00564
2014-08-13,0.029612,0.003558
2014-08-21,0.0288,0.003078
2014-08-29,0.009688,0.001159
2014-09-06,0.0088,0.000812
2014-09-14,0.007963,0.000501
2014-09-22,0.002375,0.000349
2014-09-30,4e-04,0
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0125,0.005994
2015-05-17,0.044675,0.002198
2015-05-25,0.039112,0.002065
2015-06-02,0.029175,0.002605
2015-06-10,0.033712,0.007904
2015-06-18,0.057325,0.003239
2015-06-26,0.033417,0.022527
2015-07-04,0.051262,0.014922
2015-07-12,0.041688,0.003451
2015-07-20,0.0375,0.01227
2015-07-28,0.033283,0.00535
2015-08-05,0.036888,0.001246
2015-08-13,0.027988,0.002932
2015-08-21,0.016988,0.00265
2015-08-29,0.0058,0.000385
2015-09-06,0.00955,0.000657
2015-09-14,6e-04,0
2015-09-22,2e-04,0
2015-09-30,2e-04,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,8e-04,NA
2016-04-30,0.004314,0.001823
2016-05-08,0.020425,0.001416
2016-05-16,0.01025,0.003242
2016-05-24,0.018375,0.001289
2016-06-01,0.024138,0.000784
2016-06-09,0.052025,0.002213
