dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.004241,0.002633
2010-05-01,0.004499,0.000413
2010-05-09,0.006093,0.001092
2010-05-17,0.014248,0.001084
2010-05-25,0.028796,0.003902
2010-06-02,0.035365,0.00435
2010-06-10,0.043687,0.004466
2010-06-18,0.036978,0.008415
2010-06-26,0.037762,0.010693
2010-07-04,0.03883,0.016381
2010-07-12,0.027448,0.01403
2010-07-20,0.029317,0.00303
2010-07-28,0.036652,0.004874
2010-08-05,0.02596,0.004066
2010-08-13,0.029456,0.002375
2010-08-21,0.012775,0.003711
2010-08-29,0.011745,0.001289
2010-09-06,0.008544,0.001118
2010-09-14,0.004624,0.000658
2010-09-22,0.000202,1.3e-05
2010-09-30,3e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,0,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,0.000557,9.8e-05
2011-05-17,0.020708,0.001551
2011-05-25,0.036899,0.004639
2011-06-02,0.023906,0.003735
2011-06-10,0.023382,0.008589
2011-06-18,0.044059,0.004699
2011-06-26,0.044634,0.005291
2011-07-04,0.028848,0.014345
2011-07-12,0.006448,0.002052
2011-07-20,0.040863,0.003954
2011-07-28,0.044066,0.003993
2011-08-05,0.01886,0.006329
2011-08-13,0.019942,0.001938
2011-08-21,0.022306,0.002715
2011-08-29,0.014786,0.00119
2011-09-06,0.011206,0.001214
2011-09-14,0.008208,0.000775
2011-09-22,0.000365,0.000298
2011-09-30,0.00131,0.000531
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,0.00152,0.000317
2012-05-16,0.013354,0.001643
2012-05-24,0.0167,0.005113
2012-06-01,0.022853,0.008726
2012-06-09,0.032163,0.006226
2012-06-17,0.049951,0.004804
2012-06-25,0.034269,0.012961
2012-07-03,0.053094,0.005
2012-07-11,0.025173,0.011681
2012-07-19,0.035572,0.006753
2012-07-27,0.040799,0.005415
2012-08-04,0.038892,0.005078
2012-08-12,0.025972,0.006266
2012-08-20,0.018403,0.007961
2012-08-28,0.009163,0.001372
2012-09-05,0.006513,0.001515
2012-09-13,0.005778,0.000892
2012-09-21,0.006662,0.000879
2012-09-29,0.000743,0.000334
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,0
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0042,0.001905
2013-05-25,0.023431,0.002031
2013-06-02,0.021639,0.0029
2013-06-10,0.034552,0.004687
2013-06-18,0.044154,0.006964
2013-06-26,0.052724,0.004551
2013-07-04,0.041769,0.002973
2013-07-12,0.045272,0.004696
2013-07-20,0.040575,0.003651
2013-07-28,0.052438,0.004798
2013-08-05,0.047016,0.003583
2013-08-13,0.016449,0.008764
2013-08-21,0.014623,0.001196
2013-08-29,0.014284,0.001651
2013-09-06,0.009123,0.001859
2013-09-14,0.002086,0.001168
2013-09-22,0.000728,0.000219
2013-09-30,0.000628,0.000467
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,5e-04,NA
2014-05-01,0.009207,0.002541
2014-05-09,0.013738,0.001004
2014-05-17,0.00287,0.000965
2014-05-25,0.01895,0.005617
2014-06-02,0.031246,0.002671
2014-06-10,0.033524,0.006787
2014-06-18,0.047057,0.004713
2014-06-26,0.045859,0.00538
2014-07-04,0.047432,0.004741
2014-07-12,0.039561,0.009004
2014-07-20,0.030768,0.005642
2014-07-28,0.025506,0.006098
2014-08-05,0.011494,0.004845
2014-08-13,0.027225,0.003552
2014-08-21,0.02372,0.004298
2014-08-29,0.008942,0.000888
2014-09-06,0.008248,0.000732
2014-09-14,0.007469,0.000717
2014-09-22,0.002461,0.000403
2014-09-30,0.000507,0.000145
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.010857,0.00432
2015-05-17,0.036784,0.004604
2015-05-25,0.031079,0.003355
2015-06-02,0.024888,0.002591
2015-06-10,0.026106,0.008077
2015-06-18,0.047969,0.005939
2015-06-26,0.024143,0.019096
2015-07-04,0.04812,0.004505
2015-07-12,0.037742,0.004619
2015-07-20,0.027445,0.007877
2015-07-28,0.029618,0.004868
2015-08-05,0.032463,0.003039
2015-08-13,0.024911,0.003973
2015-08-21,0.013332,0.00349
2015-08-29,0.005142,0.001411
2015-09-06,0.009099,0.001077
2015-09-14,0.000653,0.00039
2015-09-22,0.000207,2.5e-05
2015-09-30,0.000209,3.8e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,8e-04,NA
2016-04-30,0.002987,0.001782
2016-05-08,0.020077,0.00229
2016-05-16,0.011023,0.002379
2016-05-24,0.017013,0.002671
2016-06-01,0.020705,0.002254
