dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.00595,0.003286
2010-05-01,0.003562,0.000342
2010-05-09,0.004912,0.000897
2010-05-17,0.01175,0.000571
2010-05-25,0.027725,0.002769
2010-06-02,0.032625,0.003066
2010-06-10,0.039162,0.001741
2010-06-18,0.036012,0.002391
2010-06-26,0.028762,0.004152
2010-07-04,0.040438,0.000803
2010-07-12,0.02245,0.012265
2010-07-20,0.022562,0.001564
2010-07-28,0.03035,0.000771
2010-08-05,0.021625,0.000509
2010-08-13,0.02625,0.001403
2010-08-21,0.0104,0.002466
2010-08-29,0.01085,0.000737
2010-09-06,0.007013,0.000716
2010-09-14,0.003438,0.000521
2010-09-22,1e-04,0
2010-09-30,3e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,5e-04,0
2011-05-17,0.017612,0.001231
2011-05-25,0.0362,0.004693
2011-06-02,0.022638,0.002123
2011-06-10,0.028362,0.001705
2011-06-18,0.03685,0.001838
2011-06-26,0.038575,0.002027
2011-07-04,0.0326,0.007347
2011-07-12,NA,NA
2011-07-20,0.029612,0.001292
2011-07-28,0.032125,0.001378
2011-08-05,0.017325,0.001257
2011-08-13,0.016625,0.000645
2011-08-21,0.02015,0.001639
2011-08-29,0.012875,0.000727
2011-09-06,0.009612,0.000993
2011-09-14,0.0066,0.000484
2011-09-22,1e-04,0
2011-09-30,0.0012,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,0.0014,0.000173
2012-05-16,0.010412,0.001713
2012-05-24,0.014612,0.003352
2012-06-01,0.023725,0.003776
2012-06-09,0.032988,0.00323
2012-06-17,0.038725,0.000413
2012-06-25,0.03025,3e-04
2012-07-03,0.040462,0.000437
2012-07-11,0.022567,0.008557
2012-07-19,0.0273,0.003821
2012-07-27,0.023912,0.003092
2012-08-04,0.028575,0.002401
2012-08-12,0.0248,0.000682
2012-08-20,0.018438,0.004204
2012-08-28,0.0093,0.000251
2012-09-05,0.005125,0.00084
2012-09-13,0.00445,0.000758
2012-09-21,0.005338,0.000795
2012-09-29,5e-04,0.000408
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.002233,0.000997
2013-05-25,0.019125,0.001075
2013-06-02,0.021438,0.001897
2013-06-10,0.0317,0.002521
2013-06-18,0.036325,0.002368
2013-06-26,0.037825,0.001201
2013-07-04,0.0315,0.000648
2013-07-12,0.031062,0.002502
2013-07-20,0.0291,0.00563
2013-07-28,0.033625,0.002051
2013-08-05,0.030175,0.001262
2013-08-13,0.0118,0.0049
2013-08-21,0.011712,0.000488
2013-08-29,0.012012,0.000488
2013-09-06,0.0081,0.001276
2013-09-14,0.001438,0.000414
2013-09-22,3e-04,0
2013-09-30,8e-04,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.006912,0.001472
2014-05-09,0.010437,0.001039
2014-05-17,0.002367,0.000638
2014-05-25,0.012375,0.007364
2014-06-02,0.030162,0.001504
2014-06-10,0.025629,0.007216
2014-06-18,0.039525,0.00548
2014-06-26,0.036825,0.001196
2014-07-04,0.034512,0.000747
2014-07-12,0.0341,0.006942
2014-07-20,0.019812,0.002983
2014-07-28,0.019829,0.003512
2014-08-05,0.011025,0.003801
2014-08-13,0.023025,0.001639
2014-08-21,0.022887,0.00168
2014-08-29,0.00765,0.000819
2014-09-06,0.006825,0.000483
2014-09-14,0.006025,0.000477
2014-09-22,0.001575,0.000296
2014-09-30,0.000186,3.8e-05
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.010875,0.004823
2015-05-17,0.03515,0.001268
2015-05-25,0.030875,0.001085
2015-06-02,0.022975,0.001236
2015-06-10,0.025812,0.004939
2015-06-18,0.038212,0.00102
2015-06-26,0.018117,0.011549
2015-07-04,0.033488,0.008331
2015-07-12,0.0278,0.001042
2015-07-20,0.024288,0.005758
2015-07-28,0.023983,0.002582
2015-08-05,0.024462,0.000262
2015-08-13,0.020988,0.001956
2015-08-21,0.012475,0.001193
2015-08-29,0.004625,0.000271
2015-09-06,0.007825,0.000575
2015-09-14,0.00045,7.1e-05
2015-09-22,0.00015,5.8e-05
2015-09-30,0,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,7e-04,NA
2016-04-30,0.003729,0.001564
2016-05-08,0.01745,0.001221
2016-05-16,0.008712,0.002568
2016-05-24,0.015712,0.001027
2016-06-01,0.0193,0.000568
2016-06-09,0.041012,0.000856
