date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,1,0.59
A2010073,2010-03-14,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010081,2010-03-22,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010089,2010-03-30,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010097,2010-04-07,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010105,2010-04-15,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0018,0.0128,0.7385,0.0110,0.0044,0.0000,0.0028,169,169,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0035,0.0053,0.7593,0.0018,0.0045,0.0000,0.0004,169,169,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0024,0.0076,1.0304,0.0052,0.0061,0.0000,0.0011,169,169,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0120,0.0188,2.4025,0.0068,0.0142,0.0000,0.0011,169,169,100.00
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0219,0.0402,4.9057,0.0183,0.0290,0.0000,0.0040,169,169,100.00
A2010153,2010-06-02,MYD17A2H,Gpp_500m,0.0274,0.0566,6.0010,0.0292,0.0355,0.0000,0.0044,169,169,100.00
A2010161,2010-06-10,MYD17A2H,Gpp_500m,0.0335,0.0583,7.4128,0.0248,0.0439,0.0000,0.0045,169,169,100.00
A2010169,2010-06-18,MYD17A2H,Gpp_500m,0.0093,0.0530,6.1883,0.0437,0.0373,0.0001,0.0083,169,166,98.22
A2010177,2010-06-26,MYD17A2H,Gpp_500m,0.0058,0.0677,6.2221,0.0619,0.0379,0.0001,0.0105,169,164,97.04
