date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,1,0.59
A2010073,2010-03-14,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010081,2010-03-22,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010089,2010-03-30,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010097,2010-04-07,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010105,2010-04-15,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010113,2010-04-23,MYD17A2H,PsnNet_500m,0.0016,0.0106,0.6396,0.0090,0.0038,0.0000,0.0023,169,169,100.00
A2010121,2010-05-01,MYD17A2H,PsnNet_500m,0.0028,0.0045,0.6191,0.0017,0.0037,0.0000,0.0003,169,169,100.00
A2010129,2010-05-09,MYD17A2H,PsnNet_500m,0.0022,0.0069,0.8485,0.0047,0.0050,0.0000,0.0009,169,169,100.00
A2010137,2010-05-17,MYD17A2H,PsnNet_500m,0.0106,0.0174,2.0955,0.0068,0.0124,0.0000,0.0010,169,169,100.00
A2010145,2010-05-25,MYD17A2H,PsnNet_500m,0.0186,0.0355,4.1198,0.0169,0.0244,0.0000,0.0032,169,169,100.00
A2010153,2010-06-02,MYD17A2H,PsnNet_500m,0.0240,0.0512,5.1522,0.0272,0.0305,0.0000,0.0037,169,169,100.00
A2010161,2010-06-10,MYD17A2H,PsnNet_500m,0.0287,0.0523,6.2105,0.0236,0.0367,0.0000,0.0036,169,169,100.00
A2010169,2010-06-18,MYD17A2H,PsnNet_500m,0.0084,0.0483,5.2338,0.0399,0.0315,0.0000,0.0066,169,166,98.22
A2010177,2010-06-26,MYD17A2H,PsnNet_500m,0.0048,0.0576,4.7209,0.0528,0.0288,0.0001,0.0072,169,164,97.04
A2010185,2010-07-04,MYD17A2H,PsnNet_500m,0.0042,0.0591,4.3700,0.0549,0.0312,0.0001,0.0118,169,140,82.84
A2010193,2010-07-12,MYD17A2H,PsnNet_500m,0.0041,0.0497,2.4998,0.0456,0.0221,0.0001,0.0106,169,113,66.86
A2010201,2010-07-20,MYD17A2H,PsnNet_500m,0.0146,0.0345,3.7459,0.0199,0.0222,0.0000,0.0020,169,169,100.00
A2010209,2010-07-28,MYD17A2H,PsnNet_500m,0.0230,0.0499,4.6729,0.0269,0.0277,0.0000,0.0035,169,169,100.00
A2010217,2010-08-05,MYD17A2H,PsnNet_500m,0.0145,0.0339,3.2225,0.0194,0.0191,0.0000,0.0027,169,169,100.00
A2010225,2010-08-13,MYD17A2H,PsnNet_500m,0.0194,0.0347,4.0283,0.0153,0.0238,0.0000,0.0021,169,169,100.00
A2010233,2010-08-21,MYD17A2H,PsnNet_500m,0.0020,0.0165,1.7960,0.0145,0.0108,0.0000,0.0029,169,167,98.82
A2010241,2010-08-29,MYD17A2H,PsnNet_500m,0.0081,0.0119,1.6270,0.0038,0.0096,0.0000,0.0010,169,169,100.00
A2010249,2010-09-06,MYD17A2H,PsnNet_500m,0.0052,0.0109,1.1720,0.0057,0.0069,0.0000,0.0008,169,169,100.00
A2010257,2010-09-14,MYD17A2H,PsnNet_500m,0.0026,0.0042,0.5989,0.0016,0.0035,0.0000,0.0005,169,169,100.00
A2010265,2010-09-22,MYD17A2H,PsnNet_500m,0.0001,0.0002,0.0128,0.0001,0.0001,0.0000,0.0000,169,125,73.96
A2010273,2010-09-30,MYD17A2H,PsnNet_500m,0.0003,0.0003,0.0024,0.0000,0.0003,0.0000,0.0000,169,8,4.73
A2010281,2010-10-08,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010289,2010-10-16,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010297,2010-10-24,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010305,2010-11-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010313,2010-11-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010321,2010-11-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010329,2010-11-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010337,2010-12-03,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010345,2010-12-11,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010353,2010-12-19,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010361,2010-12-27,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011001,2011-01-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011009,2011-01-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011017,2011-01-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011025,2011-01-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011033,2011-02-02,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011041,2011-02-10,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
