dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.006329,0.003355
2010-05-01,0.003671,0.00016
2010-05-09,0.005057,0.000862
2010-05-17,0.0118,0.000597
2010-05-25,0.028057,0.002814
2010-06-02,0.033114,0.002955
2010-06-10,0.039586,0.001366
2010-06-18,0.035986,0.002582
2010-06-26,0.028257,0.00421
2010-07-04,0.040557,0.000787
2010-07-12,0.0268,0.010589
2010-07-20,0.022386,0.0016
2010-07-28,0.0303,0.000819
2010-08-05,0.0217,5e-04
2010-08-13,0.026371,0.001469
2010-08-21,0.010317,0.002691
2010-08-29,0.010914,0.000771
2010-09-06,0.0072,0.00052
2010-09-14,0.003557,0.000428
2010-09-22,1e-04,0
2010-09-30,3e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,5e-04,0
2011-05-17,0.017629,0.001329
2011-05-25,0.037086,0.004286
2011-06-02,0.023043,0.00193
2011-06-10,0.0285,0.001794
2011-06-18,0.036686,0.001921
2011-06-26,0.039014,0.00173
2011-07-04,0.03328,0.008
2011-07-12,NA,NA
2011-07-20,0.0296,0.001395
2011-07-28,0.031843,0.001214
2011-08-05,0.017214,0.001315
2011-08-13,0.016686,0.000672
2011-08-21,0.02,0.00171
2011-08-29,0.013086,0.000449
2011-09-06,0.009814,0.000878
2011-09-14,0.006514,0.000453
2011-09-22,1e-04,NA
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,0.0014,0.000173
2012-05-16,0.010529,0.001816
2012-05-24,0.015029,0.003391
2012-06-01,0.023186,0.003731
2012-06-09,0.033171,0.003443
2012-06-17,0.038671,0.000415
2012-06-25,0.03025,3e-04
2012-07-03,0.040386,0.00041
2012-07-11,0.02276,0.009552
2012-07-19,0.027157,0.004104
2012-07-27,0.023686,0.003267
2012-08-04,0.028486,0.002579
2012-08-12,0.024786,0.000736
2012-08-20,0.018729,0.004453
2012-08-28,0.009329,0.000256
2012-09-05,0.005371,0.000506
2012-09-13,0.0046,0.000678
2012-09-21,0.005557,0.000535
2012-09-29,0.000633,0.000379
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.00232,0.001089
2013-05-25,0.019286,0.001053
2013-06-02,0.021757,0.001801
2013-06-10,0.031214,0.002284
2013-06-18,0.036857,0.001975
2013-06-26,0.0377,0.00124
2013-07-04,0.031429,0.000665
2013-07-12,0.030757,0.002536
2013-07-20,0.031086,0.000426
2013-07-28,0.033371,0.002076
2013-08-05,0.030029,0.001288
2013-08-13,0.01285,0.006435
2013-08-21,0.011757,0.000509
2013-08-29,0.0121,0.000455
2013-09-06,0.008529,0.000431
2013-09-14,0.001386,0.000418
2013-09-22,3e-04,0
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.007057,0.001527
2014-05-09,0.010486,0.001113
2014-05-17,0.00234,0.000709
2014-05-25,0.0095,0.005635
2014-06-02,0.030029,0.001572
2014-06-10,0.025967,0.007844
2014-06-18,0.039386,0.005903
2014-06-26,0.036886,0.001279
2014-07-04,0.034371,0.000682
2014-07-12,0.033586,0.007332
2014-07-20,0.020629,0.00204
2014-07-28,0.019283,0.003507
2014-08-05,0.010343,0.003537
2014-08-13,0.022814,0.00165
2014-08-21,0.023086,0.00171
2014-08-29,0.007814,0.000729
2014-09-06,0.006986,0.000177
2014-09-14,0.006171,0.000256
2014-09-22,0.001614,0.000297
2014-09-30,2e-04,0
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0109,0.005209
2015-05-17,0.035414,0.001107
2015-05-25,0.030714,0.001064
2015-06-02,0.023271,0.000981
2015-06-10,0.025514,0.005257
2015-06-18,0.038043,0.000973
2015-06-26,0.018117,0.011549
2015-07-04,0.036386,0.001604
2015-07-12,0.027829,0.001122
2015-07-20,0.024471,0.006194
2015-07-28,0.02374,0.002809
2015-08-05,0.024457,0.000282
2015-08-13,0.020786,0.002021
2015-08-21,0.012457,0.001287
2015-08-29,0.004643,0.000288
2015-09-06,0.007871,0.000605
2015-09-14,0.00045,7.1e-05
2015-09-22,0.000133,5.8e-05
2015-09-30,0,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,0,0
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,7e-04,NA
2016-04-30,0.003729,0.001564
2016-05-08,0.017629,0.001201
2016-05-16,0.008814,0.002756
2016-05-24,0.015729,0.001109
2016-06-01,0.019329,0.000607
2016-06-09,0.041029,0.000923
