Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,263,160,196,244,178,209,223
2002, Cycle 1,261,137,184,237,161,198,215
2003, Cycle 1,269,114,181,241,154,198,216
2004, Cycle 1,266,123,179,240,156,194,212
2005, Cycle 1,257,100,169,235,143,187,208
2006, Cycle 1,280,135,184,247,162,199,220
2007, Cycle 1,276,108,177,251,149,196,218
2008, Cycle 1,269,127,176,243,149,197,216
2009, Cycle 1,275,124,177,246,149,195,216
2010, Cycle 1,269,109,174,245,142,194,216
2011, Cycle 1,276,130,176,251,151,196,217
2012, Cycle 1,276,129,177,248,154,195,218
2013, Cycle 1,298,137,184,259,159,201,224
2014, Cycle 1,273,095,176,248,141,196,215
2015, Cycle 1,264,120,170,241,144,189,209
2016, Cycle 1,284,111,180,246,148,198,215
2017, Cycle 1,273,117,173,250,143,198,222
2018, Cycle 1,278,128,181,246,155,198,216
2019, Cycle 1,269,117,173,243,146,195,216
