MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,3,1.79
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,11,6.55
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,5,2.98
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,5,2.98
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0001,0.0004,0.0000,0.0001,0.0000,0.0000,168,4,2.38
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0008,0.0009,0.0233,0.0001,0.0009,0.0000,0.0000,168,26,15.48
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0018,0.0108,0.8339,0.0090,0.0050,0.0000,0.0020,168,167,99.40
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0034,0.0074,0.8440,0.0040,0.0050,0.0000,0.0007,168,168,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0011,0.0097,0.8639,0.0086,0.0051,0.0000,0.0017,168,168,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0089,0.0220,2.5644,0.0131,0.0153,0.0000,0.0025,168,168,100.00
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0219,0.0416,5.0941,0.0197,0.0303,0.0000,0.0045,168,168,100.00
A2010153,2010-06-02,MYD17A2H,Gpp_500m,0.0245,0.0486,5.6987,0.0241,0.0339,0.0000,0.0050,168,168,100.00
A2010161,2010-06-10,MYD17A2H,Gpp_500m,0.0294,0.0598,6.9956,0.0304,0.0416,0.0000,0.0055,168,168,100.00
A2010169,2010-06-18,MYD17A2H,Gpp_500m,0.0275,0.0571,6.4939,0.0296,0.0387,0.0000,0.0054,168,168,100.00
A2010177,2010-06-26,MYD17A2H,Gpp_500m,0.0070,0.0588,5.5593,0.0518,0.0343,0.0002,0.0124,168,162,96.43
A2010185,2010-07-04,MYD17A2H,Gpp_500m,0.0055,0.0653,5.8774,0.0598,0.0384,0.0002,0.0153,168,153,91.07
A2010193,2010-07-12,MYD17A2H,Gpp_500m,0.0044,0.0545,3.4739,0.0501,0.0271,0.0002,0.0138,168,128,76.19
A2010201,2010-07-20,MYD17A2H,Gpp_500m,0.0116,0.0499,4.7051,0.0383,0.0280,0.0000,0.0067,168,168,100.00
A2010209,2010-07-28,MYD17A2H,Gpp_500m,0.0272,0.0581,6.4468,0.0309,0.0384,0.0000,0.0062,168,168,100.00
A2010217,2010-08-05,MYD17A2H,Gpp_500m,0.0082,0.0362,3.8842,0.0280,0.0231,0.0000,0.0046,168,168,100.00
A2010225,2010-08-13,MYD17A2H,Gpp_500m,0.0203,0.0429,4.8765,0.0226,0.0290,0.0000,0.0040,168,168,100.00
A2010233,2010-08-21,MYD17A2H,Gpp_500m,0.0020,0.0235,1.9594,0.0215,0.0119,0.0000,0.0050,168,165,98.21
A2010241,2010-08-29,MYD17A2H,Gpp_500m,0.0085,0.0191,2.0079,0.0106,0.0120,0.0000,0.0020,168,168,100.00
A2010249,2010-09-06,MYD17A2H,Gpp_500m,0.0061,0.0210,1.6337,0.0149,0.0097,0.0000,0.0019,168,168,100.00
A2010257,2010-09-14,MYD17A2H,Gpp_500m,0.0040,0.0085,0.9208,0.0045,0.0055,0.0000,0.0007,168,168,100.00
A2010265,2010-09-22,MYD17A2H,Gpp_500m,0.0002,0.0013,0.0283,0.0011,0.0003,0.0000,0.0002,168,102,60.71
A2010273,2010-09-30,MYD17A2H,Gpp_500m,0.0003,0.0012,0.0099,0.0009,0.0004,0.0000,0.0003,168,23,13.69
A2010281,2010-10-08,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010289,2010-10-16,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010297,2010-10-24,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010305,2010-11-01,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010313,2010-11-09,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010321,2010-11-17,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010329,2010-11-25,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010337,2010-12-03,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010345,2010-12-11,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010353,2010-12-19,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2010361,2010-12-27,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011001,2011-01-01,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011009,2011-01-09,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011017,2011-01-17,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011025,2011-01-25,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011033,2011-02-02,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011041,2011-02-10,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011049,2011-02-18,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011057,2011-02-26,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011065,2011-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,14,8.33
A2011073,2011-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,17,10.12
A2011081,2011-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,11,6.55
A2011089,2011-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,13,7.74
A2011097,2011-04-07,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168,9,5.36
A2011105,2011-04-15,MYD17A2H,Gpp_500m,,,,,,,,168,0,0.00
A2011113,2011-04-23,MYD17A2H,Gpp_500m,0.0001,0.0001,0.0009,0.0000,0.0001,0.0000,0.0000,168,9,5.36
A2011121,2011-05-01,MYD17A2H,Gpp_500m,0.0003,0.0004,0.0064,0.0001,0.0003,0.0000,0.0000,168,21,12.50
A2011129,2011-05-09,MYD17A2H,Gpp_500m,0.0006,0.0011,0.0185,0.0005,0.0006,0.0000,0.0001,168,30,17.86
A2011137,2011-05-17,MYD17A2H,Gpp_500m,0.0153,0.0342,4.1019,0.0189,0.0244,0.0000,0.0039,168,168,100.00
A2011145,2011-05-25,MYD17A2H,Gpp_500m,0.0295,0.0578,6.7806,0.0283,0.0404,0.0000,0.0064,168,168,100.00
A2011153,2011-06-02,MYD17A2H,Gpp_500m,0.0156,0.0392,4.1818,0.0236,0.0249,0.0000,0.0046,168,168,100.00
A2011161,2011-06-10,MYD17A2H,Gpp_500m,0.0031,0.0423,2.9876,0.0392,0.0206,0.0001,0.0091,168,145,86.31
A2011169,2011-06-18,MYD17A2H,Gpp_500m,0.0212,0.0666,7.4268,0.0454,0.0442,0.0001,0.0074,168,168,100.00
A2011177,2011-06-26,MYD17A2H,Gpp_500m,0.0299,0.0595,7.4658,0.0296,0.0444,0.0000,0.0060,168,168,100.00
A2011185,2011-07-04,MYD17A2H,Gpp_500m,0.0037,0.0650,4.3938,0.0613,0.0280,0.0002,0.0128,168,157,93.45
