date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,3,1.78
A2010073,2010-03-14,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,11,6.51
A2010081,2010-03-22,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,5,2.96
A2010089,2010-03-30,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,5,2.96
A2010097,2010-04-07,MYD17A2H,PsnNet_500m,0.0001,0.0001,0.0004,0.0000,0.0001,0.0000,0.0000,169,4,2.37
A2010105,2010-04-15,MYD17A2H,PsnNet_500m,0.0007,0.0007,0.0182,0.0000,0.0007,0.0000,0.0000,169,26,15.38
A2010113,2010-04-23,MYD17A2H,PsnNet_500m,0.0016,0.0095,0.7511,0.0079,0.0045,0.0000,0.0017,169,168,99.41
A2010121,2010-05-01,MYD17A2H,PsnNet_500m,0.0029,0.0064,0.7166,0.0035,0.0042,0.0000,0.0007,169,169,100.00
A2010129,2010-05-09,MYD17A2H,PsnNet_500m,0.0010,0.0087,0.7490,0.0077,0.0044,0.0000,0.0015,169,169,100.00
A2010137,2010-05-17,MYD17A2H,PsnNet_500m,0.0076,0.0199,2.3053,0.0123,0.0136,0.0000,0.0025,169,169,100.00
A2010145,2010-05-25,MYD17A2H,PsnNet_500m,0.0186,0.0379,4.4842,0.0193,0.0265,0.0000,0.0047,169,169,100.00
A2010153,2010-06-02,MYD17A2H,PsnNet_500m,0.0218,0.0444,5.1155,0.0226,0.0303,0.0000,0.0050,169,169,100.00
A2010161,2010-06-10,MYD17A2H,PsnNet_500m,0.0256,0.0542,6.1903,0.0286,0.0366,0.0000,0.0058,169,169,100.00
A2010169,2010-06-18,MYD17A2H,PsnNet_500m,0.0241,0.0518,5.7537,0.0277,0.0340,0.0000,0.0051,169,169,100.00
A2010177,2010-06-26,MYD17A2H,PsnNet_500m,0.0060,0.0515,4.7030,0.0455,0.0289,0.0001,0.0107,169,163,96.45
A2010185,2010-07-04,MYD17A2H,PsnNet_500m,0.0048,0.0583,4.9636,0.0535,0.0322,0.0002,0.0128,169,154,91.12
A2010193,2010-07-12,MYD17A2H,PsnNet_500m,0.0041,0.0479,2.9401,0.0438,0.0228,0.0001,0.0111,169,129,76.33
A2010201,2010-07-20,MYD17A2H,PsnNet_500m,0.0104,0.0410,3.8769,0.0306,0.0229,0.0000,0.0060,169,169,100.00
A2010209,2010-07-28,MYD17A2H,PsnNet_500m,0.0217,0.0496,5.2232,0.0279,0.0309,0.0000,0.0062,169,169,100.00
A2010217,2010-08-05,MYD17A2H,PsnNet_500m,0.0070,0.0303,3.1113,0.0233,0.0184,0.0000,0.0036,169,169,100.00
A2010225,2010-08-13,MYD17A2H,PsnNet_500m,0.0160,0.0381,4.1156,0.0221,0.0244,0.0000,0.0042,169,169,100.00
A2010233,2010-08-21,MYD17A2H,PsnNet_500m,0.0018,0.0213,1.6996,0.0195,0.0103,0.0000,0.0042,169,165,97.63
A2010241,2010-08-29,MYD17A2H,PsnNet_500m,0.0070,0.0168,1.7216,0.0098,0.0102,0.0000,0.0019,169,169,100.00
A2010249,2010-09-06,MYD17A2H,PsnNet_500m,0.0052,0.0177,1.3909,0.0125,0.0082,0.0000,0.0018,169,169,100.00
A2010257,2010-09-14,MYD17A2H,PsnNet_500m,0.0031,0.0074,0.7377,0.0043,0.0044,0.0000,0.0007,169,169,100.00
A2010265,2010-09-22,MYD17A2H,PsnNet_500m,0.0001,0.0011,0.0180,0.0010,0.0002,0.0000,0.0001,169,103,60.95
A2010273,2010-09-30,MYD17A2H,PsnNet_500m,0.0003,0.0009,0.0093,0.0006,0.0004,0.0000,0.0002,169,23,13.61
A2010281,2010-10-08,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010289,2010-10-16,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010297,2010-10-24,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010305,2010-11-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010313,2010-11-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010321,2010-11-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010329,2010-11-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010337,2010-12-03,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010345,2010-12-11,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010353,2010-12-19,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010361,2010-12-27,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011001,2011-01-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011009,2011-01-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011017,2011-01-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
