MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,120,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,41,34.17
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,42,35.00
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,34,28.33
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,120,63,52.50
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0001,0.0033,0.0000,0.0001,0.0000,0.0000,120,33,27.50
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0007,0.0017,0.0342,0.0010,0.0011,0.0000,0.0004,120,30,25.00
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0020,0.0122,0.5660,0.0102,0.0047,0.0000,0.0023,120,120,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0020,0.0084,0.6290,0.0064,0.0052,0.0000,0.0018,120,120,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0012,0.0119,0.5717,0.0107,0.0048,0.0000,0.0024,120,120,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0126,0.0237,2.0679,0.0111,0.0172,0.0000,0.0020,120,120,100.00
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0323,0.0500,4.8751,0.0177,0.0406,0.0000,0.0042,120,120,100.00
