Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,263,158,194,242,176,206,220
2002, Cycle 1,263,135,180,238,157,196,214
2003, Cycle 1,271,138,180,243,158,196,214
2004, Cycle 1,266,135,173,243,152,187,208
2005, Cycle 1,253,120,171,233,148,187,205
2006, Cycle 1,276,133,182,246,159,199,220
2007, Cycle 1,274,125,177,250,152,195,216
2008, Cycle 1,262,128,171,243,147,189,212
2009, Cycle 1,272,127,174,246,148,193,214
2010, Cycle 1,272,119,170,246,143,190,213
2011, Cycle 1,280,130,175,251,148,195,217
2012, Cycle 1,273,122,176,244,153,194,217
2013, Cycle 1,281,137,181,254,158,203,226
2014, Cycle 1,281,113,173,250,141,191,212
2015, Cycle 1,268,120,170,244,142,190,212
2016, Cycle 1,283,114,175,252,144,194,213
2017, Cycle 1,259,120,163,236,141,184,207
2018, Cycle 1,275,132,179,249,153,197,218
2019, Cycle 1,267,128,178,245,149,201,220
2007, Cycle 2,265,126,176,247,148,200,222
2010, Cycle 2,251,125,175,230,151,187,201
2016, Cycle 2,289,124,176,252,148,193,210
2019, Cycle 2,271,125,178,244,149,197,216
