dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.0039,NA
2010-05-01,0.0056,NA
2010-05-09,0.0042,NA
2010-05-17,0.0192,NA
2010-05-25,0.0482,NA
2010-06-02,0.0386,NA
2010-06-10,0.0512,NA
2010-06-18,0.0343,NA
2010-06-26,0.0204,NA
2010-07-04,0.0547,NA
2010-07-12,0.0091,NA
2010-07-20,0.0332,NA
2010-07-28,0.0463,NA
2010-08-05,0.0245,NA
2010-08-13,0.0347,NA
2010-08-21,0.0026,NA
2010-08-29,0.0108,NA
2010-09-06,0.0094,NA
2010-09-14,0.0058,NA
2010-09-22,7e-04,NA
2010-09-30,3e-04,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,NA
2011-03-14,0,NA
2011-03-22,0,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.0352,NA
2011-05-25,0.0521,NA
2011-06-02,0.0273,NA
2011-06-10,0.0292,NA
2011-06-18,0.0481,NA
2011-06-26,0.0444,NA
2011-07-04,0.0488,NA
2011-07-12,NA,NA
2011-07-20,0.028,NA
2011-07-28,0.0546,NA
2011-08-05,0.0131,NA
2011-08-13,0.0204,NA
2011-08-21,0.0264,NA
2011-08-29,0.0159,NA
2011-09-06,0.0113,NA
2011-09-14,0.0103,NA
2011-09-22,NA,NA
2011-09-30,0.0011,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,NA,NA
2012-03-21,0,NA
2012-03-29,0,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,1e-04,NA
2012-05-08,NA,NA
2012-05-16,0.0151,NA
2012-05-24,0.0274,NA
2012-06-01,0.0378,NA
2012-06-09,0.0403,NA
2012-06-17,0.0543,NA
2012-06-25,0.0202,NA
2012-07-03,0.0483,NA
2012-07-11,0.0079,NA
2012-07-19,0.0303,NA
2012-07-27,0.0386,NA
2012-08-04,0.0278,NA
2012-08-12,0.0274,NA
2012-08-20,0.0085,NA
2012-08-28,0.0123,NA
2012-09-05,0.0028,NA
2012-09-13,0.0066,NA
2012-09-21,0.0079,NA
2012-09-29,0.002,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,NA
2013-03-14,0,NA
2013-03-22,0,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.0351,NA
2013-06-02,0.0306,NA
2013-06-10,0.0369,NA
2013-06-18,0.0423,NA
2013-06-26,0.0661,NA
2013-07-04,0.0479,NA
2013-07-12,0.0499,NA
2013-07-20,0.0437,NA
2013-07-28,0.062,NA
2013-08-05,0.0666,NA
2013-08-13,0.0308,NA
2013-08-21,0.0165,NA
2013-08-29,0.0162,NA
2013-09-06,0.0109,NA
2013-09-14,0.0016,NA
2013-09-22,7e-04,NA
2013-09-30,0.0013,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,NA
2014-03-14,0,NA
2014-03-22,0,NA
2014-03-30,0,NA
2014-04-07,NA,NA
2014-04-15,3e-04,NA
2014-04-23,0.001,NA
2014-05-01,0.0072,NA
2014-05-09,0.0186,NA
2014-05-17,0.0088,NA
2014-05-25,0.0078,NA
2014-06-02,0.0404,NA
2014-06-10,0.036,NA
2014-06-18,0.0529,NA
2014-06-26,0.0645,NA
2014-07-04,0.0315,NA
2014-07-12,0.0539,NA
2014-07-20,0.0314,NA
2014-07-28,0.0395,NA
2014-08-05,0.0161,NA
2014-08-13,0.0246,NA
2014-08-21,0.0207,NA
2014-08-29,0.0112,NA
2014-09-06,0.0106,NA
2014-09-14,0.0086,NA
2014-09-22,0.0028,NA
2014-09-30,7e-04,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,NA
2015-03-14,0,NA
2015-03-22,0,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,0.001,NA
2015-05-09,0.0117,NA
2015-05-17,0.0525,NA
2015-05-25,0.0373,NA
2015-06-02,0.0256,NA
2015-06-10,0.0238,NA
2015-06-18,0.0622,NA
2015-06-26,0.049,NA
2015-07-04,0.051,NA
2015-07-12,0.048,NA
2015-07-20,0.0273,NA
2015-07-28,0.0151,NA
2015-08-05,0.0384,NA
2015-08-13,0.0262,NA
2015-08-21,0.0108,NA
2015-08-29,0.0026,NA
2015-09-06,0.009,NA
2015-09-14,NA,NA
2015-09-22,2e-04,NA
2015-09-30,4e-04,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,NA
2016-03-21,3e-04,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,0.0012,NA
2016-04-30,0.003,NA
2016-05-08,0.0294,NA
2016-05-16,0.0199,NA
2016-05-24,0.019,NA
2016-06-01,0.0254,NA
2016-06-09,0.0457,NA
2016-06-17,0.0384,NA
2016-06-25,0.0425,NA
2016-07-03,0.0423,NA
2016-07-11,NA,NA
2016-07-19,0.0372,NA
2016-07-27,0.0519,NA
2016-08-04,0.0189,NA
2016-08-12,0.0337,NA
2016-08-20,0.0111,NA
2016-08-28,0.0138,NA
2016-09-05,0.0093,NA
2016-09-13,0.0043,NA
2016-09-21,0.0071,NA
2016-09-29,5e-04,NA
2016-10-07,NA,NA
2016-10-15,NA,NA
