dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.0011,0.000377
2010-04-23,0.004508,0.002053
2010-05-01,0.005063,0.001793
2010-05-09,0.004616,0.002235
2010-05-17,0.017164,0.002043
2010-05-25,0.040224,0.004442
2010-06-02,0.039293,0.004527
2010-06-10,0.048472,0.00501
2010-06-18,0.042883,0.00684
2010-06-26,0.042554,0.012905
2010-07-04,0.047881,0.016311
2010-07-12,0.026961,0.011954
2010-07-20,0.03356,0.009554
2010-07-28,0.043022,0.005887
2010-08-05,0.022367,0.006122
2010-08-13,0.033267,0.003646
2010-08-21,0.015243,0.00601
2010-08-29,0.012583,0.001804
2010-09-06,0.010317,0.00236
2010-09-14,0.00627,0.001232
2010-09-22,0.000272,0.000135
2010-09-30,0.000449,0.000302
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,1.2e-05,3.2e-05
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000174,6.2e-05
2011-05-01,0.000374,0.000211
2011-05-09,0.000793,0.00045
2011-05-17,0.03005,0.003287
2011-05-25,0.049497,0.003692
2011-06-02,0.028176,0.004354
2011-06-10,0.023937,0.007052
2011-06-18,0.042,0.008553
2011-06-26,0.048779,0.00497
2011-07-04,0.037324,0.018165
2011-07-12,0.008152,0.003592
2011-07-20,0.041253,0.008708
2011-07-28,0.051428,0.00599
2011-08-05,0.017359,0.006871
2011-08-13,0.018423,0.003036
2011-08-21,0.02529,0.004012
2011-08-29,0.016696,0.002703
2011-09-06,0.012347,0.001525
2011-09-14,0.010236,0.001302
2011-09-22,0.000334,4.8e-05
2011-09-30,0.001087,0.00049
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,0.000442,0.000259
2012-04-22,0.000426,0.000208
2012-04-30,0.00017,0.000111
2012-05-08,0.002105,0.000907
2012-05-16,0.015899,0.003773
2012-05-24,0.025161,0.005533
2012-06-01,0.026836,0.009652
2012-06-09,0.03845,0.008142
2012-06-17,0.056448,0.006304
2012-06-25,0.02806,0.012851
2012-07-03,0.051784,0.0078
2012-07-11,0.027383,0.01182
2012-07-19,0.030281,0.007742
2012-07-27,0.039671,0.008711
2012-08-04,0.038676,0.009549
2012-08-12,0.027937,0.005922
2012-08-20,0.016685,0.009092
2012-08-28,0.010633,0.003312
2012-09-05,0.003617,0.001772
2012-09-13,0.005474,0.001534
2012-09-21,0.008699,0.001706
2012-09-29,0.000968,0.000474
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,2e-05,4.5e-05
2013-05-09,0.000754,0.000313
2013-05-17,0.002742,0.001355
2013-05-25,0.028578,0.004121
2013-06-02,0.023122,0.004768
2013-06-10,0.034845,0.006166
2013-06-18,0.045322,0.008775
2013-06-26,0.06276,0.008049
2013-07-04,0.042887,0.005777
2013-07-12,0.051568,0.007357
2013-07-20,0.040602,0.011916
2013-07-28,0.061455,0.006985
2013-08-05,0.055466,0.007297
2013-08-13,0.021804,0.010671
2013-08-21,0.014557,0.002132
2013-08-29,0.014385,0.002217
2013-09-06,0.011007,0.002403
2013-09-14,0.001397,0.000757
2013-09-22,0.000727,0.000106
2013-09-30,0.00065,0.000444
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000156,0.000106
2014-04-15,0.00035,0.000126
2014-04-23,0.00115,5e-04
2014-05-01,0.009191,0.003999
2014-05-09,0.018807,0.002313
2014-05-17,0.007966,0.001973
2014-05-25,0.021562,0.007148
2014-06-02,0.035384,0.005198
2014-06-10,0.03139,0.009874
2014-06-18,0.05108,0.005401
2014-06-26,0.047045,0.007388
2014-07-04,0.038798,0.012922
2014-07-12,0.048519,0.010505
2014-07-20,0.022996,0.007566
2014-07-28,0.019887,0.009539
2014-08-05,0.010423,0.005944
2014-08-13,0.027421,0.004213
2014-08-21,0.026122,0.005409
2014-08-29,0.010171,0.001441
2014-09-06,0.009684,0.001219
2014-09-14,0.008816,0.001431
2014-09-22,0.002974,0.000917
2014-09-30,0.000622,0.000226
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,8e-06,2.8e-05
2015-03-30,0,0
2015-04-07,0.000273,0.000174
2015-04-15,0.000702,0.000202
2015-04-23,0.000916,0.000322
2015-05-01,0.001367,0.000655
2015-05-09,0.013323,0.004901
2015-05-17,0.044186,0.006584
2015-05-25,0.038833,0.004828
2015-06-02,0.023745,0.00678
2015-06-10,0.027351,0.0092
2015-06-18,0.05726,0.007815
2015-06-26,0.041272,0.010941
2015-07-04,0.05238,0.00574
2015-07-12,0.04088,0.009125
2015-07-20,0.033909,0.009113
2015-07-28,0.023285,0.00906
2015-08-05,0.035476,0.003014
2015-08-13,0.02323,0.00618
2015-08-21,0.012416,0.00395
2015-08-29,0.003387,0.001874
2015-09-06,0.011388,0.001963
2015-09-14,0.00076,0.000226
2015-09-22,0.000285,0.000184
2015-09-30,0.000369,0.000112
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00024,0.000208
2016-03-29,0,0
2016-04-06,1.7e-05,3.8e-05
2016-04-14,5e-06,2.3e-05
2016-04-22,0.001332,0.000796
2016-04-30,0.003877,0.002717
2016-05-08,0.02402,0.00353
