MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,116,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,116,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,116,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,116,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,116,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,116,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,116,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,116,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,116,42,36.21
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,116,46,39.66
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,116,38,32.76
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,116,61,52.59
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0001,0.0031,0.0000,0.0001,0.0000,0.0000,116,31,26.72
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0007,0.0017,0.0308,0.0010,0.0011,0.0000,0.0004,116,28,24.14
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0020,0.0122,0.5229,0.0102,0.0045,0.0000,0.0020,116,116,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0020,0.0084,0.5873,0.0064,0.0051,0.0000,0.0018,116,116,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0012,0.0119,0.5354,0.0107,0.0046,0.0000,0.0022,116,116,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0126,0.0237,1.9910,0.0111,0.0172,0.0000,0.0020,116,116,100.00
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0283,0.0500,4.6660,0.0217,0.0402,0.0000,0.0044,116,116,100.00
A2010153,2010-06-02,MYD17A2H,Gpp_500m,0.0306,0.0510,4.5580,0.0204,0.0393,0.0000,0.0045,116,116,100.00
A2010161,2010-06-10,MYD17A2H,Gpp_500m,0.0405,0.0632,5.6228,0.0227,0.0485,0.0000,0.0050,116,116,100.00
A2010169,2010-06-18,MYD17A2H,Gpp_500m,0.0210,0.0697,4.9315,0.0487,0.0429,0.0000,0.0068,116,115,99.14
A2010177,2010-06-26,MYD17A2H,Gpp_500m,0.0096,0.0646,4.9363,0.0550,0.0426,0.0002,0.0128,116,116,100.00
A2010185,2010-07-04,MYD17A2H,Gpp_500m,0.0058,0.0782,5.3148,0.0724,0.0479,0.0003,0.0162,116,111,95.69
A2010193,2010-07-12,MYD17A2H,Gpp_500m,0.0078,0.0514,2.3726,0.0436,0.0270,0.0001,0.0119,116,88,75.86
A2010201,2010-07-20,MYD17A2H,Gpp_500m,0.0037,0.0474,3.7252,0.0437,0.0336,0.0001,0.0095,116,111,95.69
