dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.001033,0.000461
2010-04-23,0.004361,0.00209
2010-05-01,0.004681,0.001585
2010-05-09,0.004316,0.002154
2010-05-17,0.015882,0.001862
2010-05-25,0.036798,0.003602
2010-06-02,0.036639,0.003901
2010-06-10,0.04446,0.004331
2010-06-18,0.040186,0.00605
2010-06-26,0.037732,0.011633
2010-07-04,0.044085,0.014279
2010-07-12,0.024377,0.010627
2010-07-20,0.029461,0.007824
2010-07-28,0.037887,0.004718
2010-08-05,0.019833,0.004846
2010-08-13,0.029628,0.003248
2010-08-21,0.014005,0.005338
2010-08-29,0.011422,0.001573
2010-09-06,0.009494,0.002057
2010-09-14,0.005433,0.001037
2010-09-22,0.000216,6.4e-05
2010-09-30,0.00042,0.000242
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,-1e-06,1.2e-05
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000171,6.2e-05
2011-05-01,0.000385,0.000233
2011-05-09,0.000719,0.000474
2011-05-17,0.028035,0.003036
2011-05-25,0.045375,0.003257
2011-06-02,0.026283,0.003938
2011-06-10,0.022337,0.006294
2011-06-18,0.037764,0.007241
2011-06-26,0.044446,0.004426
2011-07-04,0.034815,0.015936
2011-07-12,0.00751,0.003394
2011-07-20,0.036115,0.007482
2011-07-28,0.045694,0.004444
2011-08-05,0.015343,0.005781
2011-08-13,0.017028,0.002596
2011-08-21,0.022889,0.003324
2011-08-29,0.015114,0.002451
2011-09-06,0.011241,0.001332
2011-09-14,0.009122,0.001165
2011-09-22,3e-04,0
2011-09-30,0.000897,0.000404
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,2.5e-05,4.4e-05
2012-04-14,0.000425,0.000278
2012-04-22,0.000405,0.000164
2012-04-30,0.000168,0.000104
2012-05-08,0.001985,0.000898
2012-05-16,0.014943,0.003221
2012-05-24,0.023253,0.004932
2012-06-01,0.025469,0.008696
2012-06-09,0.034367,0.007782
2012-06-17,0.049843,0.005111
2012-06-25,0.024526,0.011261
2012-07-03,0.046251,0.00708
2012-07-11,0.024868,0.010243
2012-07-19,0.02683,0.007402
2012-07-27,0.034452,0.007614
2012-08-04,0.034226,0.008654
2012-08-12,0.025043,0.005678
2012-08-20,0.015643,0.008236
2012-08-28,0.009442,0.003045
2012-09-05,0.003372,0.001606
2012-09-13,0.004904,0.001434
2012-09-21,0.007518,0.001634
2012-09-29,0.000717,0.000435
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,3e-06,1.8e-05
2013-05-01,1.7e-05,4.1e-05
2013-05-09,0.000782,0.000288
2013-05-17,0.002749,0.001402
2013-05-25,0.026007,0.004474
2013-06-02,0.020924,0.004645
2013-06-10,0.031593,0.006241
2013-06-18,0.040369,0.008309
2013-06-26,0.054715,0.007235
2013-07-04,0.037887,0.005635
2013-07-12,0.045218,0.006712
2013-07-20,0.036743,0.010484
2013-07-28,0.053106,0.006582
2013-08-05,0.047608,0.006342
2013-08-13,0.018242,0.008903
2013-08-21,0.013181,0.00177
2013-08-29,0.012793,0.002048
2013-09-06,0.009672,0.002071
2013-09-14,0.001253,0.000748
2013-09-22,0.000432,0.00016
2013-09-30,0.000452,0.000409
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000157,0.000101
2014-04-15,0.000251,0.000143
2014-04-23,0.00101,0.000522
2014-05-01,0.00844,0.003768
2014-05-09,0.017133,0.002481
2014-05-17,0.006992,0.001848
2014-05-25,0.019535,0.006373
2014-06-02,0.032317,0.00517
2014-06-10,0.029302,0.00898
2014-06-18,0.046343,0.00542
2014-06-26,0.042468,0.006782
2014-07-04,0.034518,0.010573
2014-07-12,0.043442,0.010025
2014-07-20,0.020753,0.006579
2014-07-28,0.017997,0.008467
2014-08-05,0.009545,0.005327
2014-08-13,0.024329,0.003624
2014-08-21,0.024044,0.00461
2014-08-29,0.009124,0.001319
2014-09-06,0.008472,0.001185
2014-09-14,0.007558,0.001325
2014-09-22,0.00252,0.000736
2014-09-30,0.000483,0.000214
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000238,9.6e-05
2015-04-15,0.000702,0.000232
2015-04-23,0.000895,0.00034
2015-05-01,0.001364,0.000623
2015-05-09,0.012707,0.004709
2015-05-17,0.039992,0.006327
2015-05-25,0.034998,0.004933
2015-06-02,0.02137,0.006236
2015-06-10,0.024772,0.007947
2015-06-18,0.050403,0.007336
2015-06-26,0.036327,0.008404
2015-07-04,0.047009,0.004942
2015-07-12,0.035933,0.007784
2015-07-20,0.03055,0.007669
2015-07-28,0.021127,0.00771
2015-08-05,0.031115,0.00262
2015-08-13,0.021519,0.005516
2015-08-21,0.01123,0.003327
2015-08-29,0.003147,0.001643
2015-09-06,0.010207,0.00178
2015-09-14,0.000694,0.000146
2015-09-22,0.00021,0.000113
2015-09-30,0.000264,7.9e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000176,0.000143
2016-03-29,0,0
2016-04-06,1.4e-05,3.5e-05
2016-04-14,0,0
2016-04-22,0.001235,0.000743
2016-04-30,0.003832,0.002741
2016-05-08,0.02197,0.003589
