Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,264,157,193,243,174,206,221
2002, Cycle 1,266,138,182,237,159,196,213
2003, Cycle 1,270,132,179,242,156,195,214
2004, Cycle 1,266,125,173,244,151,186,208
2005, Cycle 1,258,119,174,235,149,191,209
2006, Cycle 1,290,130,184,254,160,201,224
2007, Cycle 1,277,113,179,252,151,195,215
2008, Cycle 1,265,125,173,243,148,192,212
2009, Cycle 1,267,116,173,242,145,191,211
2010, Cycle 1,274,108,170,247,139,191,213
2011, Cycle 1,277,129,176,251,150,194,216
2012, Cycle 1,255,108,171,231,148,186,206
2013, Cycle 1,286,137,186,253,160,206,226
2014, Cycle 1,277,114,172,249,142,191,213
2015, Cycle 1,269,119,171,243,146,188,209
2016, Cycle 1,284,119,178,250,149,195,213
2017, Cycle 1,248,113,167,228,142,185,204
2018, Cycle 1,272,130,179,248,155,198,219
2019, Cycle 1,267,131,180,242,153,198,217
2003, Cycle 2,253,151,191,235,172,203,216
2004, Cycle 2,288,214,229,271,219,237,250
2009, Cycle 2,311,109,176,258,154,189,217
2010, Cycle 2,288,127,171,249,149,186,206
2013, Cycle 2,054,301,349,039,322,365,016
2014, Cycle 2,263,122,174,241,149,197,216
