dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.001014,0.000302
2010-04-23,0.006925,0.001834
2010-05-01,0.0063,0.001238
2010-05-09,0.007838,0.001872
2010-05-17,0.017988,0.000706
2010-05-25,0.040862,0.002464
2010-06-02,0.040612,0.003036
2010-06-10,0.050512,0.002968
2010-06-18,0.048288,0.01084
2010-06-26,0.024112,0.011569
2010-07-04,0.0669,NA
2010-07-12,0.016525,0.011902
2010-07-20,0.030538,0.004007
2010-07-28,0.0491,0.002873
2010-08-05,0.0151,0.004819
2010-08-13,0.0352,0.002046
2010-08-21,0.016462,0.002131
2010-08-29,0.012662,0.002553
2010-09-06,0.008575,0.00198
2010-09-14,0.006125,0.000495
2010-09-22,0.000375,8.9e-05
2010-09-30,0.000929,0.000287
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,2e-04,0
2011-05-01,0.000443,0.000244
2011-05-09,0.000912,0.000356
2011-05-17,0.031075,0.001439
2011-05-25,0.048,0.004731
2011-06-02,0.03035,0.001965
2011-06-10,0.027862,0.005117
2011-06-18,0.059387,0.008854
2011-06-26,0.049,0.003718
2011-07-04,0.038538,0.005679
2011-07-12,0.0108,0.006151
2011-07-20,0.047212,0.007978
2011-07-28,0.052788,0.003052
2011-08-05,0.015488,0.004158
2011-08-13,0.022475,0.005365
2011-08-21,0.029125,0.001959
2011-08-29,0.0179,0.001308
2011-09-06,0.012388,0.000913
2011-09-14,0.010788,0.001412
2011-09-22,3e-04,0
2011-09-30,0.001688,0.00111
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,2e-04,0
2012-04-22,3e-04,0
2012-04-30,0.000186,0.000107
2012-05-08,0.001938,0.000652
2012-05-16,0.0141,0.004751
2012-05-24,0.027375,0.001216
2012-06-01,0.036238,0.002049
2012-06-09,0.048638,0.003348
2012-06-17,0.06055,0.007002
2012-06-25,0.033729,0.01583
2012-07-03,0.063538,0.008015
2012-07-11,0.041362,0.000686
2012-07-19,0.036225,0.001429
2012-07-27,0.048488,0.002244
2012-08-04,0.046025,0.003478
2012-08-12,0.034975,0.007312
2012-08-20,0.021883,0.007096
2012-08-28,0.0127,0.003582
2012-09-05,0.004625,0.001808
2012-09-13,0.006525,0.000686
2012-09-21,0.008612,0.001137
2012-09-29,0.001071,0.000189
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,NA,NA
2013-05-09,6e-04,0
2013-05-17,0.003438,0.000765
2013-05-25,0.027638,0.00137
2013-06-02,0.020462,0.001333
2013-06-10,0.03765,0.001932
2013-06-18,0.0469,0.008786
2013-06-26,0.067288,0.002316
2013-07-04,0.046775,0.002734
2013-07-12,0.045625,0.006741
2013-07-20,0.041788,0.003382
2013-07-28,0.0654,0.0032
2013-08-05,0.056875,0.004126
2013-08-13,0.019062,0.00808
2013-08-21,0.013988,0.00097
2013-08-29,0.0142,0.000342
2013-09-06,0.011438,0.00212
2013-09-14,0.000986,0.000227
2013-09-22,0.00085,0.000207
2013-09-30,4e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.00015,9.3e-05
2014-04-15,0.000325,4.6e-05
2014-04-23,0.001413,0.000203
2014-05-01,0.01065,0.002805
2014-05-09,0.019075,0.001709
2014-05-17,0.006625,0.002449
2014-05-25,0.022688,0.000323
2014-06-02,0.037462,0.001285
2014-06-10,0.037075,0.002244
2014-06-18,0.051988,0.003509
2014-06-26,0.058962,0.006724
2014-07-04,0.032312,0.009847
2014-07-12,0.051462,0.002339
2014-07-20,0.024825,0.006167
2014-07-28,0.031537,0.007088
2014-08-05,0.02,0.004535
2014-08-13,0.028125,0.000713
2014-08-21,0.028262,0.00407
2014-08-29,0.009962,0.000803
2014-09-06,0.009825,0.000755
2014-09-14,0.00885,0.001011
2014-09-22,0.003488,0.000751
2014-09-30,6e-04,0.000141
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,1.7e-05,4.1e-05
2015-03-30,0,0
2015-04-07,0.00014,5.5e-05
2015-04-15,6e-04,0
2015-04-23,0.001057,0.000321
2015-05-01,0.001,0
2015-05-09,0.0192,0.006287
2015-05-17,0.045875,0.002532
2015-05-25,0.0352,0.002826
2015-06-02,0.0273,0.002355
2015-06-10,0.011414,0.008253
2015-06-18,0.060012,0.005065
2015-06-26,0.03305,0.021265
2015-07-04,0.059325,0.003571
2015-07-12,0.045612,0.001106
2015-07-20,0.035662,0.002278
2015-07-28,0.0315,0.005663
2015-08-05,0.0376,0.002486
2015-08-13,0.027788,0.003198
2015-08-21,0.017825,0.000774
2015-08-29,0.003975,0.001082
2015-09-06,0.011662,0.001151
2015-09-14,0.000712,0.000223
2015-09-22,0.000475,0.000175
2015-09-30,4e-04,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000343,5.3e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001412,0.000318
2016-04-30,0.003912,0.001296
2016-05-08,0.025512,0.003368
2016-05-16,0.01625,0.000802
2016-05-24,0.019,0.00111
