dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,NA
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,9e-04,0
2010-04-23,0.006267,0.00207
2010-05-01,0.006844,0.000677
2010-05-09,0.006922,0.002859
2010-05-17,0.018819,0.001772
2010-05-25,0.041363,0.002364
2010-06-02,0.042637,0.0043
2010-06-10,0.051311,0.002736
2010-06-18,0.033926,0.015033
2010-06-26,0.034816,0.01066
2010-07-04,0.049,0.017265
2010-07-12,0.037178,0.013834
2010-07-20,0.035152,0.006888
2010-07-28,0.048841,0.003575
2010-08-05,0.017768,0.007406
2010-08-13,0.034381,0.002197
2010-08-21,0.01647,0.003094
2010-08-29,0.013585,0.001935
2010-09-06,0.009426,0.001317
2010-09-14,0.006274,7e-04
2010-09-22,0.000374,0.000123
2010-09-30,0.00095,0.000279
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,2e-04,0
2011-05-01,0.000314,6.5e-05
2011-05-09,0.000933,0.000316
2011-05-17,0.032985,0.001886
2011-05-25,0.046267,0.0057
2011-06-02,0.030841,0.001998
2011-06-10,0.026192,0.009678
2011-06-18,0.053719,0.010932
2011-06-26,0.048422,0.003685
2011-07-04,0.038384,0.011506
2011-07-12,0.009025,0.005914
2011-07-20,0.048189,0.006723
2011-07-28,0.051252,0.004555
2011-08-05,0.019512,0.007668
2011-08-13,0.022426,0.003751
2011-08-21,0.028448,0.002309
2011-08-29,0.01807,0.001747
2011-09-06,0.012996,0.001176
2011-09-14,0.011289,0.000999
2011-09-22,0.000326,0.000116
2011-09-30,0.00153,0.00083
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,2e-04,0
2012-04-22,3e-04,0
2012-04-30,0.000177,0.000101
2012-05-08,0.001791,0.000459
2012-05-16,0.018256,0.002177
2012-05-24,0.028674,0.002431
2012-06-01,0.0357,0.005594
2012-06-09,0.047719,0.005477
2012-06-17,0.062456,0.00547
2012-06-25,0.047505,0.010455
2012-07-03,0.056611,0.004379
2012-07-11,0.040576,0.003161
2012-07-19,0.036744,0.001836
2012-07-27,0.0467,0.002718
2012-08-04,0.045907,0.002174
2012-08-12,0.0284,0.007148
2012-08-20,0.019065,0.006784
2012-08-28,0.011963,0.002838
2012-09-05,0.003413,0.001749
2012-09-13,0.007211,0.000669
2012-09-21,0.00947,0.001067
2012-09-29,0.001095,0.000213
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,0
2013-05-01,5e-05,5.5e-05
2013-05-09,6e-04,0
2013-05-17,0.004435,0.00218
2013-05-25,0.030419,0.003483
2013-06-02,0.02307,0.001329
2013-06-10,0.038159,0.002091
2013-06-18,0.049163,0.005424
2013-06-26,0.068011,0.002617
2013-07-04,0.043544,0.005255
2013-07-12,0.0539,0.006511
2013-07-20,0.042352,0.005786
2013-07-28,0.063033,0.004381
2013-08-05,0.059511,0.004654
2013-08-13,0.02665,0.011807
2013-08-21,0.014452,0.000825
2013-08-29,0.014381,0.000645
2013-09-06,0.012567,0.001414
2013-09-14,0.001114,0.000768
2013-09-22,0.000748,0.000133
2013-09-30,0.000388,5e-05
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000122,6.7e-05
2014-04-15,0.000305,2.3e-05
2014-04-23,0.001115,0.000292
2014-05-01,0.010889,0.002762
2014-05-09,0.021359,0.001309
2014-05-17,0.008067,0.002104
2014-05-25,0.02315,0.001816
2014-06-02,0.0392,0.001722
2014-06-10,0.04157,0.004322
2014-06-18,0.055915,0.00584
2014-06-26,0.052967,0.010349
2014-07-04,0.0431,0.008489
2014-07-12,0.048074,0.007987
2014-07-20,0.030556,0.007498
2014-07-28,0.025541,0.008957
2014-08-05,0.01452,0.007803
2014-08-13,0.029419,0.00185
2014-08-21,0.0307,0.004318
2014-08-29,0.010207,0.000966
2014-09-06,0.010507,0.00055
2014-09-14,0.009641,0.000872
2014-09-22,0.003241,0.000427
2014-09-30,0.000686,0.000183
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,4.3e-05,7.9e-05
2015-03-30,0,0
2015-04-07,0.00015,7.1e-05
2015-04-15,6e-04,0
2015-04-23,0.00085,0.000278
2015-05-01,0.001264,0.000443
2015-05-09,0.018989,0.003702
2015-05-17,0.047926,0.003438
2015-05-25,0.036837,0.002023
2015-06-02,0.024978,0.003613
2015-06-10,0.016312,0.007637
2015-06-18,0.058978,0.002958
2015-06-26,0.045586,0.012448
2015-07-04,0.057059,0.00425
2015-07-12,0.044844,0.003708
2015-07-20,0.036681,0.007075
2015-07-28,0.030756,0.005352
2015-08-05,0.037181,0.001723
2015-08-13,0.024526,0.004128
2015-08-21,0.017904,0.00243
2015-08-29,0.003456,0.000961
2015-09-06,0.013011,0.00135
2015-09-14,7e-04,0.000198
2015-09-22,0.000415,0.000143
2015-09-30,0.000385,0.000112
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000193,0.000122
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.00123,0.000273
2016-04-30,0.0039,0.001191
2016-05-08,0.029615,0.004692
2016-05-16,0.016859,0.002579
2016-05-24,0.020574,0.00268
