dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,0.000109,4.2e-05
2010-04-15,0.000835,9.5e-05
2010-04-23,0.004979,0.001898
2010-05-01,0.006042,0.001216
2010-05-09,0.007369,0.002594
2010-05-17,0.01773,0.002045
2010-05-25,0.039115,0.002464
2010-06-02,0.037877,0.003252
2010-06-10,0.046397,0.00418
2010-06-18,0.042628,0.009026
2010-06-26,0.039572,0.01115
2010-07-04,0.052319,0.015234
2010-07-12,0.026224,0.014216
2010-07-20,0.033589,0.008575
2010-07-28,0.041642,0.005725
2010-08-05,0.023004,0.0048
2010-08-13,0.031802,0.003408
2010-08-21,0.011272,0.005244
2010-08-29,0.01274,0.001719
2010-09-06,0.010545,0.002652
2010-09-14,0.00655,0.000995
2010-09-22,0.000302,0.000222
2010-09-30,0.000471,0.000322
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000188,3.3e-05
2011-05-01,0.00032,4e-05
2011-05-09,0.000764,0.000267
2011-05-17,0.031603,0.002535
2011-05-25,0.047752,0.003244
2011-06-02,0.029425,0.003417
2011-06-10,0.021509,0.009016
2011-06-18,0.044891,0.009675
2011-06-26,0.044496,0.004978
2011-07-04,0.039914,0.016019
2011-07-12,0.008778,0.00291
2011-07-20,0.040929,0.01104
2011-07-28,0.049942,0.004832
2011-08-05,0.018778,0.008925
2011-08-13,0.01873,0.003319
2011-08-21,0.024167,0.004653
2011-08-29,0.017032,0.002293
2011-09-06,0.012827,0.001366
2011-09-14,0.010564,0.001294
2011-09-22,0.000387,0.000118
2011-09-30,0.001424,0.000674
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,0.000305,0.000136
2012-04-22,3e-04,0
2012-04-30,0.000137,7.9e-05
2012-05-08,0.00192,0.000661
2012-05-16,0.018173,0.002008
2012-05-24,0.026118,0.00287
2012-06-01,0.030382,0.007888
2012-06-09,0.038396,0.00995
2012-06-17,0.054798,0.005991
2012-06-25,0.028222,0.016533
2012-07-03,0.040398,0.018824
2012-07-11,0.021099,0.01359
2012-07-19,0.025118,0.012635
2012-07-27,0.033065,0.016107
2012-08-04,0.03276,0.015
2012-08-12,0.020829,0.010581
2012-08-20,0.018858,0.010239
2012-08-28,0.008035,0.004304
2012-09-05,0.003093,0.002046
2012-09-13,0.005092,0.002388
2012-09-21,0.006773,0.003369
2012-09-29,0.000777,0.000343
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,NA
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,6e-04,0
2013-05-17,0.00267,0.001565
2013-05-25,0.022483,0.011874
2013-06-02,0.017119,0.008464
2013-06-10,0.026708,0.012776
2013-06-18,0.040889,0.01847
2013-06-26,0.052023,0.021184
2013-07-04,0.032596,0.014202
2013-07-12,0.041645,0.017024
2013-07-20,0.035308,0.015837
2013-07-28,0.050538,0.018094
2013-08-05,0.044324,0.015722
2013-08-13,0.015315,0.010587
2013-08-21,0.01157,0.004487
2013-08-29,0.011699,0.004627
2013-09-06,0.008855,0.004071
2013-09-14,0.001964,0.001509
2013-09-22,0.000714,9e-05
2013-09-30,0.000606,0.00045
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,3e-04,0
2014-04-23,0.001034,0.000204
2014-05-01,0.009052,0.005318
2014-05-09,0.014851,0.006956
2014-05-17,0.005593,0.002922
2014-05-25,0.019273,0.009654
2014-06-02,0.028008,0.011471
2014-06-10,0.028048,0.011301
2014-06-18,0.044044,0.014252
2014-06-26,0.038206,0.013737
2014-07-04,0.041495,0.013099
2014-07-12,0.040392,0.013067
2014-07-20,0.021587,0.008382
2014-07-28,0.022594,0.008871
2014-08-05,0.00988,0.005617
2014-08-13,0.026716,0.008131
2014-08-21,0.022961,0.007314
2014-08-29,0.008697,0.002455
2014-09-06,0.008073,0.002819
2014-09-14,0.007276,0.002913
2014-09-22,0.002413,0.001179
2014-09-30,0.000614,0.00019
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,NA,NA
2015-04-15,6e-04,0
2015-04-23,5e-04,NA
2015-05-01,0.001144,0.000347
2015-05-09,0.014014,0.006459
2015-05-17,0.037555,0.013272
2015-05-25,0.029945,0.010133
2015-06-02,0.020361,0.006814
2015-06-10,0.016834,0.008908
2015-06-18,0.048636,0.01165
2015-06-26,0.037655,0.012335
2015-07-04,0.048006,0.011158
2015-07-12,0.029506,0.013982
2015-07-20,0.030312,0.011303
2015-07-28,0.023001,0.007675
2015-08-05,0.032117,0.00581
2015-08-13,0.022163,0.005607
2015-08-21,0.0146,0.003884
2015-08-29,0.00385,0.002068
2015-09-06,0.0104,0.002922
2015-09-14,0.000768,0.000381
2015-09-22,0.000245,7.9e-05
2015-09-30,0.000295,9.5e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000112,5.9e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001301,0.000585
2016-04-30,0.004647,0.002953
2016-05-08,0.021973,0.007368
2016-05-16,0.014327,0.004363
2016-05-24,0.016284,0.005615
2016-06-01,0.021227,0.005439
