dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000843,0.000378
2010-04-23,0.00635,0.00164
2010-05-01,0.005612,0.001067
2010-05-09,0.007012,0.001734
2010-05-17,0.016538,0.000573
2010-05-25,0.037013,0.002141
2010-06-02,0.037625,0.002743
2010-06-10,0.046062,0.002535
2010-06-18,0.04405,0.009456
2010-06-26,0.022125,0.010352
2010-07-04,0.0587,NA
2010-07-12,0.015188,0.010488
2010-07-20,0.02705,0.003494
2010-07-28,0.0426,0.002256
2010-08-05,0.01365,0.004243
2010-08-13,0.031125,0.001795
2010-08-21,0.015012,0.001806
2010-08-29,0.011325,0.002198
2010-09-06,0.007825,0.001611
2010-09-14,0.00525,0.000351
2010-09-22,0.000262,5.2e-05
2010-09-30,0.000814,0.000227
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,2e-04,0
2011-05-01,0.000386,0.000146
2011-05-09,0.000762,0.000297
2011-05-17,0.0287,0.001316
2011-05-25,0.0439,0.004194
2011-06-02,0.027862,0.00171
2011-06-10,0.025388,0.00439
2011-06-18,0.052125,0.006921
2011-06-26,0.044425,0.003289
2011-07-04,0.03515,0.004901
2011-07-12,0.00955,0.005431
2011-07-20,0.04105,0.006427
2011-07-28,0.046325,0.002395
2011-08-05,0.013688,0.003557
2011-08-13,0.020088,0.004555
2011-08-21,0.026262,0.001703
2011-08-29,0.016213,0.001008
2011-09-06,0.011125,0.000836
2011-09-14,0.009425,0.001178
2011-09-22,3e-04,0
2011-09-30,0.0014,0.000771
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,0.000283,4.1e-05
2012-04-30,0.000186,0.000107
2012-05-08,0.001812,0.000631
2012-05-16,0.013038,0.004327
2012-05-24,0.025138,0.001099
2012-06-01,0.0331,0.001672
2012-06-09,0.044038,0.002727
2012-06-17,0.052862,0.005488
2012-06-25,0.030029,0.013929
2012-07-03,0.056025,0.006485
2012-07-11,0.037087,0.000589
2012-07-19,0.032038,0.001261
2012-07-27,0.041388,0.001734
2012-08-04,0.040775,0.002755
2012-08-12,0.031013,0.006605
2012-08-20,0.01995,0.006358
2012-08-28,0.0113,0.002916
2012-09-05,0.0041,0.00154
2012-09-13,0.005725,0.000648
2012-09-21,0.007462,0.001042
2012-09-29,0.000914,0.000157
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,NA,NA
2013-05-09,6e-04,0
2013-05-17,0.0032,0.000719
2013-05-25,0.02555,0.001276
2013-06-02,0.018975,0.001307
2013-06-10,0.034363,0.001702
2013-06-18,0.042062,0.007399
2013-06-26,0.058325,0.001836
2013-07-04,0.041375,0.002224
2013-07-12,0.040262,0.00558
2013-07-20,0.0371,0.002965
2013-07-28,0.056375,0.002359
2013-08-05,0.048475,0.003022
2013-08-13,0.016587,0.006578
2013-08-21,0.012625,0.000752
2013-08-29,0.01255,0.000382
2013-09-06,0.009962,0.001744
2013-09-14,0.000843,0.000113
2013-09-22,0.00065,0.000346
2013-09-30,2e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000125,4.6e-05
2014-04-15,0.000188,0.000136
2014-04-23,0.001275,0.00026
2014-05-01,0.00965,0.002572
2014-05-09,0.017438,0.001523
2014-05-17,0.005975,0.002147
2014-05-25,0.020812,0.00027
2014-06-02,0.034262,0.001028
2014-06-10,0.033475,0.002009
2014-06-18,0.047138,0.002985
2014-06-26,0.052338,0.005525
2014-07-04,0.029187,0.008529
2014-07-12,0.04665,0.0021
2014-07-20,0.022262,0.005162
2014-07-28,0.027513,0.005686
2014-08-05,0.017412,0.003636
2014-08-13,0.024262,0.000555
2014-08-21,0.02585,0.003626
2014-08-29,0.008862,0.000774
2014-09-06,0.008662,0.000678
2014-09-14,0.007562,0.000763
2014-09-22,0.002838,0.000501
2014-09-30,0.00045,7.1e-05
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00014,5.5e-05
2015-04-15,6e-04,0
2015-04-23,0.000929,0.000298
2015-05-01,0.000925,4.6e-05
2015-05-09,0.0177,0.005673
2015-05-17,0.04125,0.002116
2015-05-25,0.032087,0.002494
2015-06-02,0.024712,0.002103
2015-06-10,0.010486,0.007154
2015-06-18,0.053112,0.004076
2015-06-26,0.0289,0.018082
2015-07-04,0.052375,0.002796
2015-07-12,0.04,0.000878
2015-07-20,0.031962,0.001843
2015-07-28,0.0275,0.00468
2015-08-05,0.03285,0.001952
2015-08-13,0.024762,0.002583
2015-08-21,0.015637,0.000597
2015-08-29,0.00365,0.00091
2015-09-06,0.0104,0.00088
2015-09-14,0.000688,0.000164
2015-09-22,0.000288,3.5e-05
2015-09-30,0.000312,3.5e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000271,7.6e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.00125,0.000355
2016-04-30,0.003613,0.001157
2016-05-08,0.023362,0.002814
2016-05-16,0.014638,0.000737
2016-05-24,0.01745,0.001036
