dates,open_shrublands_mean,open_shrublands_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,NA
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,7e-04,NA
2010-04-23,0.0053,0.001273
2010-05-01,0.0049,0.001273
2010-05-09,0.00565,0.003889
2010-05-17,0.01685,0.000636
2010-05-25,0.03495,0.002616
2010-06-02,0.0326,0.004101
2010-06-10,0.0412,0.004384
2010-06-18,0.03695,0.010394
2010-06-26,0.0335,0.007071
2010-07-04,0.0472,0.002828
2010-07-12,0.02015,0.005445
2010-07-20,0.0329,0.00396
2010-07-28,0.04305,0.002333
2010-08-05,0.0124,0.010182
2010-08-13,0.02765,0.001909
2010-08-21,0.00975,0.004031
2010-08-29,0.01095,0.000778
2010-09-06,0.0105,0.001838
2010-09-14,0.0047,0.000566
2010-09-22,2e-04,0
2010-09-30,3e-04,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,NA
2011-03-22,0,NA
2011-03-30,0,NA
2011-04-07,0,NA
2011-04-15,NA,NA
2011-04-23,0.00015,7.1e-05
2011-05-01,3e-04,0
2011-05-09,5e-04,0
2011-05-17,0.029,0.001273
2011-05-25,0.0437,0.001838
2011-06-02,0.0268,0.003253
2011-06-10,0.0148,0.009051
2011-06-18,0.0423,0.010041
2011-06-26,0.0374,0.005233
2011-07-04,0.01985,0.008839
2011-07-12,NA,NA
2011-07-20,0.03815,0.001344
2011-07-28,0.0421,0.001414
2011-08-05,0.01335,0.015486
2011-08-13,0.0158,0.001414
2011-08-21,0.0227,0.00396
2011-08-29,0.01375,0.001061
2011-09-06,0.0115,0.001414
2011-09-14,0.01115,0.002616
2011-09-22,3e-04,0
2011-09-30,0.001,0.000141
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,0,NA
2012-03-21,0,NA
2012-03-29,0,NA
2012-04-06,0,NA
2012-04-14,2e-04,NA
2012-04-22,3e-04,NA
2012-04-30,1e-04,NA
2012-05-08,0.0014,0
2012-05-16,0.0172,0.000849
2012-05-24,0.0241,0.001131
2012-06-01,0.03195,0.000212
2012-06-09,0.0328,0.000424
2012-06-17,0.04275,0.003041
2012-06-25,0.0044,NA
2012-07-03,0.0041,0
2012-07-11,NA,NA
2012-07-19,0.0073,0.000566
2012-07-27,0.0034,0
2012-08-04,0.00875,0.002758
2012-08-12,0.00425,7.1e-05
2012-08-20,0.0037,0
2012-08-28,0.002,0.000141
2012-09-05,0.0014,0
2012-09-13,0.0011,NA
2012-09-21,0.0015,0.000141
2012-09-29,3e-04,0
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.00425,0.001344
2013-06-02,0.0029,NA
2013-06-10,0.008,0
2013-06-18,0.0135,0.013011
2013-06-26,0.0118,0.00396
2013-07-04,0.0032,0
2013-07-12,0.0086,0.001697
2013-07-20,0.0091,0.00297
2013-07-28,0.01135,0.003889
2013-08-05,0.01355,0.001485
2013-08-13,0.00645,0.003889
2013-08-21,0.0016,NA
2013-08-29,0.0019,0
2013-09-06,0.0023,0.000566
2013-09-14,8e-04,0
2013-09-22,4e-04,NA
2013-09-30,2e-04,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0021,NA
2014-05-09,0.0027,0
2014-05-17,0.0021,NA
2014-05-25,0.00695,0.002758
2014-06-02,0.0068,0.005091
2014-06-10,0.0067,0.005091
2014-06-18,0.0122,0.005798
2014-06-26,0.01495,0.001768
2014-07-04,0.0205,0.004243
2014-07-12,0.0182,0.00693
2014-07-20,0.01005,0.003748
2014-07-28,0.01585,0.004596
2014-08-05,0.0064,0.002121
2014-08-13,0.01165,0.000919
2014-08-21,0.0087,0.00198
2014-08-29,0.00365,0.000919
2014-09-06,0.0021,0.001131
2014-09-14,0.0017,0.000707
2014-09-22,7e-04,0
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0045,0.002546
2015-05-17,0.01275,0.001768
2015-05-25,0.00865,0.002758
2015-06-02,0.01,NA
2015-06-10,NA,NA
2015-06-18,0.0245,0.003111
2015-06-26,NA,NA
2015-07-04,0.0234,0.008061
2015-07-12,0.01965,0.001626
2015-07-20,0.0251,0.000566
2015-07-28,0.01865,0.004031
2015-08-05,0.0185,0.003677
2015-08-13,0.01315,0.004455
2015-08-21,0.0088,0.000707
2015-08-29,0.0018,0.000141
2015-09-06,0.0053,0.000283
2015-09-14,6e-04,NA
2015-09-22,NA,NA
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.00145,0.000212
2016-05-08,0.0081,0.003111
2016-05-16,0.00525,0.002899
2016-05-24,0.0071,0
2016-06-01,0.00955,0.001909
2016-06-09,0.02145,0.007
2016-06-17,0.03155,0.00601
2016-06-25,0.024,0.001131
2016-07-03,0.0318,0.000283
2016-07-11,0.0402,0.004243
2016-07-19,0.02565,0.000919
