dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,-0.000133,0.000231
2010-03-14,0,NA
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,7e-04,0
2010-04-23,0.005826,0.0019
2010-05-01,0.006063,0.00056
2010-05-09,0.006189,0.002599
2010-05-17,0.017267,0.001558
2010-05-25,0.037519,0.002008
2010-06-02,0.0392,0.003799
2010-06-10,0.046756,0.002343
2010-06-18,0.031315,0.013586
2010-06-26,0.031548,0.009314
2010-07-04,0.043956,0.015244
2010-07-12,0.033487,0.012304
2010-07-20,0.030644,0.005436
2010-07-28,0.042426,0.002789
2010-08-05,0.015872,0.006518
2010-08-13,0.030122,0.001991
2010-08-21,0.014981,0.002715
2010-08-29,0.012078,0.001676
2010-09-06,0.008433,0.001171
2010-09-14,0.005378,0.000556
2010-09-22,0.000256,5.8e-05
2010-09-30,0.000791,0.000214
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,2e-04,0
2011-05-01,0.000314,6.5e-05
2011-05-09,0.000819,0.000303
2011-05-17,0.030381,0.001703
2011-05-25,0.042385,0.00509
2011-06-02,0.028219,0.001781
2011-06-10,0.023869,0.008553
2011-06-18,0.047622,0.009124
2011-06-26,0.04393,0.003223
2011-07-04,0.034744,0.010139
2011-07-12,0.008013,0.005246
2011-07-20,0.042167,0.005401
2011-07-28,0.045096,0.00363
2011-08-05,0.016952,0.00636
2011-08-13,0.019848,0.002955
2011-08-21,0.025604,0.001987
2011-08-29,0.016152,0.001463
2011-09-06,0.011752,0.001023
2011-09-14,0.009933,0.00087
2011-09-22,0.000315,7.7e-05
2011-09-30,0.001237,0.000636
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,3e-04,0
2012-04-30,0.000169,9.5e-05
2012-05-08,0.001645,0.000462
2012-05-16,0.016774,0.001987
2012-05-24,0.026333,0.002207
2012-06-01,0.032481,0.004983
2012-06-09,0.043274,0.004752
2012-06-17,0.054381,0.004286
2012-06-25,0.041667,0.008461
2012-07-03,0.050593,0.003585
2012-07-11,0.03644,0.00276
2012-07-19,0.032507,0.001563
2012-07-27,0.040022,0.002063
2012-08-04,0.040656,0.001784
2012-08-12,0.025281,0.006401
2012-08-20,0.017496,0.00605
2012-08-28,0.010696,0.002389
2012-09-05,0.003113,0.00151
2012-09-13,0.006367,0.000597
2012-09-21,0.00827,0.000965
2012-09-29,0.000968,0.000143
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,6e-04,0
2013-05-17,0.00417,0.002016
2013-05-25,0.028089,0.003105
2013-06-02,0.021278,0.001248
2013-06-10,0.034911,0.001808
2013-06-18,0.044222,0.00467
2013-06-26,0.059,0.002061
2013-07-04,0.038622,0.004394
2013-07-12,0.046974,0.005248
2013-07-20,0.037637,0.004796
2013-07-28,0.054574,0.003481
2013-08-05,0.050652,0.00338
2013-08-13,0.022465,0.009497
2013-08-21,0.013022,0.000708
2013-08-29,0.012767,0.000485
2013-09-06,0.010919,0.001175
2013-09-14,0.000957,0.00061
2013-09-22,0.000472,0.000201
2013-09-30,0.000194,2.5e-05
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000111,3.3e-05
2014-04-15,0.000195,6.2e-05
2014-04-23,0.000956,0.000303
2014-05-01,0.009874,0.002457
2014-05-09,0.019493,0.001148
2014-05-17,0.007188,0.00187
2014-05-25,0.021142,0.00153
2014-06-02,0.035759,0.001456
2014-06-10,0.037578,0.00372
2014-06-18,0.050463,0.004865
2014-06-26,0.047426,0.008827
2014-07-04,0.038592,0.007126
2014-07-12,0.043481,0.007034
2014-07-20,0.026781,0.006308
2014-07-28,0.022611,0.007587
2014-08-05,0.012692,0.006465
2014-08-13,0.025496,0.001454
2014-08-21,0.027781,0.003629
2014-08-29,0.009115,0.000842
2014-09-06,0.009156,0.000468
2014-09-14,0.008167,0.000707
2014-09-22,0.002737,0.000332
2014-09-30,0.000523,0.00016
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,-1e-04,0.000265
2015-03-30,0,0
2015-04-07,0.00015,7.1e-05
2015-04-15,6e-04,0
2015-04-23,0.000725,0.000231
2015-05-01,0.001204,0.000404
2015-05-09,0.017511,0.00338
2015-05-17,0.043085,0.002943
2015-05-25,0.0335,0.001859
2015-06-02,0.022696,0.003176
2015-06-10,0.014954,0.006778
2015-06-18,0.052207,0.002358
2015-06-26,0.039507,0.010412
2015-07-04,0.050615,0.003493
2015-07-12,0.039322,0.003165
2015-07-20,0.032663,0.005922
2015-07-28,0.02702,0.004268
2015-08-05,0.032504,0.001343
2015-08-13,0.022174,0.003853
2015-08-21,0.015648,0.002004
2015-08-29,0.00317,0.000904
2015-09-06,0.011504,0.001109
2015-09-14,0.000665,0.000127
2015-09-22,0.000281,6.8e-05
2015-09-30,0.000292,6.9e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00014,8.3e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001067,0.000248
2016-04-30,0.003589,0.001088
2016-05-08,0.027015,0.004094
2016-05-16,0.015196,0.002326
