dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.004617,0.00177
2010-05-01,0.005374,0.00104
2010-05-09,0.006614,0.002264
2010-05-17,0.016298,0.001852
2010-05-25,0.035487,0.002279
2010-06-02,0.034907,0.002983
2010-06-10,0.042491,0.003775
2010-06-18,0.039147,0.008045
2010-06-26,0.035547,0.009623
2010-07-04,0.046662,0.01332
2010-07-12,0.023767,0.012608
2010-07-20,0.029425,0.007165
2010-07-28,0.036567,0.004829
2010-08-05,0.0201,0.004128
2010-08-13,0.028012,0.003126
2010-08-21,0.010346,0.004697
2010-08-29,0.011396,0.001475
2010-09-06,0.009427,0.002264
2010-09-14,0.00557,0.000848
2010-09-22,0.000228,0.00011
2010-09-30,0.000432,0.000248
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000184,3.7e-05
2011-05-01,3e-04,0
2011-05-09,0.000661,0.000264
2011-05-17,0.02917,0.002364
2011-05-25,0.043686,0.003002
2011-06-02,0.027,0.003082
2011-06-10,0.019685,0.008154
2011-06-18,0.040161,0.008306
2011-06-26,0.040413,0.004422
2011-07-04,0.035933,0.014095
2011-07-12,0.0079,0.002568
2011-07-20,0.036114,0.009435
2011-07-28,0.04401,0.004073
2011-08-05,0.016332,0.00745
2011-08-13,0.016756,0.002833
2011-08-21,0.021901,0.004052
2011-08-29,0.015359,0.001991
2011-09-06,0.011554,0.001187
2011-09-14,0.009298,0.001116
2011-09-22,0.000309,7.4e-05
2011-09-30,0.001147,0.000496
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,0.000229,9e-05
2012-04-22,0.000296,2e-05
2012-04-30,0.000126,6e-05
2012-05-08,0.001748,0.000619
2012-05-16,0.016767,0.00182
2012-05-24,0.023977,0.002618
2012-06-01,0.027772,0.007087
2012-06-09,0.035129,0.008846
2012-06-17,0.048218,0.005023
2012-06-25,0.025138,0.014353
2012-07-03,0.036329,0.016648
2012-07-11,0.019175,0.012093
2012-07-19,0.022393,0.011022
2012-07-27,0.028637,0.013694
2012-08-04,0.029304,0.013147
2012-08-12,0.018901,0.00947
2012-08-20,0.017096,0.009135
2012-08-28,0.007198,0.003817
2012-09-05,0.002812,0.001794
2012-09-13,0.004522,0.002092
2012-09-21,0.005892,0.002903
2012-09-29,0.000574,0.000352
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,NA
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,6e-04,0
2013-05-17,0.002505,0.001411
2013-05-25,0.020708,0.010854
2013-06-02,0.015753,0.007759
2013-06-10,0.024479,0.011642
2013-06-18,0.036698,0.016301
2013-06-26,0.045589,0.018084
2013-07-04,0.029127,0.012432
2013-07-12,0.036744,0.014716
2013-07-20,0.031341,0.013642
2013-07-28,0.044131,0.015347
2013-08-05,0.03843,0.013284
2013-08-13,0.013297,0.008816
2013-08-21,0.010434,0.003989
2013-08-29,0.010409,0.004066
2013-09-06,0.007783,0.003417
2013-09-14,0.001652,0.001218
2013-09-22,0.000429,0.000153
2013-09-30,0.000413,0.000405
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,0.000197,1.6e-05
2014-04-23,0.000887,0.000191
2014-05-01,0.008221,0.004746
2014-05-09,0.013605,0.006277
2014-05-17,0.005009,0.002571
2014-05-25,0.017657,0.008729
2014-06-02,0.025677,0.010406
2014-06-10,0.025638,0.010159
2014-06-18,0.040027,0.012736
2014-06-26,0.034586,0.012101
2014-07-04,0.037018,0.011216
2014-07-12,0.036702,0.011656
2014-07-20,0.019229,0.007252
2014-07-28,0.020074,0.007649
2014-08-05,0.008798,0.004792
2014-08-13,0.023589,0.007142
2014-08-21,0.021017,0.00651
2014-08-29,0.007777,0.002204
2014-09-06,0.007092,0.002401
2014-09-14,0.00622,0.002454
2014-09-22,0.002027,0.00091
2014-09-30,0.000436,0.000163
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,NA,NA
2015-04-15,0.000575,4.5e-05
2015-04-23,4e-04,NA
2015-05-01,0.001116,0.000314
2015-05-09,0.012942,0.005892
2015-05-17,0.033841,0.011758
2015-05-25,0.027324,0.009095
2015-06-02,0.018551,0.006074
2015-06-10,0.015359,0.007919
2015-06-18,0.043364,0.009996
2015-06-26,0.032751,0.010556
2015-07-04,0.042907,0.009624
2015-07-12,0.026233,0.012182
2015-07-20,0.026967,0.009521
2015-07-28,0.020441,0.006645
2015-08-05,0.028203,0.004939
2015-08-13,0.020071,0.005063
2015-08-21,0.01292,0.003226
2015-08-29,0.003474,0.001809
2015-09-06,0.009277,0.002494
2015-09-14,0.00071,0.000268
2015-09-22,0.000167,6.6e-05
2015-09-30,0.000208,0.000104
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000108,3.9e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001166,0.000537
2016-04-30,0.00426,0.00262
2016-05-08,0.020152,0.006612
2016-05-16,0.01289,0.003887
2016-05-24,0.015084,0.005109
2016-06-01,0.01913,0.004782
