date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,31,18.34
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,33,19.53
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,46,27.22
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,81,47.93
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0003,0.0027,0.0002,0.0001,0.0000,0.0000,169,25,14.79
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0007,0.0017,0.0558,0.0010,0.0009,0.0000,0.0001,169,64,37.87
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0019,0.0114,0.8933,0.0095,0.0053,0.0000,0.0020,169,169,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0026,0.0085,1.0437,0.0059,0.0062,0.0000,0.0012,169,169,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0023,0.0119,1.2350,0.0096,0.0073,0.0000,0.0026,169,169,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0126,0.0218,3.0290,0.0092,0.0179,0.0000,0.0020,169,169,100.00
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0309,0.0475,6.6842,0.0166,0.0396,0.0000,0.0026,169,169,100.00
A2010153,2010-06-02,MYD17A2H,Gpp_500m,0.0278,0.0521,6.5464,0.0243,0.0387,0.0000,0.0039,169,169,100.00
A2010161,2010-06-10,MYD17A2H,Gpp_500m,0.0326,0.0573,8.0036,0.0247,0.0474,0.0000,0.0044,169,169,100.00
