Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Sep 23,Jun 03,Jul 11,Sep 01,Jun 21,Jul 25,Aug 09
2002, Cycle 1,Sep 21,May 18,Jun 30,Aug 25,Jun 08,Jul 15,Aug 02
2003, Cycle 1,Sep 29,May 16,Jun 29,Aug 31,Jun 06,Jul 16,Aug 04
2004, Cycle 1,Sep 23,May 08,Jun 20,Sep 01,May 30,Jul 04,Jul 25
2005, Cycle 1,Sep 15,May 03,Jun 23,Aug 23,May 29,Jul 10,Jul 28
2006, Cycle 1,Oct 17,May 14,Jul 04,Sep 11,Jun 10,Jul 20,Aug 12
2007, Cycle 1,Oct 03,Apr 21,Jun 28,Sep 09,May 30,Jul 16,Aug 05
2008, Cycle 1,Sep 20,May 05,Jun 21,Aug 29,May 27,Jul 09,Jul 30
2009, Cycle 1,Sep 23,May 01,Jun 21,Aug 29,May 25,Jul 09,Jul 29
2010, Cycle 1,Oct 02,Apr 21,Jun 20,Sep 06,May 21,Jul 12,Aug 04
2011, Cycle 1,Oct 01,May 11,Jun 24,Sep 05,May 30,Jul 11,Aug 02
2012, Cycle 1,Sep 11,Apr 20,Jun 18,Aug 15,May 27,Jul 03,Jul 23
2013, Cycle 1,Oct 12,May 19,Jul 04,Sep 10,Jun 09,Jul 24,Aug 14
2014, Cycle 1,Oct 03,Apr 26,Jun 23,Sep 05,May 24,Jul 13,Aug 03
2015, Cycle 1,Sep 27,May 01,Jun 19,Sep 01,May 26,Jul 07,Jul 28
2016, Cycle 1,Oct 10,Apr 30,Jun 27,Sep 05,May 28,Jul 13,Jul 31
2017, Cycle 1,Sep 10,Apr 23,Jun 18,Aug 20,May 22,Jul 07,Jul 26
2018, Cycle 1,Sep 29,May 10,Jun 29,Sep 05,Jun 04,Jul 18,Aug 06
2019, Cycle 1,Sep 25,May 09,Jun 27,Aug 29,Jun 01,Jul 15,Aug 04
2004, Cycle 2,Oct 14,Aug 01,Aug 16,Sep 27,Aug 06,Aug 24,Sep 06
2009, Cycle 2,Nov 07,Apr 19,Jun 25,Sep 15,Jun 03,Jul 08,Aug 05
2012, Cycle 2,Sep 14,May 09,Jun 14,Aug 16,May 26,Jun 25,Jul 12
2013, Cycle 2,Feb 23,Oct 28,Dec 15,Feb 08,Nov 18,Dec 31,Jan 16
2014, Cycle 2,Sep 12,May 06,Jun 24,Aug 23,May 31,Jul 19,Aug 03
