dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.00122,0.000376
2010-04-23,0.008231,0.002842
2010-05-01,0.006381,0.000881
2010-05-09,0.007375,0.002481
2010-05-17,0.017769,0.002632
2010-05-25,0.045044,0.003938
2010-06-02,0.043319,0.003792
2010-06-10,0.054362,0.004804
2010-06-18,0.0503,0.012539
2010-06-26,0.032919,0.014099
2010-07-04,0.058489,0.02062
2010-07-12,0.021387,0.015701
2010-07-20,0.031744,0.004429
2010-07-28,0.052325,0.004438
2010-08-05,0.018643,0.006138
2010-08-13,0.038406,0.005194
2010-08-21,0.018794,0.002847
2010-08-29,0.013781,0.001953
2010-09-06,0.009219,0.001652
2010-09-14,0.006219,0.000592
2010-09-22,0.000419,9.1e-05
2010-09-30,0.000833,0.000282
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000214,5.3e-05
2011-05-01,0.00054,0.000241
2011-05-09,0.000894,0.000355
2011-05-17,0.031337,0.001778
2011-05-25,0.045875,0.005403
2011-06-02,0.033462,0.003265
2011-06-10,0.02392,0.009637
2011-06-18,0.061512,0.004679
2011-06-26,0.0548,0.006197
2011-07-04,0.0436,0.005162
2011-07-12,0.0053,0.001873
2011-07-20,0.050081,0.007909
2011-07-28,0.0515,0.004116
2011-08-05,0.016243,0.006783
2011-08-13,0.024475,0.003807
2011-08-21,0.030631,0.001816
2011-08-29,0.020262,0.001929
2011-09-06,0.01335,0.001467
2011-09-14,0.0117,0.001311
2011-09-22,0.00035,0.000173
2011-09-30,0.002,0.000995
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,3e-04,0.000196
2012-04-22,0.000364,0.000145
2012-04-30,0.000273,7e-05
2012-05-08,0.002125,0.000744
2012-05-16,0.016719,0.003985
2012-05-24,0.025033,0.003023
2012-06-01,0.039975,0.003582
2012-06-09,0.051506,0.004754
2012-06-17,0.0686,0.007724
2012-06-25,0.032908,0.016361
2012-07-03,0.06475,0.00953
2012-07-11,0.04175,0.004155
2012-07-19,0.038362,0.003925
2012-07-27,0.053406,0.005582
2012-08-04,0.048744,0.004805
2012-08-12,0.0314,0.007195
2012-08-20,0.021981,0.011356
2012-08-28,0.013594,0.002547
2012-09-05,0.004908,0.002058
2012-09-13,0.007612,0.000845
2012-09-21,0.009844,0.001127
2012-09-29,0.001107,0.000202
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,1e-04,0
2013-05-09,0.000671,0.000189
2013-05-17,0.004118,0.001294
2013-05-25,0.02645,0.003351
2013-06-02,0.023206,0.00561
2013-06-10,0.0405,0.003594
2013-06-18,0.049588,0.007225
2013-06-26,0.071988,0.005565
2013-07-04,0.047906,0.004882
2013-07-12,0.052088,0.007801
2013-07-20,0.043806,0.003005
2013-07-28,0.065888,0.004656
2013-08-05,0.06235,0.004708
2013-08-13,0.020631,0.009783
2013-08-21,0.015731,0.001543
2013-08-29,0.015719,0.001844
2013-09-06,0.011256,0.001852
2013-09-14,9e-04,0
2013-09-22,0.000921,0.000201
2013-09-30,4e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000225,1e-04
2014-04-15,0.000381,7.5e-05
2014-04-23,0.001469,0.000328
2014-05-01,0.011125,0.001825
2014-05-09,0.019006,0.002592
2014-05-17,0.005843,0.002291
2014-05-25,0.0229,0.002591
2014-06-02,0.040338,0.003049
2014-06-10,0.042112,0.004073
2014-06-18,0.054725,0.006717
2014-06-26,0.0582,0.008204
2014-07-04,0.037092,0.009268
2014-07-12,0.054225,0.004953
2014-07-20,0.0283,0.004975
2014-07-28,0.032831,0.006997
2014-08-05,0.019156,0.007132
2014-08-13,0.031913,0.003041
2014-08-21,0.029988,0.004216
2014-08-29,0.011062,0.001397
2014-09-06,0.010794,0.00108
2014-09-14,0.009319,0.000954
2014-09-22,0.00345,7e-04
2014-09-30,0.000667,0.000274
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,2.1e-05,4.3e-05
2015-03-30,0,0
2015-04-07,0.000171,4.7e-05
2015-04-15,0.000825,0.00028
2015-04-23,0.001036,0.000268
2015-05-01,0.001519,0.000578
2015-05-09,0.018238,0.002968
2015-05-17,0.049362,0.003948
2015-05-25,0.039719,0.004277
2015-06-02,0.030956,0.00476
2015-06-10,0.016369,0.013449
2015-06-18,0.067875,0.005877
2015-06-26,0.027389,0.014561
2015-07-04,0.060206,0.004049
2015-07-12,0.048044,0.004521
2015-07-20,0.0384,0.005253
2015-07-28,0.030962,0.00352
2015-08-05,0.039062,0.003297
2015-08-13,0.028269,0.003381
2015-08-21,0.019525,0.001738
2015-08-29,0.0028,0.000984
2015-09-06,0.012675,0.001819
2015-09-14,0.000664,0.000174
2015-09-22,0.000538,0.000189
2015-09-30,0.000456,0.000103
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000307,1e-04
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001444,0.000487
2016-04-30,0.003994,0.001051
2016-05-08,0.026275,0.002922
2016-05-16,0.016569,0.000753
