dates,open_shrublands_mean,open_shrublands_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,NA
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,9e-04,NA
2010-04-23,0.006225,0.00095
2010-05-01,0.006575,0.001837
2010-05-09,0.008525,0.003598
2010-05-17,0.01945,0.002022
2010-05-25,0.039025,0.001759
2010-06-02,0.036,0.003136
2010-06-10,0.045075,0.003071
2010-06-18,0.03845,0.006971
2010-06-26,0.03775,0.005002
2010-07-04,0.04985,0.003492
2010-07-12,0.0308,0.010918
2010-07-20,0.0339,0.006812
2010-07-28,0.04745,0.003122
2010-08-05,0.0192,0.009053
2010-08-13,0.032475,0.002829
2010-08-21,0.01235,0.004044
2010-08-29,0.0133,0.00147
2010-09-06,0.0111,0.001407
2010-09-14,0.006125,0.000862
2010-09-22,0.000233,5.8e-05
2010-09-30,3e-04,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,NA
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,0,NA
2011-04-15,NA,NA
2011-04-23,0.00015,7.1e-05
2011-05-01,3e-04,0
2011-05-09,0.00105,0.00052
2011-05-17,0.03275,0.001752
2011-05-25,0.0482,0.001414
2011-06-02,0.028875,0.002201
2011-06-10,0.0134,0.008426
2011-06-18,0.0519,0.009938
2011-06-26,0.044175,0.005487
2011-07-04,0.020125,0.005877
2011-07-12,0.0062,NA
2011-07-20,0.047075,0.0044
2011-07-28,0.050275,0.00413
2011-08-05,0.01225,0.011066
2011-08-13,0.01865,0.001109
2011-08-21,0.026,0.004127
2011-08-29,0.0174,0.002929
2011-09-06,0.0138,0.001472
2011-09-14,0.013075,0.001955
2011-09-22,4e-04,0
2011-09-30,0.001075,0.00032
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,0,NA
2012-03-21,0,NA
2012-03-29,0,NA
2012-04-06,1e-04,NA
2012-04-14,2e-04,NA
2012-04-22,3e-04,0
2012-04-30,1e-04,0
2012-05-08,0.00215,0.00064
2012-05-16,0.01895,7e-04
2012-05-24,0.02175,0.005399
2012-06-01,0.035525,0.000741
2012-06-09,0.04025,0.005557
2012-06-17,0.050325,0.003578
2012-06-25,0.011133,0.005397
2012-07-03,0.01105,0.008827
2012-07-11,0.00385,0.000495
2012-07-19,0.008725,0.001552
2012-07-27,0.0079,0.004734
2012-08-04,0.00925,0.002598
2012-08-12,0.006425,0.00206
2012-08-20,0.00395,5.8e-05
2012-08-28,0.00215,0.000289
2012-09-05,0.0015,0
2012-09-13,0.0013,0
2012-09-21,0.0016,2e-04
2012-09-29,0.000533,5.8e-05
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0019,NA
2013-05-25,0.00525,0.002363
2013-06-02,0.0042,0.001732
2013-06-10,0.009425,0.002093
2013-06-18,0.020225,0.0116
2013-06-26,0.018275,0.007893
2013-07-04,0.00635,0.003571
2013-07-12,0.011275,0.00497
2013-07-20,0.010925,0.00215
2013-07-28,0.0183,0.007576
2013-08-05,0.01755,0.004407
2013-08-13,0.0058,0.003277
2013-08-21,0.003033,0.002136
2013-08-29,0.00435,0.002598
2013-09-06,0.002725,0.00055
2013-09-14,9e-04,0
2013-09-22,7e-04,NA
2013-09-30,4e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0022,0
2014-05-09,0.00355,0.0015
2014-05-17,0.0023,0.000283
2014-05-25,0.0088,0.00239
2014-06-02,0.009325,0.005406
2014-06-10,0.0107,0.005845
2014-06-18,0.020825,0.010986
2014-06-26,0.0196,0.004067
2014-07-04,0.02505,0.004473
2014-07-12,0.025575,0.008139
2014-07-20,0.01485,0.005093
2014-07-28,0.021725,0.005839
2014-08-05,0.006175,0.00175
2014-08-13,0.016575,0.004478
2014-08-21,0.011725,0.003863
2014-08-29,0.004975,0.001471
2014-09-06,0.004225,0.002508
2014-09-14,0.0032,0.001556
2014-09-22,7e-04,0
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0046,0.001857
2015-05-17,0.01875,0.005951
2015-05-25,0.01245,0.004648
2015-06-02,0.013433,0.002419
2015-06-10,0.00435,0.001768
2015-06-18,0.0276,0.00212
2015-06-26,0.0036,0
2015-07-04,0.02885,0.006692
2015-07-12,0.020025,0.002417
2015-07-20,0.0292,0.001749
2015-07-28,0.0184,0.006619
2015-08-05,0.023025,0.0052
2015-08-13,0.01615,0.00376
2015-08-21,0.0116,0.002267
2015-08-29,0.00195,7.1e-05
2015-09-06,0.0069,0.001246
2015-09-14,6e-04,0
2015-09-22,NA,NA
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.002075,0.000618
2016-05-08,0.012375,0.004837
2016-05-16,0.007375,0.002674
2016-05-24,0.00915,0.002036
2016-06-01,0.012725,0.002952
2016-06-09,0.0265,0.008533
2016-06-17,0.038175,0.006315
