dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.000924,9.7e-05
2010-04-23,0.006172,0.002003
2010-05-01,0.006568,0.000773
2010-05-09,0.006836,0.002895
2010-05-17,0.018136,0.002502
2010-05-25,0.043336,0.005139
2010-06-02,0.042816,0.003657
2010-06-10,0.05288,0.004102
2010-06-18,0.032388,0.014361
2010-06-26,0.036987,0.014516
2010-07-04,0.056006,0.019245
2010-07-12,0.035114,0.013934
2010-07-20,0.032929,0.005863
2010-07-28,0.050612,0.00379
2010-08-05,0.015739,0.008047
2010-08-13,0.03566,0.003608
2010-08-21,0.017508,0.00221
2010-08-29,0.013164,0.001994
2010-09-06,0.009208,0.001219
2010-09-14,0.006144,0.000458
2010-09-22,0.000364,0.000122
2010-09-30,0.000841,0.000307
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,NA
2011-04-15,0,0
2011-04-23,0.000206,2.4e-05
2011-05-01,0.000352,0.000136
2011-05-09,0.000967,0.000331
2011-05-17,0.032048,0.002427
2011-05-25,0.0448,0.005759
2011-06-02,0.031456,0.002292
2011-06-10,0.024933,0.010347
2011-06-18,0.057868,0.010834
2011-06-26,0.051176,0.005751
2011-07-04,0.042816,0.008454
2011-07-12,0.005033,0.001803
2011-07-20,0.050056,0.006745
2011-07-28,0.051164,0.004495
2011-08-05,0.020067,0.007673
2011-08-13,0.024088,0.003036
2011-08-21,0.029544,0.001601
2011-08-29,0.018804,0.002189
2011-09-06,0.013224,0.001316
2011-09-14,0.011016,0.001123
2011-09-22,3e-04,0
2011-09-30,0.001456,0.000866
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,NA
2012-04-14,0.000256,0.000167
2012-04-22,0.000325,8.7e-05
2012-04-30,0.000186,0.000103
2012-05-08,0.002005,0.000686
2012-05-16,0.018172,0.0021
2012-05-24,0.025841,0.006259
2012-06-01,0.036448,0.005491
2012-06-09,0.049212,0.003269
2012-06-17,0.064584,0.006116
2012-06-25,0.046073,0.014511
2012-07-03,0.058076,0.004863
2012-07-11,0.040568,0.00461
2012-07-19,0.037804,0.002636
2012-07-27,0.04758,0.003801
2012-08-04,0.047244,0.002648
2012-08-12,0.028852,0.006227
2012-08-20,0.019464,0.006418
2012-08-28,0.012368,0.002845
2012-09-05,0.00333,0.001112
2012-09-13,0.007204,0.000649
2012-09-21,0.009612,0.001108
2012-09-29,0.001205,0.000278
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,0
2013-05-01,0,NA
2013-05-09,6e-04,0
2013-05-17,0.003753,0.001486
2013-05-25,0.028368,0.00678
2013-06-02,0.022188,0.003139
2013-06-10,0.039352,0.003082
2013-06-18,0.052052,0.007182
2013-06-26,0.068604,0.003358
2013-07-04,0.044892,0.00719
2013-07-12,0.054692,0.00697
2013-07-20,0.041952,0.004367
2013-07-28,0.062552,0.004751
2013-08-05,0.06034,0.005255
2013-08-13,0.029388,0.010361
2013-08-21,0.0149,0.001228
2013-08-29,0.014984,0.001416
2013-09-06,0.011708,0.001512
2013-09-14,0.00147,0.001392
2013-09-22,0.000733,0.000113
2013-09-30,4e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000131,7.5e-05
2014-04-15,0.00031,3e-05
2014-04-23,0.001108,0.00028
2014-05-01,0.010984,0.002533
2014-05-09,0.020448,0.001966
2014-05-17,0.007223,0.002019
2014-05-25,0.021876,0.003426
2014-06-02,0.039616,0.004224
2014-06-10,0.042328,0.005131
2014-06-18,0.056328,0.008347
2014-06-26,0.052268,0.008125
2014-07-04,0.043205,0.008548
2014-07-12,0.048824,0.005965
2014-07-20,0.030748,0.005878
2014-07-28,0.029228,0.010106
2014-08-05,0.014325,0.007814
2014-08-13,0.03058,0.002651
2014-08-21,0.032288,0.003748
2014-08-29,0.01042,0.001101
2014-09-06,0.010612,0.000595
2014-09-14,0.00944,0.000878
2014-09-22,0.003344,0.000678
2014-09-30,0.000665,0.000114
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00016,5.5e-05
2015-04-15,6e-04,0
2015-04-23,0.000892,0.000296
2015-05-01,0.001361,0.000472
2015-05-09,0.018368,0.003235
2015-05-17,0.048972,0.004361
2015-05-25,0.038364,0.003981
2015-06-02,0.028036,0.00469
2015-06-10,0.016425,0.008552
2015-06-18,0.062764,0.006634
2015-06-26,0.043093,0.014279
2015-07-04,0.059572,0.005944
2015-07-12,0.042508,0.009575
2015-07-20,0.038168,0.006508
2015-07-28,0.03102,0.003706
2015-08-05,0.038136,0.001772
2015-08-13,0.02708,0.004395
2015-08-21,0.018752,0.001099
2015-08-29,0.003348,0.000908
2015-09-06,0.012804,0.001534
2015-09-14,0.000638,0.000124
2015-09-22,0.000396,0.000127
2015-09-30,0.000413,0.000122
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000213,0.00013
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001152,0.000276
2016-04-30,0.003472,0.000838
2016-05-08,0.030232,0.004695
2016-05-16,0.016596,0.002905
2016-05-24,0.021084,0.002818
