dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,0.000112,5e-05
2010-04-15,0.000836,9.4e-05
2010-04-23,0.00481,0.001771
2010-05-01,0.005903,0.001152
2010-05-09,0.007175,0.002556
2010-05-17,0.017523,0.002494
2010-05-25,0.038765,0.00275
2010-06-02,0.037692,0.003272
2010-06-10,0.046281,0.00454
2010-06-18,0.041934,0.009349
2010-06-26,0.039395,0.011458
2010-07-04,0.052371,0.013069
2010-07-12,0.026065,0.014965
2010-07-20,0.032852,0.008894
2010-07-28,0.042369,0.005983
2010-08-05,0.022046,0.006003
2010-08-13,0.031675,0.003626
2010-08-21,0.01114,0.005212
2010-08-29,0.012514,0.001846
2010-09-06,0.010361,0.00233
2010-09-14,0.006352,0.000931
2010-09-22,0.000317,0.000231
2010-09-30,0.000443,0.000299
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000183,4.4e-05
2011-05-01,0.000326,5.3e-05
2011-05-09,0.000761,0.00026
2011-05-17,0.031031,0.003093
2011-05-25,0.046662,0.003852
2011-06-02,0.02954,0.00313
2011-06-10,0.020504,0.008509
2011-06-18,0.046326,0.010629
2011-06-26,0.04484,0.005753
2011-07-04,0.038452,0.015912
2011-07-12,0.006614,0.001763
2011-07-20,0.040868,0.011242
2011-07-28,0.049915,0.004879
2011-08-05,0.018924,0.008504
2011-08-13,0.018303,0.00329
2011-08-21,0.024826,0.004593
2011-08-29,0.017028,0.002413
2011-09-06,0.012768,0.001411
2011-09-14,0.010608,0.001415
2011-09-22,0.000382,0.00011
2011-09-30,0.001421,0.000683
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,0.000329,0.000152
2012-04-22,0.000324,0.000109
2012-04-30,0.000116,5.5e-05
2012-05-08,0.001832,0.000555
2012-05-16,0.017944,0.002589
2012-05-24,0.024946,0.003972
2012-06-01,0.032019,0.005728
2012-06-09,0.041185,0.008925
2012-06-17,0.054128,0.006439
2012-06-25,0.026329,0.015617
2012-07-03,0.039844,0.018337
2012-07-11,0.022039,0.013835
2012-07-19,0.02488,0.012308
2012-07-27,0.033358,0.015412
2012-08-04,0.03294,0.013734
2012-08-12,0.020555,0.010352
2012-08-20,0.019589,0.009984
2012-08-28,0.007748,0.004209
2012-09-05,0.002658,0.001645
2012-09-13,0.004904,0.002275
2012-09-21,0.00648,0.003299
2012-09-29,0.000857,0.00043
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,6e-04,0
2013-05-17,0.002265,0.000915
2013-05-25,0.02154,0.010904
2013-06-02,0.016778,0.008782
2013-06-10,0.025776,0.01303
2013-06-18,0.041098,0.018384
2013-06-26,0.051604,0.019873
2013-07-04,0.033686,0.014281
2013-07-12,0.04126,0.016256
2013-07-20,0.035561,0.014838
2013-07-28,0.049745,0.016707
2013-08-05,0.04403,0.014498
2013-08-13,0.015051,0.011003
2013-08-21,0.011881,0.004306
2013-08-29,0.01165,0.004199
2013-09-06,0.008503,0.003763
2013-09-14,0.001754,0.001303
2013-09-22,0.000714,0.000118
2013-09-30,0.000773,0.000518
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000115,5.5e-05
2014-04-15,0.000307,3.7e-05
2014-04-23,0.001034,0.000197
2014-05-01,0.008961,0.005111
2014-05-09,0.014202,0.006541
2014-05-17,0.005247,0.002818
2014-05-25,0.01868,0.00963
2014-06-02,0.028204,0.010811
2014-06-10,0.028132,0.010865
2014-06-18,0.044792,0.013594
2014-06-26,0.036473,0.013166
2014-07-04,0.041032,0.012684
2014-07-12,0.041652,0.011862
2014-07-20,0.022718,0.008111
2014-07-28,0.023251,0.009093
2014-08-05,0.010984,0.006568
2014-08-13,0.026375,0.007397
2014-08-21,0.022718,0.00676
2014-08-29,0.008598,0.002292
2014-09-06,0.007968,0.00263
2014-09-14,0.006874,0.002757
2014-09-22,0.00226,0.001047
2014-09-30,0.00057,0.00013
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,NA,NA
2015-04-15,0.000636,0.000134
2015-04-23,0.00085,0.000495
2015-05-01,0.001142,0.000354
2015-05-09,0.013073,0.005415
2015-05-17,0.037171,0.012558
2015-05-25,0.029817,0.009784
2015-06-02,0.02085,0.00678
2015-06-10,0.015542,0.007876
2015-06-18,0.049631,0.011719
2015-06-26,0.037024,0.012606
2015-07-04,0.047989,0.010462
2015-07-12,0.029256,0.0137
2015-07-20,0.030569,0.011351
2015-07-28,0.022826,0.007454
2015-08-05,0.032098,0.00543
2015-08-13,0.021977,0.00531
2015-08-21,0.014069,0.003423
2015-08-29,0.003867,0.002108
2015-09-06,0.009944,0.002607
2015-09-14,0.00083,0.000394
2015-09-22,0.000246,7.9e-05
2015-09-30,0.000302,0.000107
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000106,3.4e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001177,0.000183
2016-04-30,0.004381,0.002605
2016-05-08,0.021885,0.006865
2016-05-16,0.014093,0.004283
2016-05-24,0.016609,0.005677
